Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.879257000051439
8,0.01,8,ReLU,100,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.708125399891287
8,0.01,8,ReLU,300,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.6985849000047892
8,0.01,8,ReLU,500,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.6435992999468
8,0.01,8,ReLU,1000,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.794959200080484
8,0.01,8,Tanh,50,0.9911381433380302,0.9912202212761683,0.9912390488110138,4.389402800006792
8,0.01,8,Tanh,100,0.9911381433380302,0.9912202212761683,0.9912390488110138,3.791652799816802
8,0.01,8,Tanh,300,0.9911381433380302,0.9912202212761683,0.9912390488110138,3.734243300044909
8,0.01,8,Tanh,500,0.9911381433380302,0.9912202212761683,0.9912390488110138,3.8034441999625415
8,0.01,8,Tanh,1000,0.9911381433380302,0.9912202212761683,0.9912390488110138,3.767867000075057
8,0.01,8,Sigmoid,50,0.9902115427399676,0.9902798120282275,0.9903003754693367,5.96245939983055
8,0.01,8,Sigmoid,100,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.318525399779901
8,0.01,8,Sigmoid,300,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.265200600028038
8,0.01,8,Sigmoid,500,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.127538900123909
8,0.01,8,Sigmoid,1000,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.3943970000837
8,0.01,8,GELU,50,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.928247599862516
8,0.01,8,GELU,100,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.686352200107649
8,0.01,8,GELU,300,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.7035114001482725
8,0.01,8,GELU,500,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.9258636999875307
8,0.01,8,GELU,1000,0.9921483204456786,0.9921620307383769,0.9921777221526908,3.6825431999750435
8,0.01,8,Softmax,50,0.9902115427399676,0.9902798120282275,0.9903003754693367,5.7281758999451995
8,0.01,8,Softmax,100,0.9902115427399676,0.9902798120282275,0.9903003754693367,5.7961287999060005
8,0.01,8,Softmax,300,0.9902115427399676,0.9902798120282275,0.9903003754693367,5.628057399997488
8,0.01,8,Softmax,500,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.096041499869898
8,0.01,8,Softmax,1000,0.9902115427399676,0.9902798120282275,0.9903003754693367,6.495494399918243
8,0.01,16,ReLU,50,0.9924479010328566,0.9924753376601974,0.9924906132665833,2.073539499891922
8,0.01,16,ReLU,100,0.9924479010328566,0.9924753376601974,0.9924906132665833,2.045586899854243
8,0.01,16,ReLU,300,0.9924479010328566,0.9924753376601974,0.9924906132665833,1.8910006999503821
8,0.01,16,ReLU,500,0.9924479010328566,0.9924753376601974,0.9924906132665833,1.8912984000053257
8,0.01,16,ReLU,1000,0.9924479010328566,0.9924753376601974,0.9924906132665833,1.8464265998918563
8,0.01,16,Tanh,50,0.989500946219497,0.9896508755219184,0.9896745932415519,2.4196478000376374
