Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.753567400155589
8,0.01,8,ReLU,100,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6861540998797864
8,0.01,8,ReLU,300,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6738460999913514
8,0.01,8,ReLU,500,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6509138001129031
8,0.01,8,ReLU,1000,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6132628000341356
8,0.01,8,Tanh,50,0.9158181132482086,0.9165103822334957,0.9180672268907563,0.7550356001593173
8,0.01,8,Tanh,100,0.9158181132482086,0.9165103822334957,0.9180672268907563,0.7168542998842895
8,0.01,8,Tanh,300,0.9158181132482086,0.9165103822334957,0.9180672268907563,0.7597316999454051
8,0.01,8,Tanh,500,0.9158181132482086,0.9165103822334957,0.9180672268907563,0.7234300000127405
8,0.01,8,Tanh,1000,0.9158181132482086,0.9165103822334957,0.9180672268907563,0.7642866000533104
8,0.01,8,Sigmoid,50,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.678457599831745
8,0.01,8,Sigmoid,100,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.6855393000878394
8,0.01,8,Sigmoid,300,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.6739976000972092
8,0.01,8,Sigmoid,500,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.669281099922955
8,0.01,8,Sigmoid,1000,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.6931961998343468
8,0.01,8,GELU,50,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6037113000638783
8,0.01,8,GELU,100,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6710190000012517
8,0.01,8,GELU,300,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6244053000118583
8,0.01,8,GELU,500,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6832758998498321
8,0.01,8,GELU,1000,0.8912863890235799,0.8910681833479168,0.8928571428571429,0.6306869999971241
8,0.01,8,Softmax,50,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.7077079000882804
8,0.01,8,Softmax,100,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.8121036998927593
8,0.01,8,Softmax,300,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.7260696000885218
8,0.01,8,Softmax,500,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.7513660001568496
8,0.01,8,Softmax,1000,0.9273386850564804,0.9273386850564804,0.9285714285714286,0.7060408999677747
8,0.01,16,ReLU,50,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.4778736000880599
8,0.01,16,ReLU,100,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.4867654999252409
8,0.01,16,ReLU,300,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.42434450006112456
8,0.01,16,ReLU,500,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.42512489994987845
8,0.01,16,ReLU,1000,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.41916460008360445
8,0.01,16,Tanh,50,0.8767936354003916,0.8778316605654541,0.8802521008403361,0.32961919996887445
8,0.01,16,Tanh,100,0.8767936354003916,0.8778316605654541,0.8802521008403361,0.3474794998764992
8,0.01,16,Tanh,300,0.8767936354003916,0.8778316605654541,0.8802521008403361,0.3295521999243647
8,0.01,16,Tanh,500,0.8767936354003916,0.8778316605654541,0.8802521008403361,0.3395468001253903
8,0.01,16,Tanh,1000,0.8767936354003916,0.8778316605654541,0.8802521008403361,0.3175949000287801
8,0.01,16,Sigmoid,50,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.39936270006000996
8,0.01,16,Sigmoid,100,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.3718878999352455
8,0.01,16,Sigmoid,300,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.45635709981434047
8,0.01,16,Sigmoid,500,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.3798406000714749
8,0.01,16,Sigmoid,1000,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.4413429999258369
8,0.01,16,GELU,50,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.43494569999165833
8,0.01,16,GELU,100,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.4307540000882
8,0.01,16,GELU,300,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.3598315000999719
8,0.01,16,GELU,500,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.339695299975574
8,0.01,16,GELU,1000,0.9024298259792037,0.8982905982905982,0.8991596638655462,0.4035769999027252
8,0.01,16,Softmax,50,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.42232250003144145
8,0.01,16,Softmax,100,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.4206805999856442
8,0.01,16,Softmax,300,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.37042350019328296
8,0.01,16,Softmax,500,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.44400919997133315
8,0.01,16,Softmax,1000,0.9340283389903561,0.9337865428193219,0.9348739495798319,0.39165999996475875
8,0.01,32,ReLU,50,0.8996462115906112,0.8978449432173836,0.8991596638655462,0.22992689977400005
8,0.01,32,ReLU,100,0.8996462115906112,0.8978449432173836,0.8991596638655462,0.23188909981399775
8,0.01,32,ReLU,300,0.8996462115906112,0.8978449432173836,0.8991596638655462,0.24364529992453754
8,0.01,32,ReLU,500,0.8996462115906112,0.8978449432173836,0.8991596638655462,0.2349098001141101
8,0.01,32,ReLU,1000,0.8996462115906112,0.8978449432173836,0.8991596638655462,0.2553544999100268
8,0.01,32,Tanh,50,0.8883142072086634,0.8887450557353469,0.8907563025210085,0.26795409992337227
8,0.01,32,Tanh,100,0.8883142072086634,0.8887450557353469,0.8907563025210085,0.2657075000461191
8,0.01,32,Tanh,300,0.8883142072086634,0.8887450557353469,0.8907563025210085,0.23457639990374446
8,0.01,32,Tanh,500,0.8883142072086634,0.8887450557353469,0.8907563025210085,0.2341018000151962
8,0.01,32,Tanh,1000,0.8883142072086634,0.8887450557353469,0.8907563025210085,0.2668239001650363
