Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9934294735421504,0.9956213736251315,0.9977265838132767,4.093831499980297
8,0.01,8,ReLU,100,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.796075699967332
8,0.01,8,ReLU,300,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.891091099998448
8,0.01,8,ReLU,500,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.9649082999676466
8,0.01,8,ReLU,1000,0.9934294735421504,0.9956213736251315,0.9977265838132767,4.059926499961875
8,0.01,8,Tanh,50,0.9871277161221077,0.9920734810809122,0.9959078508638981,6.4795313000213355
8,0.01,8,Tanh,100,0.9871277161221077,0.9920734810809122,0.9959078508638981,6.813303100003395
8,0.01,8,Tanh,300,0.9871277161221077,0.9920734810809122,0.9959078508638981,6.534828799951356
8,0.01,8,Tanh,500,0.9871277161221077,0.9920734810809122,0.9959078508638981,6.6387595000560395
8,0.01,8,Tanh,1000,0.9871277161221077,0.9920734810809122,0.9959078508638981,6.940412899944931
8,0.01,8,Sigmoid,50,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.165078099991661
8,0.01,8,Sigmoid,100,0.9870381264428387,0.9917832614150773,0.9957562897847833,3.924450499995146
8,0.01,8,Sigmoid,300,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.10065489995759
8,0.01,8,Sigmoid,500,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.01873730000807
8,0.01,8,Sigmoid,1000,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.095813899999484
8,0.01,8,GELU,50,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.948868300009053
8,0.01,8,GELU,100,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.945982199977152
8,0.01,8,GELU,300,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.6704600999946706
8,0.01,8,GELU,500,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.768912100000307
8,0.01,8,GELU,1000,0.9934294735421504,0.9956213736251315,0.9977265838132767,3.6926169999642298
8,0.01,8,Softmax,50,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.071033300017007
8,0.01,8,Softmax,100,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.306062799994834
8,0.01,8,Softmax,300,0.9870381264428387,0.9917832614150773,0.9957562897847833,3.8242047999519855
8,0.01,8,Softmax,500,0.9870381264428387,0.9917832614150773,0.9957562897847833,3.86023509997176
8,0.01,8,Softmax,1000,0.9870381264428387,0.9917832614150773,0.9957562897847833,4.5129207000136375
8,0.01,16,ReLU,50,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.9996223999769427
8,0.01,16,ReLU,100,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.775056399987079
8,0.01,16,ReLU,300,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.919938000035472
8,0.01,16,ReLU,500,0.9962897363702561,0.9970891578851704,0.9984843892088512,3.2549391000065953
8,0.01,16,ReLU,1000,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.8240478999796323
8,0.01,16,Tanh,50,0.9873505891688632,0.9915002097383727,0.9956047287056684,3.4437359999865294
8,0.01,16,Tanh,100,0.9873505891688632,0.9915002097383727,0.9956047287056684,3.2819801999721676
8,0.01,16,Tanh,300,0.9873505891688632,0.9915002097383727,0.9956047287056684,3.142930499976501
8,0.01,16,Tanh,500,0.9873505891688632,0.9915002097383727,0.9956047287056684,3.150658300030045
8,0.01,16,Tanh,1000,0.9873505891688632,0.9915002097383727,0.9956047287056684,3.3365561000537127
8,0.01,16,Sigmoid,50,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.471725300012622
8,0.01,16,Sigmoid,100,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.312346000049729
8,0.01,16,Sigmoid,300,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.2541669000056572
8,0.01,16,Sigmoid,500,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.334101099986583
8,0.01,16,Sigmoid,1000,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.374162099964451
8,0.01,16,GELU,50,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.659845399961341
8,0.01,16,GELU,100,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.7790880000102334
8,0.01,16,GELU,300,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.7450002999976277
8,0.01,16,GELU,500,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.7037464999593794
8,0.01,16,GELU,1000,0.9962897363702561,0.9970891578851704,0.9984843892088512,2.76716570003191
8,0.01,16,Softmax,50,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.274174200021662
8,0.01,16,Softmax,100,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.3181751999654807
8,0.01,16,Softmax,300,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.4529737000120804
8,0.01,16,Softmax,500,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.3918675999739207
8,0.01,16,Softmax,1000,0.9870381264428387,0.9917832614150773,0.9957562897847833,2.2508226000354625
8,0.01,32,ReLU,50,0.997183430860112,0.9973834049391701,0.998635950287966,1.6079918000032194
8,0.01,32,ReLU,100,0.997183430860112,0.9973834049391701,0.998635950287966,1.5501497000223026
8,0.01,32,ReLU,300,0.997183430860112,0.9973834049391701,0.998635950287966,1.5931649999693036
8,0.01,32,ReLU,500,0.997183430860112,0.9973834049391701,0.998635950287966,1.622739099955652
8,0.01,32,ReLU,1000,0.997183430860112,0.9973834049391701,0.998635950287966,1.5778171999845654
8,0.01,32,Tanh,50,0.9891838741396264,0.9935492552553065,0.9966656562594726,1.4310758999781683
8,0.01,32,Tanh,100,0.9891838741396264,0.9935492552553065,0.9966656562594726,1.463033199950587
8,0.01,32,Tanh,300,0.9891838741396264,0.9935492552553065,0.9966656562594726,1.4892272999859415
8,0.01,32,Tanh,500,0.9891838741396264,0.9935492552553065,0.9966656562594726,1.4744612000067718
8,0.01,32,Tanh,1000,0.9891838741396264,0.9935492552553065,0.9966656562594726,1.422486299998127
8,0.01,32,Sigmoid,50,0.9854736105098825,0.9906017688274431,0.9951500454683238,1.2973460999783128
8,0.01,32,Sigmoid,100,0.9854736105098825,0.9906017688274431,0.9951500454683238,1.2976837999885902
8,0.01,32,Sigmoid,300,0.9854736105098825,0.9906017688274431,0.9951500454683238,1.354162500007078
8,0.01,32,Sigmoid,500,0.9854736105098825,0.9906017688274431,0.9951500454683238,1.3298306000069715
8,0.01,32,Sigmoid,1000,0.9854736105098825,0.9906017688274431,0.9951500454683238,1.2783435999881476
8,0.01,32,GELU,50,0.997183430860112,0.9973834049391701,0.998635950287966,1.5471980000147596
8,0.01,32,GELU,100,0.997183430860112,0.9973834049391701,0.998635950287966,1.5879329000017606
8,0.01,32,GELU,300,0.997183430860112,0.9973834049391701,0.998635950287966,1.6938577000400983
8,0.01,32,GELU,500,0.997183430860112,0.9973834049391701,0.998635950287966,1.7950824999716133
