Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5833333333333333,0.560783298826777,0.5833333333333334,0.3621320000384003
8,0.01,8,ReLU,100,0.5833333333333333,0.560783298826777,0.5833333333333334,0.32814309978857636
8,0.01,8,ReLU,300,0.5833333333333333,0.560783298826777,0.5833333333333334,0.21071430016309023
8,0.01,8,ReLU,500,0.5833333333333333,0.560783298826777,0.5833333333333334,0.17372280010022223
8,0.01,8,ReLU,1000,0.5833333333333333,0.560783298826777,0.5833333333333334,0.15796150011010468
8,0.01,8,Tanh,50,0.6805555555555555,0.660754604872252,0.6805555555555556,0.12046679994091392
8,0.01,8,Tanh,100,0.6805555555555555,0.660754604872252,0.6805555555555556,0.12991659995168447
8,0.01,8,Tanh,300,0.6805555555555555,0.660754604872252,0.6805555555555556,0.12105610012076795
8,0.01,8,Tanh,500,0.6805555555555555,0.660754604872252,0.6805555555555556,0.2321401999797672
8,0.01,8,Tanh,1000,0.6805555555555555,0.660754604872252,0.6805555555555556,0.21155739994719625
8,0.01,8,Sigmoid,50,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.18312940001487732
8,0.01,8,Sigmoid,100,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.25826060003601015
8,0.01,8,Sigmoid,300,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.22544840001501143
8,0.01,8,Sigmoid,500,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.16840450000017881
8,0.01,8,Sigmoid,1000,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.14723899983800948
8,0.01,8,GELU,50,0.5833333333333333,0.560783298826777,0.5833333333333334,0.19058969989418983
8,0.01,8,GELU,100,0.5833333333333333,0.560783298826777,0.5833333333333334,0.17140459991060197
8,0.01,8,GELU,300,0.5833333333333333,0.560783298826777,0.5833333333333334,0.1752587000373751
8,0.01,8,GELU,500,0.5833333333333333,0.560783298826777,0.5833333333333334,0.14114690013229847
8,0.01,8,GELU,1000,0.5833333333333333,0.560783298826777,0.5833333333333334,0.2418620998505503
8,0.01,8,Softmax,50,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.25440629990771413
8,0.01,8,Softmax,100,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.21535720000974834
8,0.01,8,Softmax,300,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.18579960009083152
8,0.01,8,Softmax,500,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.20394799998030066
8,0.01,8,Softmax,1000,0.2638888888888889,0.2627855202323287,0.2638888888888889,0.17609260021708906
8,0.01,16,ReLU,50,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.11831380007788539
8,0.01,16,ReLU,100,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.11387470015324652
8,0.01,16,ReLU,300,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.11537920008413494
8,0.01,16,ReLU,500,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.12215179996564984
8,0.01,16,ReLU,1000,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.08879749989137053
8,0.01,16,Tanh,50,0.5694444444444444,0.5114732071690464,0.5694444444444444,0.08480260008946061
8,0.01,16,Tanh,100,0.5694444444444444,0.5114732071690464,0.5694444444444444,0.07872899994254112
8,0.01,16,Tanh,300,0.5694444444444444,0.5114732071690464,0.5694444444444444,0.08032199996523559
8,0.01,16,Tanh,500,0.5694444444444444,0.5114732071690464,0.5694444444444444,0.07873820001259446
8,0.01,16,Tanh,1000,0.5694444444444444,0.5114732071690464,0.5694444444444444,0.08893919992260635
8,0.01,16,Sigmoid,50,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.12335249991156161
8,0.01,16,Sigmoid,100,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.10601449990645051
8,0.01,16,Sigmoid,300,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.11251869983971119
8,0.01,16,Sigmoid,500,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.1027532999869436
8,0.01,16,Sigmoid,1000,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.09460070007480681
8,0.01,16,GELU,50,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.13680460001341999
8,0.01,16,GELU,100,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.1626597000285983
8,0.01,16,GELU,300,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.13255300000309944
8,0.01,16,GELU,500,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.12793059996329248
8,0.01,16,GELU,1000,0.5416666666666666,0.5149244092775376,0.5416666666666666,0.11860059993341565
8,0.01,16,Softmax,50,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.09121810016222298
8,0.01,16,Softmax,100,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.08952039992436767
8,0.01,16,Softmax,300,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.07889649993740022
8,0.01,16,Softmax,500,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.06945129996165633
8,0.01,16,Softmax,1000,0.2222222222222222,0.1986277269528501,0.2222222222222222,0.07301250007003546
8,0.01,32,ReLU,50,0.5,0.4500318522057653,0.5,0.06945920013822615
8,0.01,32,ReLU,100,0.5,0.4500318522057653,0.5,0.06868580006994307
8,0.01,32,ReLU,300,0.5,0.4500318522057653,0.5,0.06939580012112856
8,0.01,32,ReLU,500,0.5,0.4500318522057653,0.5,0.04653439996764064
