Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.3184693999937735
8,0.01,8,ReLU,100,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.3078980999998748
8,0.01,8,ReLU,300,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.2977364000398665
8,0.01,8,ReLU,500,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.3526077999849804
8,0.01,8,ReLU,1000,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.3953078999766148
8,0.01,8,Tanh,50,0.7987512487512488,0.8098473585659847,0.8562691131498471,0.2355066999443806
8,0.01,8,Tanh,100,0.7987512487512488,0.8098473585659847,0.8562691131498471,0.2931067000026814
8,0.01,8,Tanh,300,0.7987512487512488,0.8098473585659847,0.8562691131498471,0.2454909000080078
8,0.01,8,Tanh,500,0.7987512487512488,0.8098473585659847,0.8562691131498471,0.2557451000320725
8,0.01,8,Tanh,1000,0.7987512487512488,0.8098473585659847,0.8562691131498471,0.246324400010053
8,0.01,8,Sigmoid,50,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4660336000379175
8,0.01,8,Sigmoid,100,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4326522000483237
8,0.01,8,Sigmoid,300,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4131268999772146
8,0.01,8,Sigmoid,500,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4564079000265337
8,0.01,8,Sigmoid,1000,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4042183000128716
8,0.01,8,GELU,50,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.319541200005915
8,0.01,8,GELU,100,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.2858860000269487
8,0.01,8,GELU,300,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.3084385999827645
8,0.01,8,GELU,500,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.29688709997572
8,0.01,8,GELU,1000,0.8177722277722278,0.8251641651031895,0.8685015290519877,0.2776079000323079
8,0.01,8,Softmax,50,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.3827514000004157
8,0.01,8,Softmax,100,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.3701269000303
8,0.01,8,Softmax,300,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4002245999872684
8,0.01,8,Softmax,500,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.4004921999876387
8,0.01,8,Softmax,1000,0.7726373626373626,0.7815588902050035,0.8440366972477065,0.3912541000172496
8,0.01,16,ReLU,50,0.799070929070929,0.8081857793165167,0.8501529051987767,0.2024842000100761
8,0.01,16,ReLU,100,0.799070929070929,0.8081857793165167,0.8501529051987767,0.2046721000224352
8,0.01,16,ReLU,300,0.799070929070929,0.8081857793165167,0.8501529051987767,0.1699355000164359
8,0.01,16,ReLU,500,0.799070929070929,0.8081857793165167,0.8501529051987767,0.2037279999931343
8,0.01,16,ReLU,1000,0.799070929070929,0.8081857793165167,0.8501529051987767,0.2012905000010505
8,0.01,16,Tanh,50,0.8039960039960039,0.8154558756378592,0.8623853211009175,0.1827578999800607
8,0.01,16,Tanh,100,0.8039960039960039,0.8154558756378592,0.8623853211009175,0.1710180999943986
8,0.01,16,Tanh,300,0.8039960039960039,0.8154558756378592,0.8623853211009175,0.1614601000328548
8,0.01,16,Tanh,500,0.8039960039960039,0.8154558756378592,0.8623853211009175,0.1917329999851063
8,0.01,16,Tanh,1000,0.8039960039960039,0.8154558756378592,0.8623853211009175,0.1716663000406697
8,0.01,16,Sigmoid,50,0.7525774225774226,0.7533805123122347,0.8379204892966361,0.2558477999991737
8,0.01,16,Sigmoid,100,0.7525774225774226,0.7533805123122347,0.8379204892966361,0.2835551999742165
8,0.01,16,Sigmoid,300,0.7525774225774226,0.7533805123122347,0.8379204892966361,0.2958924000267871
8,0.01,16,Sigmoid,500,0.7525774225774226,0.7533805123122347,0.8379204892966361,0.2652997000259347
8,0.01,16,Sigmoid,1000,0.7525774225774226,0.7533805123122347,0.8379204892966361,0.2774190999916754
8,0.01,16,GELU,50,0.799070929070929,0.8081857793165167,0.8501529051987767,0.1929001999669708
