Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.17976660002022982
8,0.01,8,ReLU,100,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.2253509999718517
8,0.01,8,ReLU,300,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.14212449989281595
8,0.01,8,ReLU,500,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.34335860004648566
8,0.01,8,ReLU,1000,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.1323744000401348
8,0.01,8,Tanh,50,0.84,0.8395740905057675,0.84,0.14228820009157062
8,0.01,8,Tanh,100,0.84,0.8395740905057675,0.84,0.18475489993579686
8,0.01,8,Tanh,300,0.84,0.8395740905057675,0.84,0.12011349992826581
8,0.01,8,Tanh,500,0.84,0.8395740905057675,0.84,0.23440610012039542
8,0.01,8,Tanh,1000,0.84,0.8395740905057675,0.84,0.12053930014371872
8,0.01,8,Sigmoid,50,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.1682180999778211
8,0.01,8,Sigmoid,100,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.1497470000758767
8,0.01,8,Sigmoid,300,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.12949920003302395
8,0.01,8,Sigmoid,500,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.21610280009917915
8,0.01,8,Sigmoid,1000,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.13231229991652071
8,0.01,8,GELU,50,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.1655874999705702
8,0.01,8,GELU,100,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.22655020002275705
8,0.01,8,GELU,300,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.209307000041008
8,0.01,8,GELU,500,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.1662335000000894
8,0.01,8,GELU,1000,0.9133333333333332,0.9133153310512596,0.9133333333333333,0.18909120000898838
8,0.01,8,Softmax,50,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.1444254000671208
8,0.01,8,Softmax,100,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.1496350998058915
8,0.01,8,Softmax,300,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.18745049997232854
8,0.01,8,Softmax,500,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.12193619995377958
8,0.01,8,Softmax,1000,0.7666666666666666,0.7579278625030259,0.7666666666666667,0.22600780008360744
8,0.01,16,ReLU,50,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.09944169991649687
8,0.01,16,ReLU,100,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.19083440001122653
8,0.01,16,ReLU,300,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.10761680011637509
8,0.01,16,ReLU,500,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.13462949986569583
8,0.01,16,ReLU,1000,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.12404970009811223
8,0.01,16,Tanh,50,0.9,0.899071450105517,0.9,0.10015209997072816
8,0.01,16,Tanh,100,0.9,0.899071450105517,0.9,0.10545750008895993
8,0.01,16,Tanh,300,0.9,0.899071450105517,0.9,0.12879989994689822
8,0.01,16,Tanh,500,0.9,0.899071450105517,0.9,0.07868229993619025
8,0.01,16,Tanh,1000,0.9,0.899071450105517,0.9,0.07896950002759695
8,0.01,16,Sigmoid,50,0.84,0.8366739288307915,0.84,0.20142289996147156
8,0.01,16,Sigmoid,100,0.84,0.8366739288307915,0.84,0.1326198000460863
8,0.01,16,Sigmoid,300,0.84,0.8366739288307915,0.84,0.23177179996855557
8,0.01,16,Sigmoid,500,0.84,0.8366739288307915,0.84,0.13146540010347962
8,0.01,16,Sigmoid,1000,0.84,0.8366739288307915,0.84,0.19170950003899634
8,0.01,16,GELU,50,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.09994810004718602
8,0.01,16,GELU,100,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.10950049990788102
8,0.01,16,GELU,300,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.12277380004525185
8,0.01,16,GELU,500,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.08933610003441572
8,0.01,16,GELU,1000,0.9066666666666666,0.9065148518036056,0.9066666666666666,0.10957840015180409
8,0.01,16,Softmax,50,0.84,0.8366739288307915,0.84,0.1767318998463452
8,0.01,16,Softmax,100,0.84,0.8366739288307915,0.84,0.11881059990264475
8,0.01,16,Softmax,300,0.84,0.8366739288307915,0.84,0.19371160003356636
8,0.01,16,Softmax,500,0.84,0.8366739288307915,0.84,0.13076930004172027
8,0.01,16,Softmax,1000,0.84,0.8366739288307915,0.84,0.22438809997402132
8,0.01,32,ReLU,50,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.05737040005624294
8,0.01,32,ReLU,100,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.09397029993124306
8,0.01,32,ReLU,300,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.11363779986277223
8,0.01,32,ReLU,500,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.06870809989050031
8,0.01,32,ReLU,1000,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.056525300024077296
8,0.01,32,Tanh,50,0.9066666666666666,0.9062606837606837,0.9066666666666666,0.07660989998839796
8,0.01,32,Tanh,100,0.9066666666666666,0.9062606837606837,0.9066666666666666,0.11833999981172383
8,0.01,32,Tanh,300,0.9066666666666666,0.9062606837606837,0.9066666666666666,0.07489829999394715
8,0.01,32,Tanh,500,0.9066666666666666,0.9062606837606837,0.9066666666666666,0.05725389998406172
8,0.01,32,Tanh,1000,0.9066666666666666,0.9062606837606837,0.9066666666666666,0.07211660011671484
8,0.01,32,Sigmoid,50,0.84,0.8389298982004149,0.84,0.12950889999046922
8,0.01,32,Sigmoid,100,0.84,0.8389298982004149,0.84,0.0899227000772953
8,0.01,32,Sigmoid,300,0.84,0.8389298982004149,0.84,0.07891750009730458
8,0.01,32,Sigmoid,500,0.84,0.8389298982004149,0.84,0.15164080006070435
8,0.01,32,Sigmoid,1000,0.84,0.8389298982004149,0.84,0.08100809995085001
8,0.01,32,GELU,50,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.05780939990654588
8,0.01,32,GELU,100,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.0690586999990046
8,0.01,32,GELU,300,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.12495169998146594
8,0.01,32,GELU,500,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.09569200011901557
8,0.01,32,GELU,1000,0.8066666666666666,0.8086647830181845,0.8066666666666666,0.07999920006841421
8,0.01,32,Softmax,50,0.84,0.8389298982004149,0.84,0.0791011000983417
8,0.01,32,Softmax,100,0.84,0.8389298982004149,0.84,0.1572279001120478
8,0.01,32,Softmax,300,0.84,0.8389298982004149,0.84,0.07966380007565022
8,0.01,32,Softmax,500,0.84,0.8389298982004149,0.84,0.06887029996141791
8,0.01,32,Softmax,1000,0.84,0.8389298982004149,0.84,0.06864310009405017
8,0.01,64,ReLU,50,0.7999999999999999,0.8009652883136984,0.8,0.09369960008189082
8,0.01,64,ReLU,100,0.7999999999999999,0.8009652883136984,0.8,0.04829659988172352
8,0.01,64,ReLU,300,0.7999999999999999,0.8009652883136984,0.8,0.04770650016143918
8,0.01,64,ReLU,500,0.7999999999999999,0.8009652883136984,0.8,0.04720549983903766
8,0.01,64,ReLU,1000,0.7999999999999999,0.8009652883136984,0.8,0.10857870010659099
8,0.01,64,Tanh,50,0.8733333333333334,0.8742080337087272,0.8733333333333333,0.058761300053447485
8,0.01,64,Tanh,100,0.8733333333333334,0.8742080337087272,0.8733333333333333,0.06962620001286268
8,0.01,64,Tanh,300,0.8733333333333334,0.8742080337087272,0.8733333333333333,0.07168400008231401
8,0.01,64,Tanh,500,0.8733333333333334,0.8742080337087272,0.8733333333333333,0.10447710007429123
8,0.01,64,Tanh,1000,0.8733333333333334,0.8742080337087272,0.8733333333333333,0.058244199957698584
8,0.01,64,Sigmoid,50,0.8466666666666667,0.8464474357937856,0.8466666666666667,0.05707060010172427
8,0.01,64,Sigmoid,100,0.8466666666666667,0.8464474357937856,0.8466666666666667,0.07178810006007552
8,0.01,64,Sigmoid,300,0.8466666666666667,0.8464474357937856,0.8466666666666667,0.10046750004403293
8,0.01,64,Sigmoid,500,0.8466666666666667,0.8464474357937856,0.8466666666666667,0.07060900004580617
8,0.01,64,Sigmoid,1000,0.8466666666666667,0.8464474357937856,0.8466666666666667,0.0583852999843657
8,0.01,64,GELU,50,0.7999999999999999,0.8009652883136984,0.8,0.09098189999349415
