Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.952,0.9519414591281883,0.952,1.926791800011415
8,0.01,8,ReLU,100,0.952,0.9519414591281883,0.952,1.8435154000180773
8,0.01,8,ReLU,300,0.952,0.9519414591281883,0.952,1.8711430000257678
8,0.01,8,ReLU,500,0.952,0.9519414591281883,0.952,1.9063708000467159
8,0.01,8,ReLU,1000,0.952,0.9519414591281883,0.952,1.888860399951227
8,0.01,8,Tanh,50,0.9475,0.9474733766438461,0.9475,2.0514808999723755
8,0.01,8,Tanh,100,0.9475,0.9474733766438461,0.9475,2.0156423000153154
8,0.01,8,Tanh,300,0.9475,0.9474733766438461,0.9475,1.9200405000010505
8,0.01,8,Tanh,500,0.9475,0.9474733766438461,0.9475,1.953341599961277
8,0.01,8,Tanh,1000,0.9475,0.9474733766438461,0.9475,1.9913815000327304
8,0.01,8,Sigmoid,50,0.9510000000000002,0.9510203753569888,0.951,1.7896275000530295
8,0.01,8,Sigmoid,100,0.9510000000000002,0.9510203753569888,0.951,1.9914935000124387
8,0.01,8,Sigmoid,300,0.9510000000000002,0.9510203753569888,0.951,1.9758180000353605
8,0.01,8,Sigmoid,500,0.9510000000000002,0.9510203753569888,0.951,1.898577599960845
8,0.01,8,Sigmoid,1000,0.9510000000000002,0.9510203753569888,0.951,1.837250899989158
8,0.01,8,GELU,50,0.952,0.9519414591281883,0.952,1.736377299996093
8,0.01,8,GELU,100,0.952,0.9519414591281883,0.952,1.7508065999718383
8,0.01,8,GELU,300,0.952,0.9519414591281883,0.952,1.8564684999873862
8,0.01,8,GELU,500,0.952,0.9519414591281883,0.952,1.8256703999941237
8,0.01,8,GELU,1000,0.952,0.9519414591281883,0.952,1.8513755000312813
8,0.01,8,Softmax,50,0.9510000000000002,0.9510203753569888,0.951,1.9855136999976821
8,0.01,8,Softmax,100,0.9510000000000002,0.9510203753569888,0.951,1.946829600026831
8,0.01,8,Softmax,300,0.9510000000000002,0.9510203753569888,0.951,1.9069546000100672
8,0.01,8,Softmax,500,0.9510000000000002,0.9510203753569888,0.951,1.9334965000161901
8,0.01,8,Softmax,1000,0.9510000000000002,0.9510203753569888,0.951,1.8341202000156045
8,0.01,16,ReLU,50,0.9630000000000001,0.962998021962018,0.963,1.1548114999895915
8,0.01,16,ReLU,100,0.9630000000000001,0.962998021962018,0.963,1.1081380000105128
8,0.01,16,ReLU,300,0.9630000000000001,0.962998021962018,0.963,1.1955223000259139
8,0.01,16,ReLU,500,0.9630000000000001,0.962998021962018,0.963,1.1008304000133649
8,0.01,16,ReLU,1000,0.9630000000000001,0.962998021962018,0.963,1.180287299968768
8,0.01,16,Tanh,50,0.9525,0.9523921568162275,0.9525,1.4753940000082366
8,0.01,16,Tanh,100,0.9525,0.9523921568162275,0.9525,1.3525374999735504
8,0.01,16,Tanh,300,0.9525,0.9523921568162275,0.9525,1.3068832000135444
8,0.01,16,Tanh,500,0.9525,0.9523921568162275,0.9525,1.3187495000311173
8,0.01,16,Tanh,1000,0.9525,0.9523921568162275,0.9525,1.329110299993772
8,0.01,16,Sigmoid,50,0.9560000000000001,0.9559362879302192,0.956,1.1192819999996573
8,0.01,16,Sigmoid,100,0.9560000000000001,0.9559362879302192,0.956,1.1326839000103064
8,0.01,16,Sigmoid,300,0.9560000000000001,0.9559362879302192,0.956,1.1527599000255577
8,0.01,16,Sigmoid,500,0.9560000000000001,0.9559362879302192,0.956,1.1519189000246115
8,0.01,16,Sigmoid,1000,0.9560000000000001,0.9559362879302192,0.956,1.1334356000297703
8,0.01,16,GELU,50,0.9630000000000001,0.962998021962018,0.963,1.1616220000432804
8,0.01,16,GELU,100,0.9630000000000001,0.962998021962018,0.963,1.1541297999792732
8,0.01,16,GELU,300,0.9630000000000001,0.962998021962018,0.963,1.168206999951508
8,0.01,16,GELU,500,0.9630000000000001,0.962998021962018,0.963,1.2631975000258535
8,0.01,16,GELU,1000,0.9630000000000001,0.962998021962018,0.963,1.2353569999686442
8,0.01,16,Softmax,50,0.9560000000000001,0.9559362879302192,0.956,1.1917466000304557
8,0.01,16,Softmax,100,0.9560000000000001,0.9559362879302192,0.956,1.195093700021971
