Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.937,0.9370503670933056,0.937,1.503459700034
8,0.01,8,ReLU,100,0.937,0.9370503670933056,0.937,1.5804579000687229
8,0.01,8,ReLU,300,0.937,0.9370503670933056,0.937,1.4407451999140903
8,0.01,8,ReLU,500,0.937,0.9370503670933056,0.937,1.4634984999429437
8,0.01,8,ReLU,1000,0.937,0.9370503670933056,0.937,1.4655418000184
8,0.01,8,Tanh,50,0.93,0.9298944218939028,0.93,1.4737212000181898
8,0.01,8,Tanh,100,0.93,0.9298944218939028,0.93,1.5165999000892043
8,0.01,8,Tanh,300,0.93,0.9298944218939028,0.93,1.5928647000109777
8,0.01,8,Tanh,500,0.93,0.9298944218939028,0.93,1.6112371000926942
8,0.01,8,Tanh,1000,0.93,0.9298944218939028,0.93,1.4758589999983087
8,0.01,8,Sigmoid,50,0.934,0.9338505516039788,0.934,1.5172468998935074
8,0.01,8,Sigmoid,100,0.934,0.9338505516039788,0.934,1.4769446999998763
8,0.01,8,Sigmoid,300,0.934,0.9338505516039788,0.934,1.4850063000340017
8,0.01,8,Sigmoid,500,0.934,0.9338505516039788,0.934,1.5449317999882624
8,0.01,8,Sigmoid,1000,0.934,0.9338505516039788,0.934,1.4965396000770852
8,0.01,8,GELU,50,0.937,0.9370503670933056,0.937,1.4027147999731824
8,0.01,8,GELU,100,0.937,0.9370503670933056,0.937,1.4680362000362948
8,0.01,8,GELU,300,0.937,0.9370503670933056,0.937,1.6356039999518543
8,0.01,8,GELU,500,0.937,0.9370503670933056,0.937,1.6119840000756085
8,0.01,8,GELU,1000,0.937,0.9370503670933056,0.937,1.540140200057067
8,0.01,8,Softmax,50,0.934,0.9338505516039788,0.934,1.4863130999729035
8,0.01,8,Softmax,100,0.934,0.9338505516039788,0.934,1.5987153999740258
8,0.01,8,Softmax,300,0.934,0.9338505516039788,0.934,1.4861589999636635
8,0.01,8,Softmax,500,0.934,0.9338505516039788,0.934,1.4860774000408128
8,0.01,8,Softmax,1000,0.934,0.9338505516039788,0.934,1.4957447000779212
8,0.01,16,ReLU,50,0.9345,0.9344536706035326,0.9345,0.8345113999675959
8,0.01,16,ReLU,100,0.9345,0.9344536706035326,0.9345,0.8662526999833062
8,0.01,16,ReLU,300,0.9345,0.9344536706035326,0.9345,0.8526542999316007
8,0.01,16,ReLU,500,0.9345,0.9344536706035326,0.9345,0.8343306999886408
8,0.01,16,ReLU,1000,0.9345,0.9344536706035326,0.9345,0.8958112000254914
8,0.01,16,Tanh,50,0.931,0.9308234579789504,0.931,1.0131948998896405
8,0.01,16,Tanh,100,0.931,0.9308234579789504,0.931,0.9623817000538112
8,0.01,16,Tanh,300,0.931,0.9308234579789504,0.931,1.021549899945967
8,0.01,16,Tanh,500,0.931,0.9308234579789504,0.931,0.9602009999798612
8,0.01,16,Tanh,1000,0.931,0.9308234579789504,0.931,0.9349785000085832
