Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.5597956000128761
8,0.01,8,ReLU,100,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.586475900025107
8,0.01,8,ReLU,300,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6436152999522164
8,0.01,8,ReLU,500,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6036141000222415
8,0.01,8,ReLU,1000,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.5710299999918789
8,0.01,8,Tanh,50,1.0,1.0,1.0,0.5404245000099763
8,0.01,8,Tanh,100,1.0,1.0,1.0,0.5399777999846265
8,0.01,8,Tanh,300,1.0,1.0,1.0,0.5288221000228077
8,0.01,8,Tanh,500,1.0,1.0,1.0,0.5506017999723554
8,0.01,8,Tanh,1000,1.0,1.0,1.0,0.5685643999604508
8,0.01,8,Sigmoid,50,1.0,1.0,1.0,0.5800681000109762
8,0.01,8,Sigmoid,100,1.0,1.0,1.0,0.5798545000143349
8,0.01,8,Sigmoid,300,1.0,1.0,1.0,0.5697978999232873
8,0.01,8,Sigmoid,500,1.0,1.0,1.0,0.5908022999064997
8,0.01,8,Sigmoid,1000,1.0,1.0,1.0,0.6408686999930069
8,0.01,8,GELU,50,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6030496000312269
8,0.01,8,GELU,100,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6144400000339374
8,0.01,8,GELU,300,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.5902480999939144
8,0.01,8,GELU,500,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6437331000342965
8,0.01,8,GELU,1000,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.6010513000655919
8,0.01,8,Softmax,50,1.0,1.0,1.0,0.6029208999825642
8,0.01,8,Softmax,100,1.0,1.0,1.0,0.6122078000335023
8,0.01,8,Softmax,300,1.0,1.0,1.0,0.5824649999849498
8,0.01,8,Softmax,500,1.0,1.0,1.0,0.5604289000621065
8,0.01,8,Softmax,1000,1.0,1.0,1.0,0.5831817999714985
8,0.01,16,ReLU,50,1.0,1.0,1.0,0.31884700001683086
8,0.01,16,ReLU,100,1.0,1.0,1.0,0.30830629996489733
8,0.01,16,ReLU,300,1.0,1.0,1.0,0.3088685000548139
8,0.01,16,ReLU,500,1.0,1.0,1.0,0.32890199997927994
8,0.01,16,ReLU,1000,1.0,1.0,1.0,0.3196155000478029
8,0.01,16,Tanh,50,1.0,1.0,1.0,0.3183750999160111
8,0.01,16,Tanh,100,1.0,1.0,1.0,0.32919189997483045
8,0.01,16,Tanh,300,1.0,1.0,1.0,0.32986309996340424
8,0.01,16,Tanh,500,1.0,1.0,1.0,0.3195869999472052
8,0.01,16,Tanh,1000,1.0,1.0,1.0,0.3191845000255853
8,0.01,16,Sigmoid,50,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.3505879999138415
8,0.01,16,Sigmoid,100,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.35029169998597354
8,0.01,16,Sigmoid,300,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.34073799999896437
8,0.01,16,Sigmoid,500,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.3395511000417173
8,0.01,16,Sigmoid,1000,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.3621513000689447
8,0.01,16,GELU,50,1.0,1.0,1.0,0.3298553000204265
8,0.01,16,GELU,100,1.0,1.0,1.0,0.3551462000468746
8,0.01,16,GELU,300,1.0,1.0,1.0,0.3203539999667555
8,0.01,16,GELU,500,1.0,1.0,1.0,0.32153810001909733
8,0.01,16,GELU,1000,1.0,1.0,1.0,0.33155720005743206
8,0.01,16,Softmax,50,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.34924969996791333
8,0.01,16,Softmax,100,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.35039500007405877
8,0.01,16,Softmax,300,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.3507230000104755
8,0.01,16,Softmax,500,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.35920049995183945
8,0.01,16,Softmax,1000,0.9965753424657534,0.9977977598360628,0.9984894259818731,0.360846700030379
8,0.01,32,ReLU,50,1.0,1.0,1.0,0.20696239999961108
8,0.01,32,ReLU,100,1.0,1.0,1.0,0.22433070000261068
8,0.01,32,ReLU,300,1.0,1.0,1.0,0.2020524999825284
8,0.01,32,ReLU,500,1.0,1.0,1.0,0.19267320004291832
8,0.01,32,ReLU,1000,1.0,1.0,1.0,0.21410320000723004
8,0.01,32,Tanh,50,1.0,1.0,1.0,0.21486670000012964
8,0.01,32,Tanh,100,1.0,1.0,1.0,0.20422230008989573
8,0.01,32,Tanh,300,1.0,1.0,1.0,0.19414989999495447
8,0.01,32,Tanh,500,1.0,1.0,1.0,0.22549320000689477
