Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6328125,0.6289855072463768,0.6328125,0.16090670006815344
8,0.01,8,ReLU,100,0.6328125,0.6289855072463768,0.6328125,0.171944500063546
8,0.01,8,ReLU,300,0.6328125,0.6289855072463768,0.6328125,0.18910489999689162
8,0.01,8,ReLU,500,0.6328125,0.6289855072463768,0.6328125,0.20294109999667853
8,0.01,8,ReLU,1000,0.6328125,0.6289855072463768,0.6328125,0.18711990001611412
8,0.01,8,Tanh,50,0.609375,0.609375,0.609375,0.13656849996186793
8,0.01,8,Tanh,100,0.609375,0.609375,0.609375,0.11150790005922318
8,0.01,8,Tanh,300,0.609375,0.609375,0.609375,0.1306947999401018
8,0.01,8,Tanh,500,0.609375,0.609375,0.609375,0.14252459991257638
8,0.01,8,Tanh,1000,0.609375,0.609375,0.609375,0.12965839996468276
8,0.01,8,Sigmoid,50,0.5859375,0.5838802674354413,0.5859375,0.1515579998958856
8,0.01,8,Sigmoid,100,0.5859375,0.5838802674354413,0.5859375,0.1301054999930784
8,0.01,8,Sigmoid,300,0.5859375,0.5838802674354413,0.5859375,0.15296800003852695
8,0.01,8,Sigmoid,500,0.5859375,0.5838802674354413,0.5859375,0.15998350002337247
8,0.01,8,Sigmoid,1000,0.5859375,0.5838802674354413,0.5859375,0.15039530000649393
8,0.01,8,GELU,50,0.6328125,0.6289855072463768,0.6328125,0.1810094000538811
8,0.01,8,GELU,100,0.6328125,0.6289855072463768,0.6328125,0.20329650002531707
8,0.01,8,GELU,300,0.6328125,0.6289855072463768,0.6328125,0.18042190000414848
8,0.01,8,GELU,500,0.6328125,0.6289855072463768,0.6328125,0.1904060000088066
8,0.01,8,GELU,1000,0.6328125,0.6289855072463768,0.6328125,0.1952112999279052
8,0.01,8,Softmax,50,0.5859375,0.5838802674354413,0.5859375,0.14329069992527366
8,0.01,8,Softmax,100,0.5859375,0.5838802674354413,0.5859375,0.1410541000077501
8,0.01,8,Softmax,300,0.5859375,0.5838802674354413,0.5859375,0.13182910007890314
8,0.01,8,Softmax,500,0.5859375,0.5838802674354413,0.5859375,0.13990760000888258
8,0.01,8,Softmax,1000,0.5859375,0.5838802674354413,0.5859375,0.14008909999392927
8,0.01,16,ReLU,50,0.5703125,0.5503034174385181,0.5703125,0.0889669000171125
8,0.01,16,ReLU,100,0.5703125,0.5503034174385181,0.5703125,0.08883799996692687
8,0.01,16,ReLU,300,0.5703125,0.5503034174385181,0.5703125,0.09248690004460514
8,0.01,16,ReLU,500,0.5703125,0.5503034174385181,0.5703125,0.08836759999394417
8,0.01,16,ReLU,1000,0.5703125,0.5503034174385181,0.5703125,0.07841149996966124
8,0.01,16,Tanh,50,0.546875,0.5464320625610948,0.546875,0.08929559995885938
8,0.01,16,Tanh,100,0.546875,0.5464320625610948,0.546875,0.09022330003790557
8,0.01,16,Tanh,300,0.546875,0.5464320625610948,0.546875,0.0888725999975577
8,0.01,16,Tanh,500,0.546875,0.5464320625610948,0.546875,0.08987140003591776
8,0.01,16,Tanh,1000,0.546875,0.5464320625610948,0.546875,0.07902339997235686
8,0.01,16,Sigmoid,50,0.640625,0.6362737830491723,0.640625,0.09906459995545447
8,0.01,16,Sigmoid,100,0.640625,0.6362737830491723,0.640625,0.08189439994748682
8,0.01,16,Sigmoid,300,0.640625,0.6362737830491723,0.640625,0.09751670004334301
8,0.01,16,Sigmoid,500,0.640625,0.6362737830491723,0.640625,0.07734230009373277
8,0.01,16,Sigmoid,1000,0.640625,0.6362737830491723,0.640625,0.09072949993424118
8,0.01,16,GELU,50,0.5703125,0.5503034174385181,0.5703125,0.08889849996194243
8,0.01,16,GELU,100,0.5703125,0.5503034174385181,0.5703125,0.08936150011140853
8,0.01,16,GELU,300,0.5703125,0.5503034174385181,0.5703125,0.08846790005918592
8,0.01,16,GELU,500,0.5703125,0.5503034174385181,0.5703125,0.09202569990884513
8,0.01,16,GELU,1000,0.5703125,0.5503034174385181,0.5703125,0.09226910001598299
8,0.01,16,Softmax,50,0.640625,0.6362737830491723,0.640625,0.0771956000244245
8,0.01,16,Softmax,100,0.640625,0.6362737830491723,0.640625,0.07827559998258948
8,0.01,16,Softmax,300,0.640625,0.6362737830491723,0.640625,0.08925449999514967
8,0.01,16,Softmax,500,0.640625,0.6362737830491723,0.640625,0.08814220002386719
8,0.01,16,Softmax,1000,0.640625,0.6362737830491723,0.640625,0.07951650000177324
8,0.01,32,ReLU,50,0.5390625,0.5263124882393527,0.5390625,0.10166239994578063
8,0.01,32,ReLU,100,0.5390625,0.5263124882393527,0.5390625,0.07968160009477288
8,0.01,32,ReLU,300,0.5390625,0.5263124882393527,0.5390625,0.08879319997504354
8,0.01,32,ReLU,500,0.5390625,0.5263124882393527,0.5390625,0.0907919000601396
8,0.01,32,ReLU,1000,0.5390625,0.5263124882393527,0.5390625,0.08829589991364628
8,0.01,32,Tanh,50,0.5546875,0.5513742851872347,0.5546875,0.07831749995239079
8,0.01,32,Tanh,100,0.5546875,0.5513742851872347,0.5546875,0.07832960004452616
8,0.01,32,Tanh,300,0.5546875,0.5513742851872347,0.5546875,0.07790529995691031
8,0.01,32,Tanh,500,0.5546875,0.5513742851872347,0.5546875,0.07769329997245222
8,0.01,32,Tanh,1000,0.5546875,0.5513742851872347,0.5546875,0.0667513000080362
8,0.01,32,Sigmoid,50,0.625,0.611336032388664,0.625,0.06798980000894517
8,0.01,32,Sigmoid,100,0.625,0.611336032388664,0.625,0.06736390001606196
8,0.01,32,Sigmoid,300,0.625,0.611336032388664,0.625,0.06912779994308949
8,0.01,32,Sigmoid,500,0.625,0.611336032388664,0.625,0.056365400087088346
8,0.01,32,Sigmoid,1000,0.625,0.611336032388664,0.625,0.06837289989925921
8,0.01,32,GELU,50,0.5390625,0.5263124882393527,0.5390625,0.08758639998268336
8,0.01,32,GELU,100,0.5390625,0.5263124882393527,0.5390625,0.09904939995612949
8,0.01,32,GELU,300,0.5390625,0.5263124882393527,0.5390625,0.08749369997531176
8,0.01,32,GELU,500,0.5390625,0.5263124882393527,0.5390625,0.08749609999358654
8,0.01,32,GELU,1000,0.5390625,0.5263124882393527,0.5390625,0.09806600003503263
8,0.01,32,Softmax,50,0.625,0.611336032388664,0.625,0.06636980001349002
8,0.01,32,Softmax,100,0.625,0.611336032388664,0.625,0.0679258001036942
8,0.01,32,Softmax,300,0.625,0.611336032388664,0.625,0.06800440000370145
8,0.01,32,Softmax,500,0.625,0.611336032388664,0.625,0.06880849995650351
8,0.01,32,Softmax,1000,0.625,0.611336032388664,0.625,0.06823109998367727
8,0.01,64,ReLU,50,0.53125,0.5311355311355311,0.53125,0.05615409999154508
8,0.01,64,ReLU,100,0.53125,0.5311355311355311,0.53125,0.05642400006763637
8,0.01,64,ReLU,300,0.53125,0.5311355311355311,0.53125,0.05749400006607175
8,0.01,64,ReLU,500,0.53125,0.5311355311355311,0.53125,0.056754200020805
8,0.01,64,ReLU,1000,0.53125,0.5311355311355311,0.53125,0.05704200000036508
8,0.01,64,Tanh,50,0.5234375,0.5234084111579076,0.5234375,0.06855409999843687
8,0.01,64,Tanh,100,0.5234375,0.5234084111579076,0.5234375,0.06841720000375062
8,0.01,64,Tanh,300,0.5234375,0.5234084111579076,0.5234375,0.0576339999679476
8,0.01,64,Tanh,500,0.5234375,0.5234084111579076,0.5234375,0.06812609999906272
8,0.01,64,Tanh,1000,0.5234375,0.5234084111579076,0.5234375,0.05741640005726367
8,0.01,64,Sigmoid,50,0.578125,0.5675675675675675,0.578125,0.05602680006995797
8,0.01,64,Sigmoid,100,0.578125,0.5675675675675675,0.578125,0.046440099948085845
8,0.01,64,Sigmoid,300,0.578125,0.5675675675675675,0.578125,0.046410399954766035
8,0.01,64,Sigmoid,500,0.578125,0.5675675675675675,0.578125,0.057812999933958054
8,0.01,64,Sigmoid,1000,0.578125,0.5675675675675675,0.578125,0.047682999982498586
8,0.01,64,GELU,50,0.53125,0.5311355311355311,0.53125,0.054672099999152124
8,0.01,64,GELU,100,0.53125,0.5311355311355311,0.53125,0.06719200010411441
8,0.01,64,GELU,300,0.53125,0.5311355311355311,0.53125,0.05664170009549707
