Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6328125,0.6289855072463768,0.6328125,0.1609067000681534
8,0.01,8,ReLU,100,0.6328125,0.6289855072463768,0.6328125,0.171944500063546
8,0.01,8,ReLU,300,0.6328125,0.6289855072463768,0.6328125,0.1891048999968916
8,0.01,8,ReLU,500,0.6328125,0.6289855072463768,0.6328125,0.2029410999966785
8,0.01,8,ReLU,1000,0.6328125,0.6289855072463768,0.6328125,0.1871199000161141
8,0.01,8,Tanh,50,0.609375,0.609375,0.609375,0.1365684999618679
8,0.01,8,Tanh,100,0.609375,0.609375,0.609375,0.1115079000592231
8,0.01,8,Tanh,300,0.609375,0.609375,0.609375,0.1306947999401018
8,0.01,8,Tanh,500,0.609375,0.609375,0.609375,0.1425245999125763
8,0.01,8,Tanh,1000,0.609375,0.609375,0.609375,0.1296583999646827
8,0.01,8,Sigmoid,50,0.5859375,0.5838802674354413,0.5859375,0.1515579998958856
8,0.01,8,Sigmoid,100,0.5859375,0.5838802674354413,0.5859375,0.1301054999930784
8,0.01,8,Sigmoid,300,0.5859375,0.5838802674354413,0.5859375,0.1529680000385269
8,0.01,8,Sigmoid,500,0.5859375,0.5838802674354413,0.5859375,0.1599835000233724
8,0.01,8,Sigmoid,1000,0.5859375,0.5838802674354413,0.5859375,0.1503953000064939
8,0.01,8,GELU,50,0.6328125,0.6289855072463768,0.6328125,0.1810094000538811
8,0.01,8,GELU,100,0.6328125,0.6289855072463768,0.6328125,0.203296500025317
8,0.01,8,GELU,300,0.6328125,0.6289855072463768,0.6328125,0.1804219000041484
8,0.01,8,GELU,500,0.6328125,0.6289855072463768,0.6328125,0.1904060000088066
8,0.01,8,GELU,1000,0.6328125,0.6289855072463768,0.6328125,0.1952112999279052
8,0.01,8,Softmax,50,0.5859375,0.5838802674354413,0.5859375,0.1432906999252736
8,0.01,8,Softmax,100,0.5859375,0.5838802674354413,0.5859375,0.1410541000077501
8,0.01,8,Softmax,300,0.5859375,0.5838802674354413,0.5859375,0.1318291000789031
8,0.01,8,Softmax,500,0.5859375,0.5838802674354413,0.5859375,0.1399076000088825
8,0.01,8,Softmax,1000,0.5859375,0.5838802674354413,0.5859375,0.1400890999939292
8,0.01,16,ReLU,50,0.5703125,0.5503034174385181,0.5703125,0.0889669000171125
8,0.01,16,ReLU,100,0.5703125,0.5503034174385181,0.5703125,0.0888379999669268
8,0.01,16,ReLU,300,0.5703125,0.5503034174385181,0.5703125,0.0924869000446051
8,0.01,16,ReLU,500,0.5703125,0.5503034174385181,0.5703125,0.0883675999939441
8,0.01,16,ReLU,1000,0.5703125,0.5503034174385181,0.5703125,0.0784114999696612
8,0.01,16,Tanh,50,0.546875,0.5464320625610948,0.546875,0.0892955999588593
8,0.01,16,Tanh,100,0.546875,0.5464320625610948,0.546875,0.0902233000379055
8,0.01,16,Tanh,300,0.546875,0.5464320625610948,0.546875,0.0888725999975577
8,0.01,16,Tanh,500,0.546875,0.5464320625610948,0.546875,0.0898714000359177
8,0.01,16,Tanh,1000,0.546875,0.5464320625610948,0.546875,0.0790233999723568
8,0.01,16,Sigmoid,50,0.640625,0.6362737830491723,0.640625,0.0990645999554544
8,0.01,16,Sigmoid,100,0.640625,0.6362737830491723,0.640625,0.0818943999474868
8,0.01,16,Sigmoid,300,0.640625,0.6362737830491723,0.640625,0.097516700043343
8,0.01,16,Sigmoid,500,0.640625,0.6362737830491723,0.640625,0.0773423000937327
8,0.01,16,Sigmoid,1000,0.640625,0.6362737830491723,0.640625,0.0907294999342411
8,0.01,16,GELU,50,0.5703125,0.5503034174385181,0.5703125,0.0888984999619424
8,0.01,16,GELU,100,0.5703125,0.5503034174385181,0.5703125,0.0893615001114085
8,0.01,16,GELU,300,0.5703125,0.5503034174385181,0.5703125,0.0884679000591859
8,0.01,16,GELU,500,0.5703125,0.5503034174385181,0.5703125,0.0920256999088451
8,0.01,16,GELU,1000,0.5703125,0.5503034174385181,0.5703125,0.0922691000159829
8,0.01,16,Softmax,50,0.640625,0.6362737830491723,0.640625,0.0771956000244245
8,0.01,16,Softmax,100,0.640625,0.6362737830491723,0.640625,0.0782755999825894
8,0.01,16,Softmax,300,0.640625,0.6362737830491723,0.640625,0.0892544999951496
8,0.01,16,Softmax,500,0.640625,0.6362737830491723,0.640625,0.0881422000238671
8,0.01,16,Softmax,1000,0.640625,0.6362737830491723,0.640625,0.0795165000017732
8,0.01,32,ReLU,50,0.5390625,0.5263124882393527,0.5390625,0.1016623999457806
8,0.01,32,ReLU,100,0.5390625,0.5263124882393527,0.5390625,0.0796816000947728
8,0.01,32,ReLU,300,0.5390625,0.5263124882393527,0.5390625,0.0887931999750435
8,0.01,32,ReLU,500,0.5390625,0.5263124882393527,0.5390625,0.0907919000601396
8,0.01,32,ReLU,1000,0.5390625,0.5263124882393527,0.5390625,0.0882958999136462
8,0.01,32,Tanh,50,0.5546875,0.5513742851872347,0.5546875,0.0783174999523907
8,0.01,32,Tanh,100,0.5546875,0.5513742851872347,0.5546875,0.0783296000445261
8,0.01,32,Tanh,300,0.5546875,0.5513742851872347,0.5546875,0.0779052999569103
8,0.01,32,Tanh,500,0.5546875,0.5513742851872347,0.5546875,0.0776932999724522
8,0.01,32,Tanh,1000,0.5546875,0.5513742851872347,0.5546875,0.0667513000080362
8,0.01,32,Sigmoid,50,0.625,0.611336032388664,0.625,0.0679898000089451
8,0.01,32,Sigmoid,100,0.625,0.611336032388664,0.625,0.0673639000160619
8,0.01,32,Sigmoid,300,0.625,0.611336032388664,0.625,0.0691277999430894
8,0.01,32,Sigmoid,500,0.625,0.611336032388664,0.625,0.0563654000870883
8,0.01,32,Sigmoid,1000,0.625,0.611336032388664,0.625,0.0683728998992592
8,0.01,32,GELU,50,0.5390625,0.5263124882393527,0.5390625,0.0875863999826833
8,0.01,32,GELU,100,0.5390625,0.5263124882393527,0.5390625,0.0990493999561294
8,0.01,32,GELU,300,0.5390625,0.5263124882393527,0.5390625,0.0874936999753117
8,0.01,32,GELU,500,0.5390625,0.5263124882393527,0.5390625,0.0874960999935865
8,0.01,32,GELU,1000,0.5390625,0.5263124882393527,0.5390625,0.0980660000350326
8,0.01,32,Softmax,50,0.625,0.611336032388664,0.625,0.06636980001349
8,0.01,32,Softmax,100,0.625,0.611336032388664,0.625,0.0679258001036942
8,0.01,32,Softmax,300,0.625,0.611336032388664,0.625,0.0680044000037014
8,0.01,32,Softmax,500,0.625,0.611336032388664,0.625,0.0688084999565035
8,0.01,32,Softmax,1000,0.625,0.611336032388664,0.625,0.0682310999836772
8,0.01,64,ReLU,50,0.53125,0.5311355311355311,0.53125,0.056154099991545
8,0.01,64,ReLU,100,0.53125,0.5311355311355311,0.53125,0.0564240000676363
8,0.01,64,ReLU,300,0.53125,0.5311355311355311,0.53125,0.0574940000660717
8,0.01,64,ReLU,500,0.53125,0.5311355311355311,0.53125,0.056754200020805
8,0.01,64,ReLU,1000,0.53125,0.5311355311355311,0.53125,0.057042000000365
8,0.01,64,Tanh,50,0.5234375,0.5234084111579076,0.5234375,0.0685540999984368
8,0.01,64,Tanh,100,0.5234375,0.5234084111579076,0.5234375,0.0684172000037506
8,0.01,64,Tanh,300,0.5234375,0.5234084111579076,0.5234375,0.0576339999679476
8,0.01,64,Tanh,500,0.5234375,0.5234084111579076,0.5234375,0.0681260999990627
8,0.01,64,Tanh,1000,0.5234375,0.5234084111579076,0.5234375,0.0574164000572636
8,0.01,64,Sigmoid,50,0.578125,0.5675675675675675,0.578125,0.0560268000699579
8,0.01,64,Sigmoid,100,0.578125,0.5675675675675675,0.578125,0.0464400999480858
8,0.01,64,Sigmoid,300,0.578125,0.5675675675675675,0.578125,0.046410399954766
8,0.01,64,Sigmoid,500,0.578125,0.5675675675675675,0.578125,0.057812999933958
8,0.01,64,Sigmoid,1000,0.578125,0.5675675675675675,0.578125,0.0476829999824985
8,0.01,64,GELU,50,0.53125,0.5311355311355311,0.53125,0.0546720999991521
8,0.01,64,GELU,100,0.53125,0.5311355311355311,0.53125,0.0671920001041144
8,0.01,64,GELU,300,0.53125,0.5311355311355311,0.53125,0.056641700095497
8,0.01,64,GELU,500,0.53125,0.5311355311355311,0.53125,0.0580711000366136
8,0.01,64,GELU,1000,0.53125,0.5311355311355311,0.53125,0.0564428999787196
8,0.01,64,Softmax,50,0.578125,0.5675675675675675,0.578125,0.0565318999579176
8,0.01,64,Softmax,100,0.578125,0.5675675675675675,0.578125,0.0573972999118268
8,0.01,64,Softmax,300,0.578125,0.5675675675675675,0.578125,0.0572012000484392
8,0.01,64,Softmax,500,0.578125,0.5675675675675675,0.578125,0.0570137000177055
8,0.01,64,Softmax,1000,0.578125,0.5675675675675675,0.578125,0.0561090999981388
8,0.01,128,ReLU,50,0.4765625,0.4762748091603053,0.4765625,0.0467687000054866
8,0.01,128,ReLU,100,0.4765625,0.4762748091603053,0.4765625,0.0469565000385046
8,0.01,128,ReLU,300,0.4765625,0.4762748091603053,0.4765625,0.0460116999456658
8,0.01,128,ReLU,500,0.4765625,0.4762748091603053,0.4765625,0.0568572001066058
8,0.01,128,ReLU,1000,0.4765625,0.4762748091603053,0.4765625,0.0565844000084325
8,0.01,128,Tanh,50,0.453125,0.4509803921568627,0.453125,0.0576616000616923
8,0.01,128,Tanh,100,0.453125,0.4509803921568627,0.453125,0.0727004000218585
8,0.01,128,Tanh,300,0.453125,0.4509803921568627,0.453125,0.0570244000991806
8,0.01,128,Tanh,500,0.453125,0.4509803921568627,0.453125,0.0574033999582752
8,0.01,128,Tanh,1000,0.453125,0.4509803921568627,0.453125,0.0672594000352546
8,0.01,128,Sigmoid,50,0.515625,0.5126504544338001,0.515625,0.0466019999003037
8,0.01,128,Sigmoid,100,0.515625,0.5126504544338001,0.515625,0.0464934000046923
8,0.01,128,Sigmoid,300,0.515625,0.5126504544338001,0.515625,0.0461555999936535
8,0.01,128,Sigmoid,500,0.515625,0.5126504544338001,0.515625,0.0472864999901503
8,0.01,128,Sigmoid,1000,0.515625,0.5126504544338001,0.515625,0.0459535999689251
8,0.01,128,GELU,50,0.4765625,0.4762748091603053,0.4765625,0.0466277999803423
8,0.01,128,GELU,100,0.4765625,0.4762748091603053,0.4765625,0.0457423999905586
8,0.01,128,GELU,300,0.4765625,0.4762748091603053,0.4765625,0.0468302000081166
8,0.01,128,GELU,500,0.4765625,0.4762748091603053,0.4765625,0.0598036999581381
8,0.01,128,GELU,1000,0.4765625,0.4762748091603053,0.4765625,0.0490298999939113
8,0.01,128,Softmax,50,0.515625,0.5126504544338001,0.515625,0.0460415999405086
8,0.01,128,Softmax,100,0.515625,0.5126504544338001,0.515625,0.0476223999867215
8,0.01,128,Softmax,300,0.515625,0.5126504544338001,0.515625,0.0570860999869182
8,0.01,128,Softmax,500,0.515625,0.5126504544338001,0.515625,0.0580888000549748
8,0.01,128,Softmax,1000,0.515625,0.5126504544338001,0.515625,0.0565770999528467
8,0.001,8,ReLU,50,0.453125,0.452991452991453,0.453125,0.2589464000193402
8,0.001,8,ReLU,100,0.453125,0.452991452991453,0.453125,0.23442959995009
8,0.001,8,ReLU,300,0.453125,0.452991452991453,0.453125,0.2224685000255704
8,0.001,8,ReLU,500,0.453125,0.452991452991453,0.453125,0.266577500035055
8,0.001,8,ReLU,1000,0.453125,0.452991452991453,0.453125,0.229314099997282
