Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9754901960784315,0.9816656814112285,0.984984984984985,0.22424529993440956
8,0.01,8,ReLU,100,0.9754901960784315,0.9816656814112285,0.984984984984985,0.2229269000235945
8,0.01,8,ReLU,300,0.9754901960784315,0.9816656814112285,0.984984984984985,0.23550830001477152
8,0.01,8,ReLU,500,0.9754901960784315,0.9816656814112285,0.984984984984985,0.23586330004036427
8,0.01,8,ReLU,1000,0.9754901960784315,0.9816656814112285,0.984984984984985,0.24521640001330525
8,0.01,8,Tanh,50,0.9656862745098039,0.9741083542903564,0.978978978978979,0.2680303000379354
8,0.01,8,Tanh,100,0.9656862745098039,0.9741083542903564,0.978978978978979,0.24635929998476058
8,0.01,8,Tanh,300,0.9656862745098039,0.9741083542903564,0.978978978978979,0.23527970002032816
8,0.01,8,Tanh,500,0.9656862745098039,0.9741083542903564,0.978978978978979,0.22344150010030717
8,0.01,8,Tanh,1000,0.9656862745098039,0.9741083542903564,0.978978978978979,0.2240876000141725
8,0.01,8,Sigmoid,50,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24543940008152276
8,0.01,8,Sigmoid,100,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24353940004948527
8,0.01,8,Sigmoid,300,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24594860000070184
8,0.01,8,Sigmoid,500,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24547319998964667
8,0.01,8,Sigmoid,1000,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24570559989660978
8,0.01,8,GELU,50,0.9754901960784315,0.9816656814112285,0.984984984984985,0.21408720000181347
8,0.01,8,GELU,100,0.9754901960784315,0.9816656814112285,0.984984984984985,0.22649300005286932
8,0.01,8,GELU,300,0.9754901960784315,0.9816656814112285,0.984984984984985,0.2231187999714166
8,0.01,8,GELU,500,0.9754901960784315,0.9816656814112285,0.984984984984985,0.2131272000260651
8,0.01,8,GELU,1000,0.9754901960784315,0.9816656814112285,0.984984984984985,0.22305489995051175
8,0.01,8,Softmax,50,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.224088600021787
8,0.01,8,Softmax,100,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24626080004964024
8,0.01,8,Softmax,300,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.23540430003777146
8,0.01,8,Softmax,500,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.24637059995438904
8,0.01,8,Softmax,1000,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.23571799998171628
8,0.01,16,ReLU,50,0.9634031694869729,0.9705386336258819,0.975975975975976,0.16284370003268123
8,0.01,16,ReLU,100,0.9634031694869729,0.9705386336258819,0.975975975975976,0.16300529998261482
8,0.01,16,ReLU,300,0.9634031694869729,0.9705386336258819,0.975975975975976,0.1507203000364825
8,0.01,16,ReLU,500,0.9634031694869729,0.9705386336258819,0.975975975975976,0.1506848999997601
8,0.01,16,ReLU,1000,0.9634031694869729,0.9705386336258819,0.975975975975976,0.16092890000436455
8,0.01,16,Tanh,50,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.18566109996754676
8,0.01,16,Tanh,100,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.16077379998750985
8,0.01,16,Tanh,300,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.16177370003424585
8,0.01,16,Tanh,500,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.14009889995213598
8,0.01,16,Tanh,1000,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.15070740005467087
8,0.01,16,Sigmoid,50,0.9705882352941176,0.9779039752194114,0.9819819819819819,0.19294950005132705
