Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.852,0.85197868493063,0.852,0.21657600000617094
8,0.01,8,ReLU,100,0.852,0.85197868493063,0.852,0.22349609999946551
8,0.01,8,ReLU,300,0.852,0.85197868493063,0.852,0.22399099999893224
8,0.01,8,ReLU,500,0.852,0.85197868493063,0.852,0.20201129999622935
8,0.01,8,ReLU,1000,0.852,0.85197868493063,0.852,0.21315400000457885
8,0.01,8,Tanh,50,0.844,0.8439775327647181,0.844,0.1612687000015285
8,0.01,8,Tanh,100,0.844,0.8439775327647181,0.844,0.17227830000047106
8,0.01,8,Tanh,300,0.844,0.8439775327647181,0.844,0.1835265999980038
8,0.01,8,Tanh,500,0.844,0.8439775327647181,0.844,0.18173180000303546
8,0.01,8,Tanh,1000,0.844,0.8439775327647181,0.844,0.17182180000236258
8,0.01,8,Sigmoid,50,0.8200000000000001,0.8198587692751116,0.82,0.17155039999488508
8,0.01,8,Sigmoid,100,0.8200000000000001,0.8198587692751116,0.82,0.16114079999533715
8,0.01,8,Sigmoid,300,0.8200000000000001,0.8198587692751116,0.82,0.19144729999970878
8,0.01,8,Sigmoid,500,0.8200000000000001,0.8198587692751116,0.82,0.18218419999902835
8,0.01,8,Sigmoid,1000,0.8200000000000001,0.8198587692751116,0.82,0.2134444000039366
8,0.01,8,GELU,50,0.852,0.85197868493063,0.852,0.23291320000134874
8,0.01,8,GELU,100,0.852,0.85197868493063,0.852,0.2233092000024044
8,0.01,8,GELU,300,0.852,0.85197868493063,0.852,0.2230758000005153
8,0.01,8,GELU,500,0.852,0.85197868493063,0.852,0.21319790000416106
8,0.01,8,GELU,1000,0.852,0.85197868493063,0.852,0.22414690000005066
8,0.01,8,Softmax,50,0.8200000000000001,0.8198587692751116,0.82,0.17226469999877736
8,0.01,8,Softmax,100,0.8200000000000001,0.8198587692751116,0.82,0.18217700000241166
8,0.01,8,Softmax,300,0.8200000000000001,0.8198587692751116,0.82,0.18224190000182716
8,0.01,8,Softmax,500,0.8200000000000001,0.8198587692751116,0.82,0.20253210000373656
8,0.01,8,Softmax,1000,0.8200000000000001,0.8198587692751116,0.82,0.21294209999905434
8,0.01,16,ReLU,50,0.836,0.8359973759580153,0.836,0.13858970000001136
8,0.01,16,ReLU,100,0.836,0.8359973759580153,0.836,0.11843840000074124
8,0.01,16,ReLU,300,0.836,0.8359973759580153,0.836,0.10957500000222353
8,0.01,16,ReLU,500,0.836,0.8359973759580153,0.836,0.11936019999848213
8,0.01,16,ReLU,1000,0.836,0.8359973759580153,0.836,0.11909190000005765
8,0.01,16,Tanh,50,0.844,0.8439975039600633,0.844,0.11931510000431444
8,0.01,16,Tanh,100,0.844,0.8439975039600633,0.844,0.12099689999740804
8,0.01,16,Tanh,300,0.844,0.8439975039600633,0.844,0.11978169999929378
8,0.01,16,Tanh,500,0.844,0.8439975039600633,0.844,0.1195783000002848
8,0.01,16,Tanh,1000,0.844,0.8439975039600633,0.844,0.11924050000379793
8,0.01,16,Sigmoid,50,0.8360000000000001,0.8356818801199122,0.836,0.10865239999839105
8,0.01,16,Sigmoid,100,0.8360000000000001,0.8356818801199122,0.836,0.11158119999890914
8,0.01,16,Sigmoid,300,0.8360000000000001,0.8356818801199122,0.836,0.10049050000088755
8,0.01,16,Sigmoid,500,0.8360000000000001,0.8356818801199122,0.836,0.10798909999721218
8,0.01,16,Sigmoid,1000,0.8360000000000001,0.8356818801199122,0.836,0.11041439999826252
8,0.01,16,GELU,50,0.836,0.8359973759580153,0.836,0.13963009999861242
8,0.01,16,GELU,100,0.836,0.8359973759580153,0.836,0.12866009999561356
8,0.01,16,GELU,300,0.836,0.8359973759580153,0.836,0.11873560000094585
8,0.01,16,GELU,500,0.836,0.8359973759580153,0.836,0.11894580000080168
8,0.01,16,GELU,1000,0.836,0.8359973759580153,0.836,0.11850829999457346
8,0.01,16,Softmax,50,0.8360000000000001,0.8356818801199122,0.836,0.10757480000029318
8,0.01,16,Softmax,100,0.8360000000000001,0.8356818801199122,0.836,0.09937119999813149
8,0.01,16,Softmax,300,0.8360000000000001,0.8356818801199122,0.836,0.10945319999882486
8,0.01,16,Softmax,500,0.8360000000000001,0.8356818801199122,0.836,0.09826900000189198
8,0.01,16,Softmax,1000,0.8360000000000001,0.8356818801199122,0.836,0.10967669999809004
8,0.01,32,ReLU,50,0.832,0.8319569809871327,0.832,0.09803290000127163
8,0.01,32,ReLU,100,0.832,0.8319569809871327,0.832,0.09862690000591101
8,0.01,32,ReLU,300,0.832,0.8319569809871327,0.832,0.0990410999947926
8,0.01,32,ReLU,500,0.832,0.8319569809871327,0.832,0.12152359999890905
8,0.01,32,ReLU,1000,0.832,0.8319569809871327,0.832,0.11899829999310896
8,0.01,32,Tanh,50,0.848,0.848,0.848,0.10833419999835314
8,0.01,32,Tanh,100,0.848,0.848,0.848,0.11923879999812925
8,0.01,32,Tanh,300,0.848,0.848,0.848,0.10799860000406625
8,0.01,32,Tanh,500,0.848,0.848,0.848,0.10903790000156732
8,0.01,32,Tanh,1000,0.848,0.848,0.848,0.10933900000236463
8,0.01,32,Sigmoid,50,0.864,0.8639912954429083,0.864,0.08780669999396196
8,0.01,32,Sigmoid,100,0.864,0.8639912954429083,0.864,0.08783490000496386
8,0.01,32,Sigmoid,300,0.864,0.8639912954429083,0.864,0.09878349999780767
8,0.01,32,Sigmoid,500,0.864,0.8639912954429083,0.864,0.08809610000025714
8,0.01,32,Sigmoid,1000,0.864,0.8639912954429083,0.864,0.09799470000143629
8,0.01,32,GELU,50,0.832,0.8319569809871327,0.832,0.09937640000134706
8,0.01,32,GELU,100,0.832,0.8319569809871327,0.832,0.11905590000242228
8,0.01,32,GELU,300,0.832,0.8319569809871327,0.832,0.08831800000189105
8,0.01,32,GELU,500,0.832,0.8319569809871327,0.832,0.0983431000058772
8,0.01,32,GELU,1000,0.832,0.8319569809871327,0.832,0.09741329999815207
8,0.01,32,Softmax,50,0.864,0.8639912954429083,0.864,0.08749969999917084
8,0.01,32,Softmax,100,0.864,0.8639912954429083,0.864,0.08788780000031693
8,0.01,32,Softmax,300,0.864,0.8639912954429083,0.864,0.09918849999667145
8,0.01,32,Softmax,500,0.864,0.8639912954429083,0.864,0.08759640000062063
8,0.01,32,Softmax,1000,0.864,0.8639912954429083,0.864,0.08810619999712799
8,0.01,64,ReLU,50,0.776,0.7756410256410257,0.776,0.06744829999661306
8,0.01,64,ReLU,100,0.776,0.7756410256410257,0.776,0.06840659999579657
8,0.01,64,ReLU,300,0.776,0.7756410256410257,0.776,0.07707640000444371
8,0.01,64,ReLU,500,0.776,0.7756410256410257,0.776,0.08802790000481764
8,0.01,64,ReLU,1000,0.776,0.7756410256410257,0.776,0.06699919999664417
8,0.01,64,Tanh,50,0.8160000000000001,0.815811390864245,0.816,0.06779810000443831
8,0.01,64,Tanh,100,0.8160000000000001,0.815811390864245,0.816,0.06730180000158725
8,0.01,64,Tanh,300,0.8160000000000001,0.815811390864245,0.816,0.07746589999442222
8,0.01,64,Tanh,500,0.8160000000000001,0.815811390864245,0.816,0.06595120000565657
8,0.01,64,Tanh,1000,0.8160000000000001,0.815811390864245,0.816,0.06605080000008456
8,0.01,64,Sigmoid,50,0.8400000000000001,0.8396305086920264,0.84,0.06783110000105808
8,0.01,64,Sigmoid,100,0.8400000000000001,0.8396305086920264,0.84,0.07758839999587508
8,0.01,64,Sigmoid,300,0.8400000000000001,0.8396305086920264,0.84,0.07694230000197422
8,0.01,64,Sigmoid,500,0.8400000000000001,0.8396305086920264,0.84,0.08742340000026161
8,0.01,64,Sigmoid,1000,0.8400000000000001,0.8396305086920264,0.84,0.08740550000220537
8,0.01,64,GELU,50,0.776,0.7756410256410257,0.776,0.07738529999915045
8,0.01,64,GELU,100,0.776,0.7756410256410257,0.776,0.07741900000110036
8,0.01,64,GELU,300,0.776,0.7756410256410257,0.776,0.08733809999830555
8,0.01,64,GELU,500,0.776,0.7756410256410257,0.776,0.07696890000079293
8,0.01,64,GELU,1000,0.776,0.7756410256410257,0.776,0.07592740000109188
8,0.01,64,Softmax,50,0.8400000000000001,0.8396305086920264,0.84,0.07753930000035325
8,0.01,64,Softmax,100,0.8400000000000001,0.8396305086920264,0.84,0.08756620000349358
8,0.01,64,Softmax,300,0.8400000000000001,0.8396305086920264,0.84,0.06636170000274433
8,0.01,64,Softmax,500,0.8400000000000001,0.8396305086920264,0.84,0.07751969999662833
8,0.01,64,Softmax,1000,0.8400000000000001,0.8396305086920264,0.84,0.0877602000036859
8,0.01,128,ReLU,50,0.744,0.7431946584488958,0.744,0.06626590000087162
8,0.01,128,ReLU,100,0.744,0.7431946584488958,0.744,0.0672021999998833
8,0.01,128,ReLU,300,0.744,0.7431946584488958,0.744,0.06617349999578437
8,0.01,128,ReLU,500,0.744,0.7431946584488958,0.744,0.06660059999558143
8,0.01,128,ReLU,1000,0.744,0.7431946584488958,0.744,0.05655420000402955
8,0.01,128,Tanh,50,0.76,0.7587493566649511,0.76,0.055712200002744794
