Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.25377500000468
8,0.01,8,ReLU,100,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.376082100003259
8,0.01,8,ReLU,300,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.441280599996389
8,0.01,8,ReLU,500,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.280245100002503
8,0.01,8,ReLU,1000,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.525004999995872
8,0.01,8,Tanh,50,0.9398268398268399,0.9395709298350937,0.9398268398268398,3.851663400004327
8,0.01,8,Tanh,100,0.9398268398268399,0.9395709298350937,0.9398268398268398,3.7926497000007657
8,0.01,8,Tanh,300,0.9398268398268399,0.9395709298350937,0.9398268398268398,3.9548167000029935
8,0.01,8,Tanh,500,0.9398268398268399,0.9395709298350937,0.9398268398268398,3.9764569999970263
8,0.01,8,Tanh,1000,0.9398268398268399,0.9395709298350937,0.9398268398268398,4.004619100000127
8,0.01,8,Sigmoid,50,0.9471861471861472,0.947324512446973,0.9471861471861471,4.070237499996438
8,0.01,8,Sigmoid,100,0.9471861471861472,0.947324512446973,0.9471861471861471,4.1336400999934995
8,0.01,8,Sigmoid,300,0.9471861471861472,0.947324512446973,0.9471861471861471,4.091679800003476
8,0.01,8,Sigmoid,500,0.9471861471861472,0.947324512446973,0.9471861471861471,3.9066615999981877
8,0.01,8,Sigmoid,1000,0.9471861471861472,0.947324512446973,0.9471861471861471,4.102482500005863
8,0.01,8,GELU,50,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.295584199993755
8,0.01,8,GELU,100,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.3229148000027635
8,0.01,8,GELU,300,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.39761030000227
8,0.01,8,GELU,500,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.3932274999970105
8,0.01,8,GELU,1000,0.9528138528138529,0.9529202324532727,0.9528138528138528,4.220675799995661
8,0.01,8,Softmax,50,0.9471861471861472,0.947324512446973,0.9471861471861471,3.9719645000004675
8,0.01,8,Softmax,100,0.9471861471861472,0.947324512446973,0.9471861471861471,3.9781700000021374
8,0.01,8,Softmax,300,0.9471861471861472,0.947324512446973,0.9471861471861471,3.9424354000002495
8,0.01,8,Softmax,500,0.9471861471861472,0.947324512446973,0.9471861471861471,3.79942079999455
8,0.01,8,Softmax,1000,0.9471861471861472,0.947324512446973,0.9471861471861471,3.9064483999973163
8,0.01,16,ReLU,50,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.19421479999437
8,0.01,16,ReLU,100,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.3407807999974466
8,0.01,16,ReLU,300,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.4086764000021503
8,0.01,16,ReLU,500,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.298554900000454
8,0.01,16,ReLU,1000,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.364211799998884
8,0.01,16,Tanh,50,0.9380952380952381,0.9378613689038674,0.9380952380952381,2.025170300003083
8,0.01,16,Tanh,100,0.9380952380952381,0.9378613689038674,0.9380952380952381,2.0691752999991877
8,0.01,16,Tanh,300,0.9380952380952381,0.9378613689038674,0.9380952380952381,2.0625969000029727
8,0.01,16,Tanh,500,0.9380952380952381,0.9378613689038674,0.9380952380952381,2.1070486000025994
8,0.01,16,Tanh,1000,0.9380952380952381,0.9378613689038674,0.9380952380952381,1.9965564000012819
8,0.01,16,Sigmoid,50,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.2133510000057868
8,0.01,16,Sigmoid,100,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.4843247000026167
8,0.01,16,Sigmoid,300,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.4608559000043897
8,0.01,16,Sigmoid,500,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.581256999998004
8,0.01,16,Sigmoid,1000,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.4392521000045235
8,0.01,16,GELU,50,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.3041826999979094
8,0.01,16,GELU,100,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.406933199999912
8,0.01,16,GELU,300,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.3973007000022335
8,0.01,16,GELU,500,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.345404600004258
8,0.01,16,GELU,1000,0.9489177489177489,0.9488425423795965,0.9489177489177489,2.345790700004727
8,0.01,16,Softmax,50,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.2894577999977628
8,0.01,16,Softmax,100,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.4433856999967247
8,0.01,16,Softmax,300,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.5254501000017626
8,0.01,16,Softmax,500,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.482730100004119
8,0.01,16,Softmax,1000,0.9398268398268399,0.9398707159352107,0.9398268398268398,2.3250623999992968
8,0.01,32,ReLU,50,0.9510822510822512,0.9511178069507957,0.9510822510822511,1.2444682999994257
8,0.01,32,ReLU,100,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.5986371000035433
8,0.01,32,ReLU,300,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.567123699998774
8,0.01,32,ReLU,500,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.6157227000003331
8,0.01,32,ReLU,1000,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.549919700002647
8,0.01,32,Tanh,50,0.9493506493506494,0.9492845295167135,0.9493506493506494,1.1931065999960992
8,0.01,32,Tanh,100,0.9493506493506494,0.9492845295167135,0.9493506493506494,1.280436599998211
8,0.01,32,Tanh,300,0.9493506493506494,0.9492845295167135,0.9493506493506494,1.2659316999997827
8,0.01,32,Tanh,500,0.9493506493506494,0.9492845295167135,0.9493506493506494,1.1916277999989688
8,0.01,32,Tanh,1000,0.9493506493506494,0.9492845295167135,0.9493506493506494,1.154282700001204
8,0.01,32,Sigmoid,50,0.9398268398268398,0.9397344186298493,0.9398268398268398,1.3387978000027942
8,0.01,32,Sigmoid,100,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.871623400002136
8,0.01,32,Sigmoid,300,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.7904247999977088
8,0.01,32,Sigmoid,500,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.6371842000007746
8,0.01,32,Sigmoid,1000,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.7581449999997858
8,0.01,32,GELU,50,0.9510822510822512,0.9511178069507957,0.9510822510822511,1.275786700003664
8,0.01,32,GELU,100,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.6104750000013155
8,0.01,32,GELU,300,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.5210656999988714
8,0.01,32,GELU,500,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.5668871000016225
8,0.01,32,GELU,1000,0.9506493506493506,0.9506363814409209,0.9506493506493506,1.5466902000043774
8,0.01,32,Softmax,50,0.9398268398268398,0.9397344186298493,0.9398268398268398,1.2504526999982772
8,0.01,32,Softmax,100,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.8190804999976535
8,0.01,32,Softmax,300,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.8123986999999033
8,0.01,32,Softmax,500,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.7229729999962728
8,0.01,32,Softmax,1000,0.9424242424242424,0.9424015122468464,0.9424242424242424,1.7729892999996082
8,0.01,64,ReLU,50,0.9411255411255411,0.9412741116707896,0.9411255411255411,0.7720456000024569
8,0.01,64,ReLU,100,0.9411255411255411,0.9412348819688157,0.9411255411255411,0.9307079999998678
8,0.01,64,ReLU,300,0.9411255411255411,0.9412348819688157,0.9411255411255411,0.8236914000008255
8,0.01,64,ReLU,500,0.9411255411255411,0.9412348819688157,0.9411255411255411,0.876904700002342
8,0.01,64,ReLU,1000,0.9411255411255411,0.9412348819688157,0.9411255411255411,0.8465187999972841
8,0.01,64,Tanh,50,0.9376623376623376,0.9374025384878061,0.9376623376623376,0.6657780000023195
8,0.01,64,Tanh,100,0.9372294372294372,0.9370380305487146,0.9372294372294372,0.9617091999971308
8,0.01,64,Tanh,300,0.9372294372294372,0.9370380305487146,0.9372294372294372,0.9491164999999455
8,0.01,64,Tanh,500,0.9372294372294372,0.9370380305487146,0.9372294372294372,0.8812408999947365
8,0.01,64,Tanh,1000,0.9372294372294372,0.9370380305487146,0.9372294372294372,1.0088672999991104
8,0.01,64,Sigmoid,50,0.9337662337662339,0.9336715328485735,0.9337662337662338,0.7829744000046048
8,0.01,64,Sigmoid,100,0.9372294372294372,0.937101176397837,0.9372294372294372,1.1065850000013597
8,0.01,64,Sigmoid,300,0.9372294372294372,0.937101176397837,0.9372294372294372,1.043302499994752
8,0.01,64,Sigmoid,500,0.9372294372294372,0.937101176397837,0.9372294372294372,0.9717926000012085
8,0.01,64,Sigmoid,1000,0.9372294372294372,0.937101176397837,0.9372294372294372,1.0771311999997124
8,0.01,64,GELU,50,0.9411255411255411,0.9412741116707896,0.9411255411255411,0.7187253000010969
8,0.01,64,GELU,100,0.9411255411255411,0.9412348819688157,0.9411255411255411,0.8661529000019073
