Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.927900700015016
8,0.01,8,ReLU,100,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.593561099958606
8,0.01,8,ReLU,300,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.853022999945097
8,0.01,8,ReLU,500,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.869935399969108
8,0.01,8,ReLU,1000,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.647155900020152
8,0.01,8,Tanh,50,0.9366410374301336,0.936725265688209,0.9395783525320582,4.515535300015472
8,0.01,8,Tanh,100,0.9366410374301336,0.936725265688209,0.9395783525320582,4.763652900001034
8,0.01,8,Tanh,300,0.9366410374301336,0.936725265688209,0.9395783525320582,4.501793399918824
8,0.01,8,Tanh,500,0.9366410374301336,0.936725265688209,0.9395783525320582,4.4081046000355855
8,0.01,8,Tanh,1000,0.9366410374301336,0.936725265688209,0.9395783525320582,4.652310600038618
8,0.01,8,Sigmoid,50,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.9225365999154747
8,0.01,8,Sigmoid,100,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.9588829999556765
8,0.01,8,Sigmoid,300,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.863964800024405
8,0.01,8,Sigmoid,500,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.9347671000286937
8,0.01,8,Sigmoid,1000,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.929452200070955
8,0.01,8,GELU,50,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.808063899981789
8,0.01,8,GELU,100,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.880980699905194
8,0.01,8,GELU,300,0.9357036816044809,0.9362080733519016,0.9391436644207781,5.0064640999771655
8,0.01,8,GELU,500,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.624772200011648
8,0.01,8,GELU,1000,0.9357036816044809,0.9362080733519016,0.9391436644207781,4.5472053999546915
8,0.01,8,Softmax,50,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.9568742000265047
8,0.01,8,Softmax,100,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.9637091000331566
8,0.01,8,Softmax,300,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.8145988999167457
8,0.01,8,Softmax,500,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.8602755999891087
8,0.01,8,Softmax,1000,0.9384479896111377,0.9387440467962265,0.9415344490328189,3.8619075999595225
8,0.01,16,ReLU,50,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.797984999953769
8,0.01,16,ReLU,100,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.6795006999745965
8,0.01,16,ReLU,300,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.5917679999256507
8,0.01,16,ReLU,500,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.5850121000548825
8,0.01,16,ReLU,1000,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.4855382000096142
8,0.01,16,Tanh,50,0.9373161591597747,0.9368101661944432,0.9395783525320582,2.1344747999683022
8,0.01,16,Tanh,100,0.9373161591597747,0.9368101661944432,0.9395783525320582,2.1223466000519693
8,0.01,16,Tanh,300,0.9373161591597747,0.9368101661944432,0.9395783525320582,2.1442944000009447
8,0.01,16,Tanh,500,0.9373161591597747,0.9368101661944432,0.9395783525320582,2.1094907999504358
8,0.01,16,Tanh,1000,0.9373161591597747,0.9368101661944432,0.9395783525320582,2.0950398000422865
8,0.01,16,Sigmoid,50,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.769566099974327
8,0.01,16,Sigmoid,100,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.7488981999922544
8,0.01,16,Sigmoid,300,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.9937715999549255
8,0.01,16,Sigmoid,500,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.91536670003552
8,0.01,16,Sigmoid,1000,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.9027045000111684
8,0.01,16,GELU,50,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.570526499999687
8,0.01,16,GELU,100,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.62501209997572
8,0.01,16,GELU,300,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.5496770999161527
8,0.01,16,GELU,500,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.697960800025612
8,0.01,16,GELU,1000,0.9357307853926013,0.9358148378563846,0.9387089763094979,2.751366600045003
8,0.01,16,Softmax,50,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.7979472000151873
8,0.01,16,Softmax,100,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.819461499922909
8,0.01,16,Softmax,300,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.912400300032459
8,0.01,16,Softmax,500,0.9360894654499902,0.9362577161868233,0.9391436644207781,2.865213300101459
8,0.01,16,Softmax,1000,0.9360894654499902,0.9362577161868233,0.9391436644207781,3.107392100035213
8,0.01,32,ReLU,50,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.45396349998191
8,0.01,32,ReLU,100,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.5014713000273332
8,0.01,32,ReLU,300,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4478705000365153
8,0.01,32,ReLU,500,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4434507000260055
8,0.01,32,ReLU,1000,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4434229999314994
8,0.01,32,Tanh,50,0.9390131134853414,0.9390131134853414,0.941751793088459,1.3103266999823973
8,0.01,32,Tanh,100,0.9390131134853414,0.9390131134853414,0.941751793088459,1.2889145000372082
8,0.01,32,Tanh,300,0.9390131134853414,0.9390131134853414,0.941751793088459,1.399045499972999
8,0.01,32,Tanh,500,0.9390131134853414,0.9390131134853414,0.941751793088459,1.265228800009936
8,0.01,32,Tanh,1000,0.9390131134853414,0.9390131134853414,0.941751793088459,1.3597531000850722
8,0.01,32,Sigmoid,50,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.4766298000467941
8,0.01,32,Sigmoid,100,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.5598723998991773
8,0.01,32,Sigmoid,300,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.5170094999484718
8,0.01,32,Sigmoid,500,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.4134421000489965
8,0.01,32,Sigmoid,1000,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.4197956999996677
8,0.01,32,GELU,50,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4888501000823453
8,0.01,32,GELU,100,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4590873999986798
8,0.01,32,GELU,300,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4581810999661684
8,0.01,32,GELU,500,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4857880000490695
8,0.01,32,GELU,1000,0.9358965735272355,0.9362329549324375,0.9391436644207781,1.4854380999458954
8,0.01,32,Softmax,50,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.4935278999619186
8,0.01,32,Softmax,100,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.510816500056535
8,0.01,32,Softmax,300,0.9363652514400619,0.9364915167020842,0.9393610084764181,1.4429561999859288
