Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.8830583328221799,0.88240878259405,0.8828125,0.4980275999987498
8,0.01,8,ReLU,100,0.8830583328221799,0.88240878259405,0.8828125,0.4758519000024535
8,0.01,8,ReLU,300,0.8830583328221799,0.88240878259405,0.8828125,0.4546574999985751
8,0.01,8,ReLU,500,0.8830583328221799,0.88240878259405,0.8828125,0.47545549998176284
8,0.01,8,ReLU,1000,0.8830583328221799,0.88240878259405,0.8828125,0.4965446999995038
8,0.01,8,Tanh,50,0.8297092559651598,0.8315939370721646,0.833984375,0.4446435999998357
8,0.01,8,Tanh,100,0.8297092559651598,0.8315939370721646,0.833984375,0.44660100000328384
8,0.01,8,Tanh,300,0.8297092559651598,0.8315939370721646,0.833984375,0.445789599994896
8,0.01,8,Tanh,500,0.8297092559651598,0.8315939370721646,0.833984375,0.4468899999919813
8,0.01,8,Tanh,1000,0.8297092559651598,0.8315939370721646,0.833984375,0.4328541999857407
8,0.01,8,Sigmoid,50,0.7975832668833958,0.7987049028677151,0.80078125,0.4028415000066161
8,0.01,8,Sigmoid,100,0.7975832668833958,0.7987049028677151,0.80078125,0.4453529000165872
8,0.01,8,Sigmoid,300,0.7975832668833958,0.7987049028677151,0.80078125,0.39151630000560544
8,0.01,8,Sigmoid,500,0.7975832668833958,0.7987049028677151,0.80078125,0.4122487000131514
8,0.01,8,Sigmoid,1000,0.7975832668833958,0.7987049028677151,0.80078125,0.413302399974782
8,0.01,8,GELU,50,0.8830583328221799,0.88240878259405,0.8828125,0.47711510001681745
8,0.01,8,GELU,100,0.8830583328221799,0.88240878259405,0.8828125,0.48586119999527
8,0.01,8,GELU,300,0.8830583328221799,0.88240878259405,0.8828125,0.43448900000657886
8,0.01,8,GELU,500,0.8830583328221799,0.88240878259405,0.8828125,0.48789699998451397
8,0.01,8,GELU,1000,0.8830583328221799,0.88240878259405,0.8828125,0.49937179998960346
8,0.01,8,Softmax,50,0.7975832668833958,0.7987049028677151,0.80078125,0.40062400000169873
8,0.01,8,Softmax,100,0.7975832668833958,0.7987049028677151,0.80078125,0.37099309999030083
8,0.01,8,Softmax,300,0.7975832668833958,0.7987049028677151,0.80078125,0.3811549000092782
8,0.01,8,Softmax,500,0.7975832668833958,0.7987049028677151,0.80078125,0.42394370000693016
8,0.01,8,Softmax,1000,0.7975832668833958,0.7987049028677151,0.80078125,0.4230219000019133
8,0.01,16,ReLU,50,0.8544746365699565,0.854668200997315,0.85546875,0.3308002999983728
8,0.01,16,ReLU,100,0.8544746365699565,0.854668200997315,0.85546875,0.31655810002121143
8,0.01,16,ReLU,300,0.8544746365699565,0.854668200997315,0.85546875,0.3278118000016548
8,0.01,16,ReLU,500,0.8544746365699565,0.854668200997315,0.85546875,0.30746979999821633
