Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.4020583000092302
8,0.01,8,ReLU,100,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.389811600005487
8,0.01,8,ReLU,300,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.2968179999734275
8,0.01,8,ReLU,500,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.3906196000170894
8,0.01,8,ReLU,1000,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.3774228999973275
8,0.01,8,Tanh,50,0.7080808080808081,0.7046126371268573,0.7080808080808081,1.2760274999891408
8,0.01,8,Tanh,100,0.7080808080808081,0.7046126371268573,0.7080808080808081,1.3380525000102352
8,0.01,8,Tanh,300,0.7080808080808081,0.7046126371268573,0.7080808080808081,1.3588196000200696
8,0.01,8,Tanh,500,0.7080808080808081,0.7046126371268573,0.7080808080808081,1.4099937000137288
8,0.01,8,Tanh,1000,0.7080808080808081,0.7046126371268573,0.7080808080808081,1.3815548999991734
8,0.01,8,Sigmoid,50,0.695959595959596,0.6916685318678861,0.695959595959596,1.3885149999987334
8,0.01,8,Sigmoid,100,0.695959595959596,0.6921284513350509,0.695959595959596,1.6332055999955628
8,0.01,8,Sigmoid,300,0.695959595959596,0.6921284513350509,0.695959595959596,1.5667229000246152
8,0.01,8,Sigmoid,500,0.695959595959596,0.6921284513350509,0.695959595959596,1.610888299997896
8,0.01,8,Sigmoid,1000,0.695959595959596,0.6921284513350509,0.695959595959596,1.6003197000245564
8,0.01,8,GELU,50,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.3897626999823842
8,0.01,8,GELU,100,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.4657618000055663
8,0.01,8,GELU,300,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.2728647999756504
8,0.01,8,GELU,500,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.2411742999975104
8,0.01,8,GELU,1000,0.8484848484848485,0.8478569960772212,0.8484848484848485,1.2818251999851782
8,0.01,8,Softmax,50,0.695959595959596,0.6916685318678861,0.695959595959596,1.3267576999787707
8,0.01,8,Softmax,100,0.695959595959596,0.6921284513350509,0.695959595959596,1.5804245000181254
8,0.01,8,Softmax,300,0.695959595959596,0.6921284513350509,0.695959595959596,1.5313331999932416
8,0.01,8,Softmax,500,0.695959595959596,0.6921284513350509,0.695959595959596,1.590612100000726
8,0.01,8,Softmax,1000,0.695959595959596,0.6921284513350509,0.695959595959596,1.6127503000025172
8,0.01,16,ReLU,50,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.760611899982905
8,0.01,16,ReLU,100,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.8528871999878902
8,0.01,16,ReLU,300,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.7425461000239011
8,0.01,16,ReLU,500,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.7482169000140857
8,0.01,16,ReLU,1000,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.8939776999759488
8,0.01,16,Tanh,50,0.703030303030303,0.7001348570181497,0.703030303030303,0.8751913000014611
8,0.01,16,Tanh,100,0.7060606060606059,0.70342439692283,0.706060606060606,0.8532261000073049
8,0.01,16,Tanh,300,0.7060606060606059,0.70342439692283,0.706060606060606,0.927672599995276
8,0.01,16,Tanh,500,0.7060606060606059,0.70342439692283,0.706060606060606,0.8964285000110976
8,0.01,16,Tanh,1000,0.7060606060606059,0.70342439692283,0.706060606060606,0.8748099000076763
8,0.01,16,Sigmoid,50,0.6555555555555554,0.6477435098680857,0.6555555555555556,0.7698044000135269
8,0.01,16,Sigmoid,100,0.6585858585858585,0.6503816373878558,0.6585858585858586,1.0440600000147242
8,0.01,16,Sigmoid,300,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.939199299988104
8,0.01,16,Sigmoid,500,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9403608000138775
8,0.01,16,Sigmoid,1000,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9399885000020731
8,0.01,16,GELU,50,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.7399022000026889
8,0.01,16,GELU,100,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.7801733999804128
8,0.01,16,GELU,300,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.8099295999854803
8,0.01,16,GELU,500,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.8017503999872133
8,0.01,16,GELU,1000,0.8292929292929294,0.8282320982826988,0.8292929292929293,0.7693673000030685
8,0.01,16,Softmax,50,0.6555555555555554,0.6477435098680857,0.6555555555555556,0.7614256999804638
8,0.01,16,Softmax,100,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9425428999820724
8,0.01,16,Softmax,300,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9051376999996137
8,0.01,16,Softmax,500,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9474347999785095
8,0.01,16,Softmax,1000,0.6585858585858585,0.6503816373878558,0.6585858585858586,0.9874387999880128
8,0.01,32,ReLU,50,0.798989898989899,0.7976420401262452,0.798989898989899,0.45265089999884367
8,0.01,32,ReLU,100,0.798989898989899,0.7976845660111518,0.798989898989899,0.5678416999871843
8,0.01,32,ReLU,300,0.798989898989899,0.7976845660111518,0.798989898989899,0.5508809000020847
8,0.01,32,ReLU,500,0.798989898989899,0.7976845660111518,0.798989898989899,0.5909424000128638
8,0.01,32,ReLU,1000,0.798989898989899,0.7976845660111518,0.798989898989899,0.6113044999947306
8,0.01,32,Tanh,50,0.6646464646464646,0.6598471037325127,0.6646464646464646,0.43567320000147447
8,0.01,32,Tanh,100,0.6717171717171717,0.6671665444486877,0.6717171717171717,0.5896530000027269
8,0.01,32,Tanh,300,0.6717171717171717,0.6671665444486877,0.6717171717171717,0.6653403999807779
8,0.01,32,Tanh,500,0.6717171717171717,0.6671665444486877,0.6717171717171717,0.6671030999859795
8,0.01,32,Tanh,1000,0.6717171717171717,0.6671665444486877,0.6717171717171717,0.6207627000112552
8,0.01,32,Sigmoid,50,0.6282828282828283,0.6186969289121467,0.6282828282828283,0.4453586000017822
8,0.01,32,Sigmoid,100,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6521037999773398
8,0.01,32,Sigmoid,300,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.5991004000243265
8,0.01,32,Sigmoid,500,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6003542000253219
8,0.01,32,Sigmoid,1000,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6311229999992065
8,0.01,32,GELU,50,0.798989898989899,0.7976420401262452,0.798989898989899,0.4454559000150766
8,0.01,32,GELU,100,0.798989898989899,0.7976845660111518,0.798989898989899,0.5606181000184733
8,0.01,32,GELU,300,0.798989898989899,0.7976845660111518,0.798989898989899,0.6217878999887034
8,0.01,32,GELU,500,0.798989898989899,0.7976845660111518,0.798989898989899,0.5612847999727819
8,0.01,32,GELU,1000,0.798989898989899,0.7976845660111518,0.798989898989899,0.5799743999959901
8,0.01,32,Softmax,50,0.6282828282828283,0.6186969289121467,0.6282828282828283,0.42460050000227056
8,0.01,32,Softmax,100,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6111126999894623
8,0.01,32,Softmax,300,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6249490999907721
8,0.01,32,Softmax,500,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6201274000050034
8,0.01,32,Softmax,1000,0.6353535353535354,0.6265132957981492,0.6353535353535353,0.6449895999976434
8,0.01,64,ReLU,50,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.2881575000064913
8,0.01,64,ReLU,100,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.3086501999932807
8,0.01,64,ReLU,300,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.34056899999268353
8,0.01,64,ReLU,500,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.3191462999966461
8,0.01,64,ReLU,1000,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.2897211000090465
8,0.01,64,Tanh,50,0.6646464646464646,0.6588201707840189,0.6646464646464646,0.27825090000987984
8,0.01,64,Tanh,100,0.6666666666666666,0.6608262695617027,0.6666666666666666,0.3821980000066105
8,0.01,64,Tanh,300,0.6666666666666666,0.6608262695617027,0.6666666666666666,0.318820999993477
8,0.01,64,Tanh,500,0.6666666666666666,0.6608262695617027,0.6666666666666666,0.3384553999931086
8,0.01,64,Tanh,1000,0.6666666666666666,0.6608262695617027,0.6666666666666666,0.3410316999943461
8,0.01,64,Sigmoid,50,0.6121212121212122,0.5953156403884923,0.6121212121212121,0.28642029999173246
8,0.01,64,Sigmoid,100,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.35234280000440776
8,0.01,64,Sigmoid,300,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.31817969999974594
8,0.01,64,Sigmoid,500,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.3108510000165552
8,0.01,64,Sigmoid,1000,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.3192390000040177
8,0.01,64,GELU,50,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.29790459998184815
8,0.01,64,GELU,100,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.27791080001043156
8,0.01,64,GELU,300,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.29805120002129115
8,0.01,64,GELU,500,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.2758282999857329
8,0.01,64,GELU,1000,0.8080808080808081,0.8070689426576453,0.8080808080808081,0.3175076000043191
8,0.01,64,Softmax,50,0.6121212121212122,0.5953156403884923,0.6121212121212121,0.3084286999946926
8,0.01,64,Softmax,100,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.3303178000205662
8,0.01,64,Softmax,300,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.3190667000017129
8,0.01,64,Softmax,500,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.34044420000282116
8,0.01,64,Softmax,1000,0.6111111111111112,0.5943699773845835,0.6111111111111112,0.3604336999997031
8,0.01,128,ReLU,50,0.7848484848484848,0.7840830908902721,0.7848484848484848,0.2578682999883313
8,0.01,128,ReLU,100,0.8040404040404041,0.8031551060944788,0.804040404040404,0.30906480000703596
8,0.01,128,ReLU,300,0.8040404040404041,0.8031551060944788,0.804040404040404,0.3165623999957461
8,0.01,128,ReLU,500,0.8040404040404041,0.8031551060944788,0.804040404040404,0.3192247000115458
8,0.01,128,ReLU,1000,0.8040404040404041,0.8031551060944788,0.804040404040404,0.33002289998694323
