LR,RF,XGB,,LR,RF,XGB
,,,,,,
agaricus_lepiota,agaricus_lepiota,agaricus_lepiota,,letter,analcatdata_boxing2,connect_4
allbp,allbp,allbp,,analcatdata_boxing2,profb,bupa
allhyper,allhyper,allhyper,,analcatdata_happiness,tae,tic_tac_toe
allrep,allrep,allhypo,,calendarDOW,saheart,analcatdata_aids
analcatdata_authorship,analcatdata_authorship,allrep,,analcatdata_boxing1,postoperative_patient_data,sonar
chess,analcatdata_creditscore,analcatdata_bankruptcy,,new_thyroid,connect_4,analcatdata_asbestos
clean1,analcatdata_lawsuit,analcatdata_creditscore,,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,monk2,Hill_Valley_without_noise
clean2,ann_thyroid,analcatdata_cyyoung9302,,analcatdata_aids,wine_quality_red,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001
coil2000,chess,analcatdata_lawsuit,,schizo,yeast,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1
dermatology,clean1,appendicitis,,page_blocks,analcatdata_aids,mux6
dis,clean2,backache,,vowel,calendarDOW,monk1
dna,collins,breast_cancer,,wine_quality_red,bupa,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1
kr_vs_kp,corral,churn,,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,Hill_Valley_with_noise,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1
labor,dermatology,clean1,,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,Hill_Valley_without_noise,parity5+5
mfeat_factors,dis,clean2,,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,wine_quality_white,Hill_Valley_with_noise
mfeat_karhunen,hypothyroid,coil2000,,hayes_roth,schizo,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001
mfeat_pixel,irish,confidence,,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,flags,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1
mofn_3_7_10,kr_vs_kp,dis,,haberman,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,parity5
mushroom,monk3,hypothyroid,,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,iris
optdigits,mushroom,irish,,tae,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,cloud
penguins,mux6,labor,,yeast,parity5+5,pendigits
prnn_crabs,new_thyroid,mfeat_karhunen,,flags,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,analcatdata_happiness
segmentation,page_blocks,mfeat_pixel,,wine_quality_white,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,segmentation
shuttle,pendigits,monk3,,poker,cloud,yeast
soybean,penguins,mushroom,,cloud,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,analcatdata_germangss
spambase,segmentation,penguins,,analcatdata_germangss,krkopt,mfeat_morphological
texture,shuttle,prnn_crabs,,parity5+5,analcatdata_happiness,led24
tokyo1,threeOf9,prnn_synth,,krkopt,analcatdata_germangss,led7
twonorm,wine_recognition,spectf,,analcatdata_dmft,analcatdata_dmft,analcatdata_dmft
wine_recognition,xd6,tokyo1,,parity5,parity5,krkopt
