"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"1","clean1.tsv.gz","XGBClassifier","1","1","1","clean1.tsv.gz"
"2","irish.tsv.gz","XGBClassifier","1","1","1","irish.tsv.gz"
"3","mushroom.tsv.gz","XGBClassifier","1","1","1","mushroom.tsv.gz"
"4","clean2.tsv.gz","XGBClassifier","1","1","1","clean2.tsv.gz"
"5","analcatdata_creditscore.tsv.gz","XGBClassifier","0.98630137","0.98","0.975198413","analcatdata_creditscore.tsv.gz"
"6","monk3.tsv.gz","XGBClassifier","0.980184837","0.980144404","0.980115833","monk3.tsv.gz"
"7","agaricus_lepiota.tsv.gz","XGBClassifier","0.900968633","0.90092081","0.900811816","agaricus_lepiota.tsv.gz"
"8","analcatdata_lawsuit.tsv.gz","XGBClassifier","0.876369495","0.950757576","0.835435147","analcatdata_lawsuit.tsv.gz"
"9","penguins.tsv.gz","XGBClassifier","0.863923974","0.843843844","0.820581434","penguins.tsv.gz"
"10","mfeat_karhunen.tsv.gz","XGBClassifier","0.853888889","0.737","0.736122634","mfeat_karhunen.tsv.gz"
"11","mfeat_pixel.tsv.gz","XGBClassifier","0.839722222","0.7115","0.710209325","mfeat_pixel.tsv.gz"
"12","confidence.tsv.gz","XGBClassifier","0.833333333","0.722222222","0.726103957","confidence.tsv.gz"
"13","prnn_crabs.tsv.gz","XGBClassifier","0.805","0.805","0.803224097","prnn_crabs.tsv.gz"
"14","vowel.tsv.gz","XGBClassifier","0.796666667","0.63030303","0.629491036","vowel.tsv.gz"
"15","optdigits.tsv.gz","XGBClassifier","0.785193216","0.612989324","0.610040894","optdigits.tsv.gz"
"16","analcatdata_bankruptcy.tsv.gz","XGBClassifier","0.78","0.78","0.779911965","analcatdata_bankruptcy.tsv.gz"
"17","mfeat_factors.tsv.gz","XGBClassifier","0.775833333","0.5965","0.59573718","mfeat_factors.tsv.gz"
"18","analcatdata_authorship.tsv.gz","XGBClassifier","0.767264338","0.674197384","0.652671071","analcatdata_authorship.tsv.gz"
"19","mfeat_zernike.tsv.gz","XGBClassifier","0.763333333","0.574","0.571650107","mfeat_zernike.tsv.gz"
"20","mfeat_fourier.tsv.gz","XGBClassifier","0.751666667","0.553","0.552055536","mfeat_fourier.tsv.gz"
"21","tokyo1.tsv.gz","XGBClassifier","0.726385916","0.722627737","0.712382177","tokyo1.tsv.gz"
"22","waveform_21.tsv.gz","XGBClassifier","0.705575749","0.6078","0.607533312","waveform_21.tsv.gz"
"23","prnn_synth.tsv.gz","XGBClassifier","0.704","0.704","0.701689886","prnn_synth.tsv.gz"
"24","splice.tsv.gz","XGBClassifier","0.687073197","0.592848181","0.572995541","splice.tsv.gz"
"25","molecular_biology_promoters.tsv.gz","XGBClassifier","0.679245283","0.679245283","0.664806548","molecular_biology_promoters.tsv.gz"
"26","spambase.tsv.gz","XGBClassifier","0.659766741","0.656161704","0.650897344","spambase.tsv.gz"
"27","cars.tsv.gz","XGBClassifier","0.651873835","0.599489796","0.506727537","cars.tsv.gz"
"28","waveform_40.tsv.gz","XGBClassifier","0.651372503","0.5344","0.531662268","waveform_40.tsv.gz"
"29","labor.tsv.gz","XGBClassifier","0.641891892","0.684210526","0.644736842","labor.tsv.gz"
"30","pendigits.tsv.gz","XGBClassifier","0.639188485","0.351164483","0.351788721","pendigits.tsv.gz"
"31","segmentation.tsv.gz","XGBClassifier","0.613888889","0.338095238","0.335629974","segmentation.tsv.gz"
"32","analcatdata_cyyoung8092.tsv.gz","XGBClassifier","0.606164384","0.659793814","0.59008836","analcatdata_cyyoung8092.tsv.gz"
