dataset,reason
ann_thyroid.tsv.gz,no_valid_result
calendarDOW.tsv.gz,no_valid_result
collins.tsv.gz,no_valid_result
dermatology.tsv.gz,no_valid_result
dna.tsv.gz,no_valid_result
ecoli.tsv.gz,no_valid_result
fars.tsv.gz,timeout
flags.tsv.gz,no_valid_result
haberman.tsv.gz,no_valid_result
hayes_roth.tsv.gz,no_valid_result
hepatitis.tsv.gz,no_valid_result
kddcup.tsv.gz,timeout
letter.tsv.gz,no_valid_result
lymphography.tsv.gz,no_valid_result
mnist.tsv.gz,timeout
movement_libras.tsv.gz,no_valid_result
new_thyroid.tsv.gz,no_valid_result
nursery.tsv.gz,no_valid_result
page_blocks.tsv.gz,no_valid_result
poker.tsv.gz,timeout
postoperative_patient_data.tsv.gz,no_valid_result
satimage.tsv.gz,no_valid_result
shuttle.tsv.gz,no_valid_result
sleep.tsv.gz,no_valid_result
soybean.tsv.gz,no_valid_result
tae.tsv.gz,no_valid_result
texture.tsv.gz,no_valid_result
vehicle.tsv.gz,no_valid_result
wine_quality_red.tsv.gz,no_valid_result
wine_quality_white.tsv.gz,no_valid_result
wine_recognition.tsv.gz,no_valid_result
