"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"1","clean2.tsv.gz","LogisticRegression","1","1","1","clean2.tsv.gz"
"2","analcatdata_authorship.tsv.gz","LogisticRegression","0.998017459","0.996432818","0.997549261","analcatdata_authorship.tsv.gz"
"3","clean1.tsv.gz","LogisticRegression","0.997584541","0.99789916","0.997861702","clean1.tsv.gz"
"4","texture.tsv.gz","LogisticRegression","0.9973","0.995090909","0.995091511","texture.tsv.gz"
"5","prnn_crabs.tsv.gz","LogisticRegression","0.995","0.995","0.994999875","prnn_crabs.tsv.gz"
"6","penguins.tsv.gz","LogisticRegression","0.989973262","0.990990991","0.989091372","penguins.tsv.gz"
"7","mfeat_factors.tsv.gz","LogisticRegression","0.9875","0.9775","0.977480019","mfeat_factors.tsv.gz"
"8","dermatology.tsv.gz","LogisticRegression","0.98607679","0.978142077","0.976667373","dermatology.tsv.gz"
"9","wine_recognition.tsv.gz","LogisticRegression","0.981734145","0.971910112","0.971700096","wine_recognition.tsv.gz"
"10","twonorm.tsv.gz","LogisticRegression","0.977430993","0.977432432","0.977432284","twonorm.tsv.gz"
"11","optdigits.tsv.gz","LogisticRegression","0.974390265","0.953914591","0.95384192","optdigits.tsv.gz"
"12","mfeat_pixel.tsv.gz","LogisticRegression","0.973611111","0.9525","0.952517161","mfeat_pixel.tsv.gz"
"13","soybean.tsv.gz","LogisticRegression","0.966674562","0.905185185","0.941558694","soybean.tsv.gz"
"14","chess.tsv.gz","LogisticRegression","0.964810169","0.964643304","0.964589136","chess.tsv.gz"
"15","kr_vs_kp.tsv.gz","LogisticRegression","0.96448273","0.964330413","0.964274886","kr_vs_kp.tsv.gz"
"16","mofn_3_7_10.tsv.gz","LogisticRegression","0.962912817","0.972809668","0.960649891","mofn_3_7_10.tsv.gz"
"17","mfeat_karhunen.tsv.gz","LogisticRegression","0.961944444","0.9315","0.931403464","mfeat_karhunen.tsv.gz"
"18","dna.tsv.gz","LogisticRegression","0.9609765","0.949780289","0.943785613","dna.tsv.gz"
"19","agaricus_lepiota.tsv.gz","LogisticRegression","0.951071688","0.95150399","0.951393691","agaricus_lepiota.tsv.gz"
"20","mushroom.tsv.gz","LogisticRegression","0.94574127","0.946085672","0.945983108","mushroom.tsv.gz"
"21","segmentation.tsv.gz","LogisticRegression","0.941414141","0.8995671","0.898272145","segmentation.tsv.gz"
"22","pendigits.tsv.gz","LogisticRegression","0.934792161","0.882914847","0.88215158","pendigits.tsv.gz"
