Datasets,Dataset_Type,MLP_BA,RF_BA,XGB_BA,LR_BA
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,0.513125,0.50625,0.503125,0.4875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,bottom,0.64125,0.504375,0.509375,0.500625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,bottom,0.7625,0.479375,0.4925,0.49875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,bottom,0.549375,0.49875,0.50625,0.525
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,bottom,0.684375,0.5125,0.515,0.478125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,bottom,0.7206250000000001,0.52125,0.498125,0.48875
Hill_Valley_with_noise,bottom,0.6171617161716172,0.566831683,0.499174917,0.809405941
Hill_Valley_without_noise,bottom,0.6160130718954249,0.55995098,0.517647059,0.844330065
allbp,bottom,0.6283640176927093,0.65258943,0.494366633,0.637020441
allhyper,bottom,0.6012638108049069,0.561766182,0.560258613,0.609994087
allhypo,bottom,0.6614692143989782,0.753506339,0.518247157,0.619413293
allrep,bottom,0.5959848451020084,0.657716273,0.534134897,0.519922073
analcatdata_aids,bottom,0.64,0.62,0.52,0.52
analcatdata_boxing1,bottom,0.6465201465201464,0.695970696,0.483516484,0.566849817
analcatdata_boxing2,bottom,0.6989148002770722,0.680096975,0.548603094,0.57203879
analcatdata_dmft,bottom,0.2337344744016184,0.517480272,0.505924641,0.534097442
analcatdata_fraud,bottom,0.636604774535809,0.606100796,0.550397878,0.554376658
analcatdata_germangss,bottom,0.42,0.526666667,0.531666667,0.586666667
analcatdata_happiness,bottom,0.6333333333333333,0.475,0.5125,0.675
backache,bottom,0.6180645161290322,0.516774194,0.495483871,0.549677419
breast_cancer,bottom,0.6493415276558384,0.608838162,0.54413228,0.624465906
bupa,bottom,0.6446846422807961,0.571779182,0.521954008,0.608946342
cloud,bottom,0.3723958333333333,0.652365288,0.570028587,0.596620457
coil2000,bottom,0.5097387504305012,0.5,0.497202666,0.50615044
connect_4,bottom,0.5799586477525439,0.5,0.561263144,0.506949324
dis,bottom,,0.5,0.463256457,0.489373851
haberman,bottom,,0.548641975,,0.534320988
krkopt,bottom,,0.636582689,0.519802876,0.548627497
agaricus_lepiota,top,1.0,1.0,0.900968633,0.951071688
analcatdata_authorship,top,0.9983108108108107,0.97729925,0.767264338,0.998017459
analcatdata_bankruptcy,top,0.8999999999999999,0.9,0.78,0.88
analcatdata_creditscore,top,0.8759512937595129,0.993150685,0.98630137,0.834855403
analcatdata_lawsuit,top,0.9412459720730396,0.943286788,0.876369495,0.626638024
ann_thyroid,top,0.93994962290886,0.997220903,,0.679621948
cars,top,0.7357621529624508,0.93476079,0.651873835,0.774423664
chess,top,0.994057239314861,0.970697213,0.540572472,0.964810169
clean1,top,0.9546540236697018,1.0,1.0,0.997584541
clean2,top,0.9997312309621932,1.0,1.0,1.0
collins,top,0.7366153565088657,1.0,,0.795524773
confidence,top,0.8333333333333334,0.925,0.833333333,0.85
corral,top,0.9095238095238096,1.0,0.565079365,0.857936508
dermatology,top,0.9744890214737988,0.976819279,,0.98607679
dna,top,0.9523543680461078,0.945415073,,0.9609765
ecoli,top,0.8525774225774226,0.892161596,,0.894337925
iris,top,0.9466666666666668,0.965,0.58,0.9
irish,top,0.9964028776978416,1.0,1.0,0.754261456
kr_vs_kp,top,0.9946564004892168,0.970697213,0.568970043,0.96448273
labor,top,0.8844594594594595,0.895945946,0.641891892,0.922972973
mfeat_factors,top,0.9774999999999998,,0.775833333,0.9875
mfeat_fourier,top,0.8375,,0.751666667,0.881944444
mfeat_karhunen,top,0.963,0.964166667,0.853888889,0.961944444
mfeat_pixel,top,0.9715,0.975277778,0.839722222,0.973611111
mfeat_zernike,top,0.841,0.871666667,0.763333333,0.888333333
mofn_3_7_10,top,1.0,0.897260274,0.563050865,0.962912817
molecular_biology_promoters,top,0.8018867924528302,0.886792453,0.679245283,0.764150943
monk3,top,0.9871292815371764,0.988865393,0.980184837,0.782477026
mushroom,top,0.9998723186925432,1.0,1.0,0.94574127
mux6,top,0.9140625,1.0,0.5078125,0.609375
optdigits,top,0.9850588343593902,0.97845488,0.785193216,0.974390265
pendigits,top,0.9930085479303636,0.982629311,0.639188485,0.934792161
penguins,top,0.9879129734085416,0.993315508,0.863923974,0.989973262
prnn_crabs,top,0.99,0.955,0.805,0.995
prnn_synth,top,0.868,0.816,0.704,0.844
segmentation,top,0.9696969696969698,0.982070707,0.613888889,0.941414141
soybean,top,0.9517001114827202,0.982713658,,0.966674562
spambase,top,0.9446133100570484,0.912716998,0.659766741,0.925921291
splice,top,0.9234657601954138,0.954275843,0.687073197,0.85938894
texture,top,0.9965454545454544,0.9754,,0.9973
threeOf9,top,0.986398208918604,0.987226277,0.542645525,0.781435932
tokyo1,top,0.926281718828089,0.926140275,0.726385916,0.909242426
twonorm,top,0.9786479771973552,0.940405038,0.575859071,0.977430993
vowel,top,0.9707070707070709,0.971111111,0.796666667,0.732777778
waveform_21,top,0.8717869145765285,0.865425381,0.705575749,0.894529071
waveform_40,top,0.8681120071345548,0.87202528,0.651372503,0.89496012
wine_recognition,top,0.9812206572769954,0.975951269,,0.981734145
xd6,top,1.0,1.0,0.585303546,0.759834369
