rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
1,clean1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",1,1,1,clean1.tsv.gz
2,clean2,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",1,1,1,clean2.tsv.gz
3,irish,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",1,1,1,irish.tsv.gz
4,mushroom,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",1,1,1,mushroom.tsv.gz
5,monk3,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.980144404,0.980115833,0.980184837,monk3.tsv.gz
6,analcatdata_creditscore,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.98,0.975198413,0.98630137,analcatdata_creditscore.tsv.gz
7,allhyper,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.952267303,0.315940886,0.560258613,allhyper.tsv.gz
8,analcatdata_lawsuit,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.950757576,0.835435147,0.876369495,analcatdata_lawsuit.tsv.gz
9,allrep,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.936638388,0.299593302,0.534134897,allrep.tsv.gz
10,allbp,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.934517497,0.325414068,0.494366633,allbp.tsv.gz
11,coil2000,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.924557117,0.489656933,0.497202666,coil2000.tsv.gz
12,agaricus_lepiota,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.90092081,0.900811816,0.900968633,agaricus_lepiota.tsv.gz
13,dis,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.878844115,0.472078053,0.463256457,dis.tsv.gz
14,hypothyroid,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.878596269,0.536853665,0.558824305,hypothyroid.tsv.gz
15,penguins,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.843843844,0.820581434,0.863923974,penguins.tsv.gz
16,allhypo,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.836870027,0.34956802,0.518247157,allhypo.tsv.gz
17,prnn_crabs,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.805,0.803224097,0.805,prnn_crabs.tsv.gz
18,appendicitis,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.801886792,0.554354354,0.553781513,appendicitis.tsv.gz
19,analcatdata_cyyoung9302,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.793478261,0.611123471,0.597332372,analcatdata_cyyoung9302.tsv.gz
20,churn,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.7826,0.55779843,0.55853152,churn.tsv.gz
