Dataset,Dataset_Type,MLP_BA,Accuracy,F1,Time,Hyperparameters
allbp,bottom,0.6283640176927093,0.971102863202545,0.6600355522094653,1.2768424000096277,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
allhyper,bottom,0.6012638108049069,0.9827631927870591,0.5910505709514391,4.50299979999545,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
allhypo,bottom,0.6614692143989782,0.9482758620689656,0.7172459525965782,4.403849599999376,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
allrep,bottom,0.5959848451020084,0.9724284199363732,0.6106441423028022,3.380168200004846,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
analcatdata_aids,bottom,0.64,0.64,0.5989304812834224,0.0568541999964509,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_boxing1,bottom,0.6465201465201464,0.6333333333333333,0.6248934356351237,0.1846573999937391,"Hidden_Neurons=32, Learning_Rate=0.0001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_boxing2,bottom,0.6989148002770722,0.7121212121212122,0.6964415395787944,0.1191384999983711,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_dmft,bottom,0.2337344744016184,0.2371392722710163,0.230485780132578,0.1294822000054409,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=ReLU, Epochs=50"
analcatdata_fraud,bottom,0.636604774535809,0.7619047619047619,0.6464646464646464,0.0571988000010605,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
analcatdata_germangss,bottom,0.42,0.42,0.4126291191675439,0.1087842999986605,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=64, Activation_Function=Tanh, Epochs=50"
analcatdata_happiness,bottom,0.6333333333333333,0.6333333333333333,0.6031135531135531,0.0587554999947315,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=Tanh, Epochs=50"
backache,bottom,0.6180645161290322,0.5444444444444444,0.4831208852780502,0.1272055000008549,"Hidden_Neurons=16, Learning_Rate=0.0001, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
breast_cancer,bottom,0.6493415276558384,0.7552447552447552,0.6623718294657313,0.1195120999909704,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
bupa,bottom,0.6446846422807961,0.6434782608695652,0.6427097980112656,0.1721231999981682,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
cloud,bottom,0.3723958333333333,0.3796296296296296,0.327536231884058,0.0882043000019621,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
coil2000,bottom,0.5097387504305012,0.9391162695988596,0.5051130389064143,1.047051299989107,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
connect_4,bottom,0.6218010549071163,0.8207291620409431,0.6309264463168346,594.932145299972,"Hidden_Neurons=128, Learning_Rate=0.00025, Batch_Size=8, Activation_Function=Tanh, Epochs=300"
dis,bottom,0.6274255844614042,0.9848886532343584,0.6685918808062778,3.136025100015104,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,0.513125,0.513125,0.5130563333345054,1.9592198000027563,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,bottom,0.64125,0.64125,0.6403953771384807,2.008198800001992,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,bottom,0.7625,0.7625,0.7553245089185826,3.831497499995749,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,bottom,0.549375,0.549375,0.5493353908058325,1.541667400000733,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,bottom,0.684375,0.684375,0.6843541624427549,0.4460937000112608,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,bottom,0.7206250000000001,0.720625,0.7185004481085568,1.074888799994369,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
haberman,bottom,0.6476543209876543,0.7549019607843137,0.6578048816854787,0.1082385000772774,"Hidden_Neurons=32, Learning_Rate=0.001, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
Hill_Valley_with_noise,bottom,0.6171617161716172,0.6171617161716172,0.6015372581029146,0.6976252000022214,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=Tanh, Epochs=100"
Hill_Valley_without_noise,bottom,0.6160130718954249,0.6188118811881188,0.5841312375412568,0.6045798999984981,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=128, Activation_Function=Tanh, Epochs=100"
krkopt,bottom,0.3460049957559998,0.4468206444254348,0.3418411387257052,17.060273099923506,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
agaricus_lepiota,top,1.0,1.0,1.0,6.436594599974342,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_authorship,top,0.9983108108108107,0.9976218787158144,0.9983663788508688,0.5098618000047281,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_bankruptcy,top,0.8999999999999999,0.9,0.8996386993175431,0.0557706000399775,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_creditscore,top,0.8759512937595129,0.87,0.8466800330227622,0.1823495000135153,"Hidden_Neurons=16, Learning_Rate=0.001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_lawsuit,top,0.9412459720730396,0.981060606060606,0.930784961459808,0.1091793000232428,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
