Dataset,Dataset_Type,MLP_BA_Average,Accuracy,F1_Average,Time_Avwerage,Hyperparameters
agaricus_lepiota,top,0.99996058,0.999959075,0.999959016,4.216664833,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_authorship,top,0.998110647,0.997621879,0.997646385,0.656544867,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_bankruptcy,top,0.906666667,0.906666667,0.906037767,0.0505027,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_creditscore,top,0.873160832,0.9,0.87369729,0.155439833,"Hidden_Neurons=16, Learning_Rate=0.001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_lawsuit,top,0.941783029,0.952020202,0.868199568,0.188834433,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
ann_thyroid,top,0.945045554,0.988472222,0.936702261,6.475171067,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
cars,top,0.7201538,0.804421769,0.719163378,0.495039867,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
chess,top,0.994238387,0.994263663,0.99425214,1.532491567,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
clean1,top,0.948646804,0.948879552,0.94805102,0.562947067,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
clean2,top,0.999597213,0.999545317,0.999128969,11.68433283,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=Sigmoid, Epochs=50"
collins,top,0.736615357,0.781443299,0.739418555,0.6224264,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
confidence,top,0.837962963,0.837962963,0.834320535,0.110527233,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
corral,top,0.954232804,0.95625,0.955423791,0.249723533,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
iris,top,0.948888889,0.948888889,0.949027317,0.157811133,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
