"global_rank","classifier","rank","dataset","balanced_accuracy","accuracy","macro_f1","source_file"
"1","XGBClassifier","1","clean1.tsv.gz","1","1","1","clean1.tsv.gz"
"2","RandomForestClassifier","1","clean1.tsv.gz","1","1","1","clean1.tsv.gz"
"3","RandomForestClassifier","9","corral.tsv.gz","1","1","1","corral.tsv.gz"
"4","XGBClassifier","4","clean2.tsv.gz","1","1","1","clean2.tsv.gz"
"5","XGBClassifier","3","mushroom.tsv.gz","1","1","1","mushroom.tsv.gz"
"6","XGBClassifier","2","irish.tsv.gz","1","1","1","irish.tsv.gz"
"7","RandomForestClassifier","8","collins.tsv.gz","1","1","1","collins.tsv.gz"
"8","RandomForestClassifier","4","mushroom.tsv.gz","1","1","1","mushroom.tsv.gz"
"9","RandomForestClassifier","3","mux6.tsv.gz","1","1","1","mux6.tsv.gz"
"10","RandomForestClassifier","2","clean2.tsv.gz","1","1","1","clean2.tsv.gz"
"11","RandomForestClassifier","7","xd6.tsv.gz","1","1","1","xd6.tsv.gz"
"12","RandomForestClassifier","6","irish.tsv.gz","1","1","1","irish.tsv.gz"
"13","RandomForestClassifier","5","agaricus_lepiota.tsv.gz","1","1","1","agaricus_lepiota.tsv.gz"
"14","LogisticRegression","1","clean2.tsv.gz","1","1","1","clean2.tsv.gz"
"15","LogisticRegression","2","analcatdata_authorship.tsv.gz","0.998017459","0.996432818","0.997549261","analcatdata_authorship.tsv.gz"
"16","LogisticRegression","3","clean1.tsv.gz","0.997584541","0.99789916","0.997861702","clean1.tsv.gz"
"17","LogisticRegression","4","texture.tsv.gz","0.9973","0.995090909","0.995091511","texture.tsv.gz"
"18","RandomForestClassifier","10","ann_thyroid.tsv.gz","0.997220903","0.994166667","0.972217556","ann_thyroid.tsv.gz"
"19","LogisticRegression","5","prnn_crabs.tsv.gz","0.995","0.995","0.994999875","prnn_crabs.tsv.gz"
"20","RandomForestClassifier","11","penguins.tsv.gz","0.993315508","0.993993994","0.992757302","penguins.tsv.gz"
"21","RandomForestClassifier","12","analcatdata_creditscore.tsv.gz","0.993150685","0.99","0.987460815","analcatdata_creditscore.tsv.gz"
"22","LogisticRegression","6","penguins.tsv.gz","0.989973262","0.990990991","0.989091372","penguins.tsv.gz"
"23","RandomForestClassifier","13","monk3.tsv.gz","0.988865393","0.989169675","0.989145768","monk3.tsv.gz"
"24","LogisticRegression","7","mfeat_factors.tsv.gz","0.9875","0.9775","0.977480019","mfeat_factors.tsv.gz"
"25","RandomForestClassifier","14","threeOf9.tsv.gz","0.987226277","0.986328125","0.986284122","threeOf9.tsv.gz"
"26","XGBClassifier","5","analcatdata_creditscore.tsv.gz","0.98630137","0.98","0.975198413","analcatdata_creditscore.tsv.gz"
"27","LogisticRegression","8","dermatology.tsv.gz","0.98607679","0.978142077","0.976667373","dermatology.tsv.gz"
"28","RandomForestClassifier","15","soybean.tsv.gz","0.982713658","0.940740741","0.96448746","soybean.tsv.gz"
"29","RandomForestClassifier","16","pendigits.tsv.gz","0.982629311","0.968340611","0.968626094","pendigits.tsv.gz"
"30","RandomForestClassifier","17","segmentation.tsv.gz","0.982070707","0.969264069","0.969222963","segmentation.tsv.gz"
"31","LogisticRegression","9","wine_recognition.tsv.gz","0.981734145","0.971910112","0.971700096","wine_recognition.tsv.gz"
"32","XGBClassifier","6","monk3.tsv.gz","0.980184837","0.980144404","0.980115833","monk3.tsv.gz"
"33","RandomForestClassifier","18","optdigits.tsv.gz","0.97845488","0.961209964","0.961256296","optdigits.tsv.gz"
"34","LogisticRegression","10","twonorm.tsv.gz","0.977430993","0.977432432","0.977432284","twonorm.tsv.gz"
"35","RandomForestClassifier","19","analcatdata_authorship.tsv.gz","0.97729925","0.973840666","0.970538766","analcatdata_authorship.tsv.gz"
"36","RandomForestClassifier","20","dermatology.tsv.gz","0.976819279","0.972677596","0.963369705","dermatology.tsv.gz"
"37","RandomForestClassifier","21","wine_recognition.tsv.gz","0.975951269","0.966292135","0.966459126","wine_recognition.tsv.gz"
"38","RandomForestClassifier","22","texture.tsv.gz","0.9754","0.955272727","0.955427901","texture.tsv.gz"
"39","RandomForestClassifier","23","mfeat_pixel.tsv.gz","0.975277778","0.9555","0.955522359","mfeat_pixel.tsv.gz"
"40","LogisticRegression","11","optdigits.tsv.gz","0.974390265","0.953914591","0.95384192","optdigits.tsv.gz"
"41","LogisticRegression","12","mfeat_pixel.tsv.gz","0.973611111","0.9525","0.952517161","mfeat_pixel.tsv.gz"
"42","RandomForestClassifier","24","vowel.tsv.gz","0.971111111","0.947474747","0.947377764","vowel.tsv.gz"
"43","RandomForestClassifier","25","kr_vs_kp.tsv.gz","0.970697213","0.970588235","0.970539492","kr_vs_kp.tsv.gz"
"44","RandomForestClassifier","26","chess.tsv.gz","0.970697213","0.970588235","0.970539492","chess.tsv.gz"
"45","LogisticRegression","13","soybean.tsv.gz","0.966674562","0.905185185","0.941558694","soybean.tsv.gz"
"46","RandomForestClassifier","27","iris.tsv.gz","0.965","0.953333333","0.953328666","iris.tsv.gz"
