"rank","dataset","classifier","balanced_accuracy","accuracy","macro_f1","source_file"
"1","clean1.tsv.gz","RandomForestClassifier","1","1","1","clean1.tsv.gz"
"2","clean2.tsv.gz","RandomForestClassifier","1","1","1","clean2.tsv.gz"
"3","mux6.tsv.gz","RandomForestClassifier","1","1","1","mux6.tsv.gz"
"4","mushroom.tsv.gz","RandomForestClassifier","1","1","1","mushroom.tsv.gz"
"5","agaricus_lepiota.tsv.gz","RandomForestClassifier","1","1","1","agaricus_lepiota.tsv.gz"
"6","irish.tsv.gz","RandomForestClassifier","1","1","1","irish.tsv.gz"
"7","xd6.tsv.gz","RandomForestClassifier","1","1","1","xd6.tsv.gz"
"8","collins.tsv.gz","RandomForestClassifier","1","1","1","collins.tsv.gz"
"9","corral.tsv.gz","RandomForestClassifier","1","1","1","corral.tsv.gz"
"10","ann_thyroid.tsv.gz","RandomForestClassifier","0.997220903","0.994166667","0.972217556","ann_thyroid.tsv.gz"
"11","penguins.tsv.gz","RandomForestClassifier","0.993315508","0.993993994","0.992757302","penguins.tsv.gz"
"12","analcatdata_creditscore.tsv.gz","RandomForestClassifier","0.993150685","0.99","0.987460815","analcatdata_creditscore.tsv.gz"
"13","monk3.tsv.gz","RandomForestClassifier","0.988865393","0.989169675","0.989145768","monk3.tsv.gz"
"14","threeOf9.tsv.gz","RandomForestClassifier","0.987226277","0.986328125","0.986284122","threeOf9.tsv.gz"
"15","soybean.tsv.gz","RandomForestClassifier","0.982713658","0.940740741","0.96448746","soybean.tsv.gz"
"16","pendigits.tsv.gz","RandomForestClassifier","0.982629311","0.968340611","0.968626094","pendigits.tsv.gz"
"17","segmentation.tsv.gz","RandomForestClassifier","0.982070707","0.969264069","0.969222963","segmentation.tsv.gz"
"18","optdigits.tsv.gz","RandomForestClassifier","0.97845488","0.961209964","0.961256296","optdigits.tsv.gz"
"19","analcatdata_authorship.tsv.gz","RandomForestClassifier","0.97729925","0.973840666","0.970538766","analcatdata_authorship.tsv.gz"
"20","dermatology.tsv.gz","RandomForestClassifier","0.976819279","0.972677596","0.963369705","dermatology.tsv.gz"
"21","wine_recognition.tsv.gz","RandomForestClassifier","0.975951269","0.966292135","0.966459126","wine_recognition.tsv.gz"
"22","texture.tsv.gz","RandomForestClassifier","0.9754","0.955272727","0.955427901","texture.tsv.gz"
"23","mfeat_pixel.tsv.gz","RandomForestClassifier","0.975277778","0.9555","0.955522359","mfeat_pixel.tsv.gz"
"24","vowel.tsv.gz","RandomForestClassifier","0.971111111","0.947474747","0.947377764","vowel.tsv.gz"
"25","kr_vs_kp.tsv.gz","RandomForestClassifier","0.970697213","0.970588235","0.970539492","kr_vs_kp.tsv.gz"
"26","chess.tsv.gz","RandomForestClassifier","0.970697213","0.970588235","0.970539492","chess.tsv.gz"
"27","iris.tsv.gz","RandomForestClassifier","0.965","0.953333333","0.953328666","iris.tsv.gz"
"28","mfeat_karhunen.tsv.gz","RandomForestClassifier","0.964166667","0.9355","0.935499053","mfeat_karhunen.tsv.gz"
"29","prnn_crabs.tsv.gz","RandomForestClassifier","0.955","0.955","0.954998875","prnn_crabs.tsv.gz"
"30","splice.tsv.gz","RandomForestClassifier","0.954275843","0.93663739","0.929723975","splice.tsv.gz"
