Dataset,Dataset_Type,MLP_BA,Accuracy,F1,Time,Hyperparameters
agaricus_lepiota,top,1,1,1,6.4365946,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_authorship,top,0.998310811,0.997621879,0.998366379,0.5098618,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_bankruptcy,top,0.9,0.9,0.899638699,0.0557706,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
analcatdata_creditscore,top,0.875951294,0.87,0.846680033,0.1823495,"Hidden_Neurons=16, Learning_Rate=0.001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_lawsuit,top,0.941245972,0.981060606,0.930784961,0.1091793,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
ann_thyroid,top,0.939949623,0.988472222,0.933165951,7.0373859,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
cars,top,0.735762153,0.816326531,0.733134636,0.4236765,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
chess,top,0.994057239,0.994055069,0.994043475,0.9408923,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
clean1,top,0.954654024,0.953781513,0.953132832,0.4771581,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
clean2,top,0.999731231,0.999545317,0.999129202,3.0568992,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=Sigmoid, Epochs=50"
confidence,top,0.833333333,0.833333333,0.825372671,0.0972011,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
corral,top,0.90952381,0.9125,0.910813824,0.1523964,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
iris,top,0.946666667,0.946666667,0.946768391,0.1064457,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
irish,top,0.996402878,0.996,0.995952793,0.2469876,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
kr_vs_kp,top,0.9946564,0.994680851,0.994670181,0.6246443,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=ReLU, Epochs=50"
labor,top,0.884459459,0.894736842,0.884459459,0.0576906,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
mfeat_karhunen,top,0.963,0.963,0.963006357,0.8251108,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
mfeat_pixel,top,0.9715,0.9715,0.971488487,0.9550062,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=64, Activation_Function=Sigmoid, Epochs=50"
mfeat_zernike,top,0.841,0.841,0.836432221,2.2531647,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
