Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.713468099987949
8,0.01,8,ReLU,100,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.660829400003422
8,0.01,8,ReLU,300,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.7895717000064906
8,0.01,8,ReLU,500,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.762734899995849
8,0.01,8,ReLU,1000,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.8466130000015255
8,0.01,8,Tanh,50,0.4022460881362167,0.4252004581901489,0.9787854680456112,4.042172799992841
8,0.01,8,Tanh,100,0.4022460881362167,0.4252004581901489,0.9787854680456112,4.174811299992143
8,0.01,8,Tanh,300,0.4022460881362167,0.4252004581901489,0.9787854680456112,4.04443789999641
8,0.01,8,Tanh,500,0.4022460881362167,0.4252004581901489,0.9787854680456112,4.224186999999802
8,0.01,8,Tanh,1000,0.4022460881362167,0.4252004581901489,0.9787854680456112,4.131358300001011
8,0.01,8,Sigmoid,50,0.4661327734280688,0.4955222334423345,0.98143728453991,5.217431400000351
8,0.01,8,Sigmoid,100,0.4661327734280688,0.4955222334423345,0.98143728453991,5.041901699994924
8,0.01,8,Sigmoid,300,0.4661327734280688,0.4955222334423345,0.98143728453991,5.008478400006425
8,0.01,8,Sigmoid,500,0.4661327734280688,0.4955222334423345,0.98143728453991,5.071555999995326
8,0.01,8,Sigmoid,1000,0.4661327734280688,0.4955222334423345,0.98143728453991,5.012800700002117
8,0.01,8,GELU,50,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.805681900004856
8,0.01,8,GELU,100,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.8479860999941593
8,0.01,8,GELU,300,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.7866262000025017
8,0.01,8,GELU,500,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.779334400009248
8,0.01,8,GELU,1000,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.750832100005937
8,0.01,8,Softmax,50,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.608278600004269
8,0.01,8,Softmax,100,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.801826499999152
8,0.01,8,Softmax,300,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.8293761999957496
8,0.01,8,Softmax,500,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.6345288999873446
8,0.01,8,Softmax,1000,0.4850519953092126,0.5169824337057478,0.9827631927870591,3.771197900001425
8,0.01,16,ReLU,50,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.1927738999947906
8,0.01,16,ReLU,100,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.167832500010263
8,0.01,16,ReLU,300,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.128073799991398
8,0.01,16,ReLU,500,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.169745300008799
8,0.01,16,ReLU,1000,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.142999300005613
8,0.01,16,Tanh,50,0.4982376493176514,0.546235330497481,0.9809069212410502,2.594452000004821
8,0.01,16,Tanh,100,0.4982376493176514,0.546235330497481,0.9809069212410502,2.640647899999749
8,0.01,16,Tanh,300,0.4982376493176514,0.546235330497481,0.9809069212410502,2.6679384000017308
8,0.01,16,Tanh,500,0.4982376493176514,0.546235330497481,0.9809069212410502,2.761570999995456
8,0.01,16,Tanh,1000,0.4982376493176514,0.546235330497481,0.9809069212410502,2.5320141999982297
8,0.01,16,Sigmoid,50,0.3786569171869072,0.3960781599445501,0.9798461946433308,2.9140662999998312
8,0.01,16,Sigmoid,100,0.3786569171869072,0.3960781599445501,0.9798461946433308,2.9181288000108907
8,0.01,16,Sigmoid,300,0.3786569171869072,0.3960781599445501,0.9798461946433308,2.9086608000070555
8,0.01,16,Sigmoid,500,0.3786569171869072,0.3960781599445501,0.9798461946433308,2.976197299998603
8,0.01,16,Sigmoid,1000,0.3786569171869072,0.3960781599445501,0.9798461946433308,3.059765999991214
8,0.01,16,GELU,50,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.2048503999976674
8,0.01,16,GELU,100,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.1424566000059717
8,0.01,16,GELU,300,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.157377700001234
8,0.01,16,GELU,500,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.212799500004621
8,0.01,16,GELU,1000,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.2015423999982886
8,0.01,16,Softmax,50,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.22362200000498
8,0.01,16,Softmax,100,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.194932500002324
8,0.01,16,Softmax,300,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.154135300006601
8,0.01,16,Softmax,500,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.163553000005777
8,0.01,16,Softmax,1000,0.4936358201404937,0.5500138530782106,0.9835587377353489,2.1583422999974573
8,0.01,32,ReLU,50,0.4391746858437094,0.4823169930840848,0.98143728453991,1.493397800004459
8,0.01,32,ReLU,100,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4744886999978917
8,0.01,32,ReLU,300,0.4391746858437094,0.4823169930840848,0.98143728453991,1.529708699992625
8,0.01,32,ReLU,500,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4798921999899903
8,0.01,32,ReLU,1000,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4870436000055631
8,0.01,32,Tanh,50,0.4254022522677887,0.4649705432954873,0.9795810129939008,1.6972652999975253
8,0.01,32,Tanh,100,0.4254022522677887,0.4649705432954873,0.9795810129939008,1.538696899995557
8,0.01,32,Tanh,300,0.4254022522677887,0.4649705432954873,0.9795810129939008,1.5778240999934496
8,0.01,32,Tanh,500,0.4254022522677887,0.4649705432954873,0.9795810129939008,1.568664100006572
8,0.01,32,Tanh,1000,0.4254022522677887,0.4649705432954873,0.9795810129939008,1.556438800005708
8,0.01,32,Sigmoid,50,0.3221717311075087,0.350701335785029,0.9769291964996022,1.720596099999966
8,0.01,32,Sigmoid,100,0.3221717311075087,0.350701335785029,0.9769291964996022,1.982252500005416
8,0.01,32,Sigmoid,300,0.3221717311075087,0.350701335785029,0.9769291964996022,1.9719973000028403
8,0.01,32,Sigmoid,500,0.3221717311075087,0.350701335785029,0.9769291964996022,1.9926845000009048
8,0.01,32,Sigmoid,1000,0.3221717311075087,0.350701335785029,0.9769291964996022,1.844667900004424
8,0.01,32,GELU,50,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4834324999974342
8,0.01,32,GELU,100,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4826105999964057
8,0.01,32,GELU,300,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4317449999944074
8,0.01,32,GELU,500,0.4391746858437094,0.4823169930840848,0.98143728453991,1.506908299998031
8,0.01,32,GELU,1000,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4977864999964368
8,0.01,32,Softmax,50,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4680914000055054
8,0.01,32,Softmax,100,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4610915999946883
8,0.01,32,Softmax,300,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4493005000113044
8,0.01,32,Softmax,500,0.4391746858437094,0.4823169930840848,0.98143728453991,1.5242309000022942
8,0.01,32,Softmax,1000,0.4391746858437094,0.4823169930840848,0.98143728453991,1.4986013999878196
8,0.01,64,ReLU,50,0.3629703721587969,0.3858228375143124,0.9790506496950412,0.8715919000096619
8,0.01,64,ReLU,100,0.3629703721587969,0.3858228375143124,0.9790506496950412,0.901571700000204
8,0.01,64,ReLU,300,0.3629703721587969,0.3858228375143124,0.9790506496950412,0.8919076999882236
8,0.01,64,ReLU,500,0.3629703721587969,0.3858228375143124,0.9790506496950412,0.8420896000025095
