Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6,0.5404411764705883,0.6,0.0675248999905306
8,0.01,8,ReLU,100,0.6,0.5404411764705883,0.6,0.0565835000015795
8,0.01,8,ReLU,300,0.6,0.5404411764705883,0.6,0.0476468999986536
8,0.01,8,ReLU,500,0.6,0.5404411764705883,0.6,0.0568753999978071
8,0.01,8,ReLU,1000,0.6,0.5404411764705883,0.6,0.047278499987442
8,0.01,8,Tanh,50,0.64,0.5989304812834224,0.64,0.0568541999964509
8,0.01,8,Tanh,100,0.64,0.5989304812834224,0.64,0.0469784000015351
8,0.01,8,Tanh,300,0.64,0.5989304812834224,0.64,0.0464926999993622
8,0.01,8,Tanh,500,0.64,0.5989304812834224,0.64,0.1670297999953618
8,0.01,8,Tanh,1000,0.64,0.5989304812834224,0.64,0.0465275000024121
8,0.01,8,Sigmoid,50,0.62,0.5703301673450927,0.62,0.0668209000141359
8,0.01,8,Sigmoid,100,0.62,0.5703301673450927,0.62,0.0576357999962056
8,0.01,8,Sigmoid,300,0.62,0.5703301673450927,0.62,0.057501899995259
8,0.01,8,Sigmoid,500,0.62,0.5703301673450927,0.62,0.0580631000048015
8,0.01,8,Sigmoid,1000,0.62,0.5703301673450927,0.62,0.0686896999977761
8,0.01,8,GELU,50,0.6,0.5404411764705883,0.6,0.0580195999937132
8,0.01,8,GELU,100,0.6,0.5404411764705883,0.6,0.0579889000073308
8,0.01,8,GELU,300,0.6,0.5404411764705883,0.6,0.0689869999914662
8,0.01,8,GELU,500,0.6,0.5404411764705883,0.6,0.0708376000111457
8,0.01,8,GELU,1000,0.6,0.5404411764705883,0.6,0.0685621000011451
8,0.01,8,Softmax,50,0.6,0.5404411764705883,0.6,0.0579617999901529
8,0.01,8,Softmax,100,0.6,0.5404411764705883,0.6,0.0697627999907126
8,0.01,8,Softmax,300,0.6,0.5404411764705883,0.6,0.0580481999932089
8,0.01,8,Softmax,500,0.6,0.5404411764705883,0.6,0.0584057999949436
8,0.01,8,Softmax,1000,0.6,0.5404411764705883,0.6,0.0580410999973537
8,0.01,16,ReLU,50,0.58,0.5091164095371669,0.58,0.0470285000046715
8,0.01,16,ReLU,100,0.58,0.5091164095371669,0.58,0.0588604000076884
8,0.01,16,ReLU,300,0.58,0.5091164095371669,0.58,0.0866780999931506
8,0.01,16,ReLU,500,0.58,0.5091164095371669,0.58,0.0475772999925538
8,0.01,16,ReLU,1000,0.58,0.5091164095371669,0.58,0.0474554999964311
8,0.01,16,Tanh,50,0.64,0.5989304812834224,0.64,0.0567930999968666
8,0.01,16,Tanh,100,0.64,0.5989304812834224,0.64,0.0470897000050172
8,0.01,16,Tanh,300,0.64,0.5989304812834224,0.64,0.0571788999950513
8,0.01,16,Tanh,500,0.64,0.5989304812834224,0.64,0.0565362000052118
8,0.01,16,Tanh,1000,0.64,0.5989304812834224,0.64,0.0562115000066114
8,0.01,16,Sigmoid,50,0.6,0.5404411764705883,0.6,0.0681593999906908
