Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.532967032967033,0.4982078853046595,0.65,0.2812784998677671
8,0.01,8,ReLU,100,0.532967032967033,0.4982078853046595,0.65,0.2833040999248624
8,0.01,8,ReLU,300,0.532967032967033,0.4982078853046595,0.65,0.24439719994552433
8,0.01,8,ReLU,500,0.532967032967033,0.4982078853046595,0.65,0.2638997999019921
8,0.01,8,ReLU,1000,0.532967032967033,0.4982078853046595,0.65,0.26567979995161295
8,0.01,8,Tanh,50,0.6089743589743589,0.6096703296703296,0.6916666666666667,0.26935179997235537
8,0.01,8,Tanh,100,0.6089743589743589,0.6096703296703296,0.6916666666666667,0.26043649995699525
8,0.01,8,Tanh,300,0.6089743589743589,0.6096703296703296,0.6916666666666667,0.2401340000797063
8,0.01,8,Tanh,500,0.6089743589743589,0.6096703296703296,0.6916666666666667,0.2417905000038445
8,0.01,8,Tanh,1000,0.6089743589743589,0.6096703296703296,0.6916666666666667,0.21655920008197427
8,0.01,8,Sigmoid,50,0.5,0.3939393939393939,0.65,0.167620699852705
8,0.01,8,Sigmoid,100,0.5,0.3939393939393939,0.65,0.16520110005512834
8,0.01,8,Sigmoid,300,0.5,0.3939393939393939,0.65,0.21047499985434115
8,0.01,8,Sigmoid,500,0.5,0.3939393939393939,0.65,0.2179382999893278
8,0.01,8,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.1788095000665635
8,0.01,8,GELU,50,0.532967032967033,0.4982078853046595,0.65,0.23181050014682114
8,0.01,8,GELU,100,0.532967032967033,0.4982078853046595,0.65,0.24540120013989508
8,0.01,8,GELU,300,0.532967032967033,0.4982078853046595,0.65,0.25739870010875165
8,0.01,8,GELU,500,0.532967032967033,0.4982078853046595,0.65,0.24266529991291463
8,0.01,8,GELU,1000,0.532967032967033,0.4982078853046595,0.65,0.36065140017308295
8,0.01,8,Softmax,50,0.5,0.3939393939393939,0.65,0.2053018999285996
8,0.01,8,Softmax,100,0.5,0.3939393939393939,0.65,0.17310860008001328
8,0.01,8,Softmax,300,0.5,0.3939393939393939,0.65,0.15606770012527704
8,0.01,8,Softmax,500,0.5,0.3939393939393939,0.65,0.16457720007747412
8,0.01,8,Softmax,1000,0.5,0.3939393939393939,0.65,0.15572650008834898
8,0.01,16,ReLU,50,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.1435471000149846
8,0.01,16,ReLU,100,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.1274413000792265
8,0.01,16,ReLU,300,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.13894999981857836
8,0.01,16,ReLU,500,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.14402280002832413
8,0.01,16,ReLU,1000,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.20179699989967048
8,0.01,16,Tanh,50,0.6318681318681318,0.6369747899159663,0.7,0.16778390016406775
8,0.01,16,Tanh,100,0.6318681318681318,0.6369747899159663,0.7,0.1742958000395447
8,0.01,16,Tanh,300,0.6318681318681318,0.6369747899159663,0.7,0.13392950012348592
8,0.01,16,Tanh,500,0.6318681318681318,0.6369747899159663,0.7,0.12235570000484586
8,0.01,16,Tanh,1000,0.6318681318681318,0.6369747899159663,0.7,0.1228473000228405
8,0.01,16,Sigmoid,50,0.5,0.3939393939393939,0.65,0.11250580009073019
8,0.01,16,Sigmoid,100,0.5,0.3939393939393939,0.65,0.10565369995310903
8,0.01,16,Sigmoid,300,0.5,0.3939393939393939,0.65,0.10007870011031628
8,0.01,16,Sigmoid,500,0.5,0.3939393939393939,0.65,0.11849749996326864
8,0.01,16,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.11247609998099506
8,0.01,16,GELU,50,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.17328170011751354
8,0.01,16,GELU,100,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.1428075002040714
8,0.01,16,GELU,300,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.13846909999847412
8,0.01,16,GELU,500,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.1513884998857975
8,0.01,16,GELU,1000,0.4935897435897436,0.39086294416243655,0.6416666666666667,0.1671173998620361
8,0.01,16,Softmax,50,0.5,0.3939393939393939,0.65,0.10858729993924499
8,0.01,16,Softmax,100,0.5,0.3939393939393939,0.65,0.1127239998895675
8,0.01,16,Softmax,300,0.5,0.3939393939393939,0.65,0.11524709989316761
8,0.01,16,Softmax,500,0.5,0.3939393939393939,0.65,0.1555470998864621
8,0.01,16,Softmax,1000,0.5,0.3939393939393939,0.65,0.12689119996502995
8,0.01,32,ReLU,50,0.5,0.3939393939393939,0.65,0.10564989992417395
8,0.01,32,ReLU,100,0.5,0.3939393939393939,0.65,0.09265340003184974
8,0.01,32,ReLU,300,0.5,0.3939393939393939,0.65,0.11414050008170307
8,0.01,32,ReLU,500,0.5,0.3939393939393939,0.65,0.13125410000793636
8,0.01,32,ReLU,1000,0.5,0.3939393939393939,0.65,0.1193877998739481
8,0.01,32,Tanh,50,0.6318681318681318,0.6369747899159663,0.7,0.12383499997667968
8,0.01,32,Tanh,100,0.6318681318681318,0.6369747899159663,0.7,0.1581296999938786
8,0.01,32,Tanh,300,0.6318681318681318,0.6369747899159663,0.7,0.12455489998683333
8,0.01,32,Tanh,500,0.6318681318681318,0.6369747899159663,0.7,0.12755590002052486
8,0.01,32,Tanh,1000,0.6318681318681318,0.6369747899159663,0.7,0.14552360004745424
8,0.01,32,Sigmoid,50,0.5,0.3939393939393939,0.65,0.10513480007648468
8,0.01,32,Sigmoid,100,0.5,0.3939393939393939,0.65,0.08319700020365417
8,0.01,32,Sigmoid,300,0.5,0.3939393939393939,0.65,0.09222689992748201
8,0.01,32,Sigmoid,500,0.5,0.3939393939393939,0.65,0.07834000000730157
8,0.01,32,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.10968730016611516
8,0.01,32,GELU,50,0.5,0.3939393939393939,0.65,0.12687460007146
8,0.01,32,GELU,100,0.5,0.3939393939393939,0.65,0.22776979999616742
8,0.01,32,GELU,300,0.5,0.3939393939393939,0.65,0.12505570007488132
8,0.01,32,GELU,500,0.5,0.3939393939393939,0.65,0.1370373999234289
8,0.01,32,GELU,1000,0.5,0.3939393939393939,0.65,0.12373170000500977
8,0.01,32,Softmax,50,0.5,0.3939393939393939,0.65,0.08616440021432936
8,0.01,32,Softmax,100,0.5,0.3939393939393939,0.65,0.10616099997423589
8,0.01,32,Softmax,300,0.5,0.3939393939393939,0.65,0.10939710005186498
8,0.01,32,Softmax,500,0.5,0.3939393939393939,0.65,0.09667909983545542
8,0.01,32,Softmax,1000,0.5,0.3939393939393939,0.65,0.09283540002070367
8,0.01,64,ReLU,50,0.5,0.3939393939393939,0.65,0.08136680000461638
8,0.01,64,ReLU,100,0.5,0.3939393939393939,0.65,0.07104600011371076
8,0.01,64,ReLU,300,0.5,0.3939393939393939,0.65,0.07419820013456047
8,0.01,64,ReLU,500,0.5,0.3939393939393939,0.65,0.06862080004066229
8,0.01,64,ReLU,1000,0.5,0.3939393939393939,0.65,0.07056840020231903
8,0.01,64,Tanh,50,0.6153846153846154,0.6164772727272727,0.7,0.0749723999761045
8,0.01,64,Tanh,100,0.6153846153846154,0.6164772727272727,0.7,0.11489379988051951
8,0.01,64,Tanh,300,0.6153846153846154,0.6164772727272727,0.7,0.10975180007517338
8,0.01,64,Tanh,500,0.6153846153846154,0.6164772727272727,0.7,0.08630340010859072
8,0.01,64,Tanh,1000,0.6153846153846154,0.6164772727272727,0.7,0.08792260009795427
8,0.01,64,Sigmoid,50,0.5,0.3939393939393939,0.65,0.0825167999137193
8,0.01,64,Sigmoid,100,0.5,0.3939393939393939,0.65,0.08813180006109178
8,0.01,64,Sigmoid,300,0.5,0.3939393939393939,0.65,0.0943427998572588
8,0.01,64,Sigmoid,500,0.5,0.3939393939393939,0.65,0.07525080000050366
8,0.01,64,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.06869160011410713
8,0.01,64,GELU,50,0.5,0.3939393939393939,0.65,0.08178099989891052
8,0.01,64,GELU,100,0.5,0.3939393939393939,0.65,0.054694199934601784
8,0.01,64,GELU,300,0.5,0.3939393939393939,0.65,0.06892149988561869
8,0.01,64,GELU,500,0.5,0.3939393939393939,0.65,0.06699920003302395
8,0.01,64,GELU,1000,0.5,0.3939393939393939,0.65,0.052775700110942125
8,0.01,64,Softmax,50,0.5,0.3939393939393939,0.65,0.05469790007919073
8,0.01,64,Softmax,100,0.5,0.3939393939393939,0.65,0.053413699846714735
8,0.01,64,Softmax,300,0.5,0.3939393939393939,0.65,0.053008300019428134
8,0.01,64,Softmax,500,0.5,0.3939393939393939,0.65,0.05240919999778271
8,0.01,64,Softmax,1000,0.5,0.3939393939393939,0.65,0.05301159992814064
8,0.01,128,ReLU,50,0.5,0.3939393939393939,0.65,0.046666800044476986
8,0.01,128,ReLU,100,0.5,0.3939393939393939,0.65,0.03663529991172254
8,0.01,128,ReLU,300,0.5,0.3939393939393939,0.65,0.039716700091958046
8,0.01,128,ReLU,500,0.5,0.3939393939393939,0.65,0.036079700104892254
8,0.01,128,ReLU,1000,0.5,0.3939393939393939,0.65,0.03652180009521544
8,0.01,128,Tanh,50,0.6016483516483516,0.6033562166285278,0.675,0.05238639982417226
8,0.01,128,Tanh,100,0.6016483516483516,0.6033562166285278,0.675,0.05062470003031194
8,0.01,128,Tanh,300,0.6016483516483516,0.6033562166285278,0.675,0.04877469991333783
8,0.01,128,Tanh,500,0.6016483516483516,0.6033562166285278,0.675,0.061762499855831265
8,0.01,128,Tanh,1000,0.6016483516483516,0.6033562166285278,0.675,0.09311520005576313
8,0.01,128,Sigmoid,50,0.5,0.3939393939393939,0.65,0.06480349996127188
8,0.01,128,Sigmoid,100,0.5,0.3939393939393939,0.65,0.06986030004918575
8,0.01,128,Sigmoid,300,0.5,0.3939393939393939,0.65,0.06634490005671978
8,0.01,128,Sigmoid,500,0.5,0.3939393939393939,0.65,0.06604700000025332
8,0.01,128,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.06356750009581447
8,0.01,128,GELU,50,0.5,0.3939393939393939,0.65,0.06676099984906614
8,0.01,128,GELU,100,0.5,0.3939393939393939,0.65,0.07942649978213012
8,0.01,128,GELU,300,0.5,0.3939393939393939,0.65,0.06557790003716946
8,0.01,128,GELU,500,0.5,0.3939393939393939,0.65,0.06010230001993477
8,0.01,128,GELU,1000,0.5,0.3939393939393939,0.65,0.0635247000027448
8,0.01,128,Softmax,50,0.5,0.3939393939393939,0.65,0.06512499996460974
8,0.01,128,Softmax,100,0.5,0.3939393939393939,0.65,0.062088599894195795
8,0.01,128,Softmax,300,0.5,0.3939393939393939,0.65,0.07681940007023513
8,0.01,128,Softmax,500,0.5,0.3939393939393939,0.65,0.0693546999245882
8,0.01,128,Softmax,1000,0.5,0.3939393939393939,0.65,0.07148039992898703
8,0.001,8,ReLU,50,0.5,0.3939393939393939,0.65,0.17563920002430677
8,0.001,8,ReLU,100,0.5,0.3939393939393939,0.65,0.2465935000218451
8,0.001,8,ReLU,300,0.5,0.3939393939393939,0.65,0.19526769989170134
8,0.001,8,ReLU,500,0.5,0.3939393939393939,0.65,0.16116890008561313
8,0.001,8,ReLU,1000,0.5,0.3939393939393939,0.65,0.14861249993555248
8,0.001,8,Tanh,50,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.1531779000069946
8,0.001,8,Tanh,100,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.16067539993673563
8,0.001,8,Tanh,300,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.14768319996073842
8,0.001,8,Tanh,500,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.14196699997410178
8,0.001,8,Tanh,1000,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.15229419991374016
8,0.001,8,Sigmoid,50,0.5,0.3939393939393939,0.65,0.21471650013700128
8,0.001,8,Sigmoid,100,0.5,0.3939393939393939,0.65,0.18862910009920597
8,0.001,8,Sigmoid,300,0.5,0.3939393939393939,0.65,0.19008630001917481
8,0.001,8,Sigmoid,500,0.5,0.3939393939393939,0.65,0.17177630006335676
8,0.001,8,Sigmoid,1000,0.5,0.3939393939393939,0.65,0.15237899986095726
8,0.001,8,GELU,50,0.5,0.3939393939393939,0.65,0.15489839995279908
8,0.001,8,GELU,100,0.5,0.3939393939393939,0.65,0.15486310003325343
8,0.001,8,GELU,300,0.5,0.3939393939393939,0.65,0.15911990008316934
8,0.001,8,GELU,500,0.5,0.3939393939393939,0.65,0.1374729999806732
8,0.001,8,GELU,1000,0.5,0.3939393939393939,0.65,0.19760069996118546
8,0.001,8,Softmax,50,0.5,0.3939393939393939,0.65,0.20748209999874234
8,0.001,8,Softmax,100,0.5,0.3939393939393939,0.65,0.16071090009063482
8,0.001,8,Softmax,300,0.5,0.3939393939393939,0.65,0.21612650016322732
8,0.001,8,Softmax,500,0.5,0.3939393939393939,0.65,0.17468849988654256
8,0.001,8,Softmax,1000,0.5,0.3939393939393939,0.65,0.1829252999741584
8,0.001,16,ReLU,50,0.5,0.3939393939393939,0.65,0.10694879991933703
8,0.001,16,ReLU,100,0.5,0.3939393939393939,0.65,0.11035010009072721
8,0.001,16,ReLU,300,0.5,0.3939393939393939,0.65,0.10454139998182654
8,0.001,16,ReLU,500,0.5,0.3939393939393939,0.65,0.10431260010227561
8,0.001,16,ReLU,1000,0.5,0.3939393939393939,0.65,0.13068059994839132
8,0.001,16,Tanh,50,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.15414360002614558
8,0.001,16,Tanh,100,0.6172161172161172,0.6201329534662868,0.6666666666666666,0.14463569992221892
