Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.408145199995488
8,0.01,8,ReLU,100,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.1801008000038564
8,0.01,8,ReLU,300,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.499518800061196
8,0.01,8,ReLU,500,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.9673407999798656
8,0.01,8,ReLU,1000,0.2009276614132406,0.19000218745771236,0.20326223337515684,2.101974599994719
8,0.01,8,Tanh,50,0.2169124017501111,0.21116206732614504,0.21831869510664995,1.2559258001856506
8,0.01,8,Tanh,100,0.2169124017501111,0.21116206732614504,0.21831869510664995,1.3831371001433581
8,0.01,8,Tanh,300,0.2169124017501111,0.21116206732614504,0.21831869510664995,1.0714359001722187
8,0.01,8,Tanh,500,0.2169124017501111,0.21116206732614504,0.21831869510664995,0.8853757998440415
8,0.01,8,Tanh,1000,0.2169124017501111,0.21116206732614504,0.21831869510664995,0.8394042002037168
8,0.01,8,Sigmoid,50,0.19742530667691074,0.18398529393370033,0.20326223337515684,0.9224941001739353
8,0.01,8,Sigmoid,100,0.19742530667691074,0.18398529393370033,0.20326223337515684,0.9529931999277323
8,0.01,8,Sigmoid,300,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.5437786001712084
8,0.01,8,Sigmoid,500,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.7498379000462592
8,0.01,8,Sigmoid,1000,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.6935148001648486
8,0.01,8,GELU,50,0.2009276614132406,0.19000218745771236,0.20326223337515684,2.190464199986309
8,0.01,8,GELU,100,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.529609699966386
8,0.01,8,GELU,300,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.382315200055018
8,0.01,8,GELU,500,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.1188529001083225
8,0.01,8,GELU,1000,0.2009276614132406,0.19000218745771236,0.20326223337515684,1.3886319000739604
8,0.01,8,Softmax,50,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.8691163000185043
8,0.01,8,Softmax,100,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.54140180000104
8,0.01,8,Softmax,300,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.0671031000092626
8,0.01,8,Softmax,500,0.19742530667691074,0.18398529393370033,0.20326223337515684,1.570374800125137
