Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5,0.4084507042253521,0.6904761904761905,0.04609179998806212
8,0.01,8,ReLU,100,0.5,0.4084507042253521,0.6904761904761905,0.05804799999168608
8,0.01,8,ReLU,300,0.5,0.4084507042253521,0.6904761904761905,0.0475841000006767
8,0.01,8,ReLU,500,0.5,0.4084507042253521,0.6904761904761905,0.047396699999808334
8,0.01,8,ReLU,1000,0.5,0.4084507042253521,0.6904761904761905,0.057665000000270084
8,0.01,8,Tanh,50,0.4482758620689655,0.38235294117647056,0.6190476190476191,0.05836539999290835
8,0.01,8,Tanh,100,0.4482758620689655,0.38235294117647056,0.6190476190476191,0.04687910000211559
8,0.01,8,Tanh,300,0.4482758620689655,0.38235294117647056,0.6190476190476191,0.04615759999433067
8,0.01,8,Tanh,500,0.4482758620689655,0.38235294117647056,0.6190476190476191,0.05795859999489039
8,0.01,8,Tanh,1000,0.4482758620689655,0.38235294117647056,0.6190476190476191,0.04664729999785777
8,0.01,8,Sigmoid,50,0.5,0.4084507042253521,0.6904761904761905,0.05838170000060927
8,0.01,8,Sigmoid,100,0.5,0.4084507042253521,0.6904761904761905,0.047962299999198876
8,0.01,8,Sigmoid,300,0.5,0.4084507042253521,0.6904761904761905,0.04661209999176208
8,0.01,8,Sigmoid,500,0.5,0.4084507042253521,0.6904761904761905,0.05519339999591466
8,0.01,8,Sigmoid,1000,0.5,0.4084507042253521,0.6904761904761905,0.047572700001182966
8,0.01,8,GELU,50,0.5,0.4084507042253521,0.6904761904761905,0.0454738999978872
8,0.01,8,GELU,100,0.5,0.4084507042253521,0.6904761904761905,0.05729609999980312
8,0.01,8,GELU,300,0.5,0.4084507042253521,0.6904761904761905,0.047648499996284954
8,0.01,8,GELU,500,0.5,0.4084507042253521,0.6904761904761905,0.0468271999998251
8,0.01,8,GELU,1000,0.5,0.4084507042253521,0.6904761904761905,0.07780020000063814
8,0.01,8,Softmax,50,0.5,0.4084507042253521,0.6904761904761905,0.0884471999888774
8,0.01,8,Softmax,100,0.5,0.4084507042253521,0.6904761904761905,0.05588480000733398
8,0.01,8,Softmax,300,0.5,0.4084507042253521,0.6904761904761905,0.08780819999810774
8,0.01,8,Softmax,500,0.5,0.4084507042253521,0.6904761904761905,0.08767559999250807
8,0.01,8,Softmax,1000,0.5,0.4084507042253521,0.6904761904761905,0.056481899999198504
8,0.01,16,ReLU,50,0.5,0.4084507042253521,0.6904761904761905,0.04609139999956824
8,0.01,16,ReLU,100,0.5,0.4084507042253521,0.6904761904761905,0.04624350000813138
8,0.01,16,ReLU,300,0.5,0.4084507042253521,0.6904761904761905,0.04672279999067541
8,0.01,16,ReLU,500,0.5,0.4084507042253521,0.6904761904761905,0.04739569999219384
8,0.01,16,ReLU,1000,0.5,0.4084507042253521,0.6904761904761905,0.047409299993887544
8,0.01,16,Tanh,50,0.43103448275862066,0.373134328358209,0.5952380952380952,0.047325300009106286
8,0.01,16,Tanh,100,0.43103448275862066,0.373134328358209,0.5952380952380952,0.04657740000402555
8,0.01,16,Tanh,300,0.43103448275862066,0.373134328358209,0.5952380952380952,0.04678389999025967
8,0.01,16,Tanh,500,0.43103448275862066,0.373134328358209,0.5952380952380952,0.046270400009234436
8,0.01,16,Tanh,1000,0.43103448275862066,0.373134328358209,0.5952380952380952,0.04742799999075942
8,0.01,16,Sigmoid,50,0.5,0.4084507042253521,0.6904761904761905,0.047284800006309524
8,0.01,16,Sigmoid,100,0.5,0.4084507042253521,0.6904761904761905,0.0464464999968186
8,0.01,16,Sigmoid,300,0.5,0.4084507042253521,0.6904761904761905,0.058763399996678345
8,0.01,16,Sigmoid,500,0.5,0.4084507042253521,0.6904761904761905,0.04648930000257678
8,0.01,16,Sigmoid,1000,0.5,0.4084507042253521,0.6904761904761905,0.0373494999948889
8,0.01,16,GELU,50,0.5,0.4084507042253521,0.6904761904761905,0.04679100000066683
8,0.01,16,GELU,100,0.5,0.4084507042253521,0.6904761904761905,0.04623590000846889
8,0.01,16,GELU,300,0.5,0.4084507042253521,0.6904761904761905,0.046661799991852604
8,0.01,16,GELU,500,0.5,0.4084507042253521,0.6904761904761905,0.03579069999977946
8,0.01,16,GELU,1000,0.5,0.4084507042253521,0.6904761904761905,0.0356572999880882
8,0.01,16,Softmax,50,0.5,0.4084507042253521,0.6904761904761905,0.045855499993194826
8,0.01,16,Softmax,100,0.5,0.4084507042253521,0.6904761904761905,0.03638580000551883
8,0.01,16,Softmax,300,0.5,0.4084507042253521,0.6904761904761905,0.03573669999605045
8,0.01,16,Softmax,500,0.5,0.4084507042253521,0.6904761904761905,0.045757700005196966
8,0.01,16,Softmax,1000,0.5,0.4084507042253521,0.6904761904761905,0.04622210000525229
8,0.01,32,ReLU,50,0.5,0.4084507042253521,0.6904761904761905,0.036278600004152395
8,0.01,32,ReLU,100,0.5,0.4084507042253521,0.6904761904761905,0.03645179999875836
8,0.01,32,ReLU,300,0.5,0.4084507042253521,0.6904761904761905,0.03705520000949036
8,0.01,32,ReLU,500,0.5,0.4084507042253521,0.6904761904761905,0.036340000006021
8,0.01,32,ReLU,1000,0.5,0.4084507042253521,0.6904761904761905,0.03551960000186227
8,0.01,32,Tanh,50,0.43103448275862066,0.373134328358209,0.5952380952380952,0.03613620001124218
8,0.01,32,Tanh,100,0.43103448275862066,0.373134328358209,0.5952380952380952,0.04728050000267103
8,0.01,32,Tanh,300,0.43103448275862066,0.373134328358209,0.5952380952380952,0.050668099996983074
8,0.01,32,Tanh,500,0.43103448275862066,0.373134328358209,0.5952380952380952,0.0470052000018768
8,0.01,32,Tanh,1000,0.43103448275862066,0.373134328358209,0.5952380952380952,0.04747399999178015
8,0.01,32,Sigmoid,50,0.5,0.4084507042253521,0.6904761904761905,0.03683440000168048
8,0.01,32,Sigmoid,100,0.5,0.4084507042253521,0.6904761904761905,0.04745620000176132
8,0.01,32,Sigmoid,300,0.5,0.4084507042253521,0.6904761904761905,0.03608489999896847
8,0.01,32,Sigmoid,500,0.5,0.4084507042253521,0.6904761904761905,0.03573429999232758
8,0.01,32,Sigmoid,1000,0.5,0.4084507042253521,0.6904761904761905,0.037573499997961335
8,0.01,32,GELU,50,0.5,0.4084507042253521,0.6904761904761905,0.0617878000048222
8,0.01,32,GELU,100,0.5,0.4084507042253521,0.6904761904761905,0.03598059999058023
8,0.01,32,GELU,300,0.5,0.4084507042253521,0.6904761904761905,0.035896300003514625
8,0.01,32,GELU,500,0.5,0.4084507042253521,0.6904761904761905,0.035715499994694255
8,0.01,32,GELU,1000,0.5,0.4084507042253521,0.6904761904761905,0.0370033999934094
8,0.01,32,Softmax,50,0.5,0.4084507042253521,0.6904761904761905,0.03686040001048241
8,0.01,32,Softmax,100,0.5,0.4084507042253521,0.6904761904761905,0.03549899999052286
8,0.01,32,Softmax,300,0.5,0.4084507042253521,0.6904761904761905,0.035037200010265224
8,0.01,32,Softmax,500,0.5,0.4084507042253521,0.6904761904761905,0.03605049999896437
8,0.01,32,Softmax,1000,0.5,0.4084507042253521,0.6904761904761905,0.03610610000032466
8,0.01,64,ReLU,50,0.5,0.4084507042253521,0.6904761904761905,0.03529700000945013
8,0.01,64,ReLU,100,0.5,0.4084507042253521,0.6904761904761905,0.034890399998403154
8,0.01,64,ReLU,300,0.5,0.4084507042253521,0.6904761904761905,0.037140000000363216
8,0.01,64,ReLU,500,0.5,0.4084507042253521,0.6904761904761905,0.03567219999968074
