Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.3725,0.3621723137911058,0.3725,0.41511760000139475
8,0.01,8,ReLU,100,0.3725,0.3621723137911058,0.3725,0.4636532000731677
8,0.01,8,ReLU,300,0.3725,0.3621723137911058,0.3725,0.4346382000949234
8,0.01,8,ReLU,500,0.3725,0.3621723137911058,0.3725,0.4127420000731945
8,0.01,8,ReLU,1000,0.3725,0.3621723137911058,0.3725,0.4659037000965327
8,0.01,8,Tanh,50,0.39,0.38236206364700465,0.39,0.4481234000995755
8,0.01,8,Tanh,100,0.39,0.38236206364700465,0.39,0.44944489980116487
8,0.01,8,Tanh,300,0.39,0.38236206364700465,0.39,0.4442435000091791
8,0.01,8,Tanh,500,0.39,0.38236206364700465,0.39,0.46038220007903874
8,0.01,8,Tanh,1000,0.39,0.38236206364700465,0.39,0.3633141000755131
8,0.01,8,Sigmoid,50,0.385,0.3800058161647579,0.385,0.531005899887532
8,0.01,8,Sigmoid,100,0.385,0.3800058161647579,0.385,0.4753129999153316
8,0.01,8,Sigmoid,300,0.385,0.3800058161647579,0.385,0.46943329996429384
8,0.01,8,Sigmoid,500,0.385,0.3800058161647579,0.385,0.4230245999060571
8,0.01,8,Sigmoid,1000,0.385,0.3800058161647579,0.385,0.41382299992255867
8,0.01,8,GELU,50,0.3725,0.3621723137911058,0.3725,0.3889693000819534
8,0.01,8,GELU,100,0.3725,0.3621723137911058,0.3725,0.34910989995114505
8,0.01,8,GELU,300,0.3725,0.3621723137911058,0.3725,0.329565400024876
8,0.01,8,GELU,500,0.3725,0.3621723137911058,0.3725,0.3379560001194477
8,0.01,8,GELU,1000,0.3725,0.3621723137911058,0.3725,0.5484595000743866
8,0.01,8,Softmax,50,0.385,0.3800058161647579,0.385,0.827484600013122
8,0.01,8,Softmax,100,0.385,0.3800058161647579,0.385,0.8772958000190556
8,0.01,8,Softmax,300,0.385,0.3800058161647579,0.385,0.845053100027144
8,0.01,8,Softmax,500,0.385,0.3800058161647579,0.385,0.9063464000355452
8,0.01,8,Softmax,1000,0.385,0.3800058161647579,0.385,0.7606056998483837
8,0.01,16,ReLU,50,0.3775,0.36699832775919733,0.3775,0.49178109993226826
8,0.01,16,ReLU,100,0.3775,0.36699832775919733,0.3775,0.42789779999293387
8,0.01,16,ReLU,300,0.3775,0.36699832775919733,0.3775,0.42129540001042187
8,0.01,16,ReLU,500,0.3775,0.36699832775919733,0.3775,0.4368039001710713
8,0.01,16,ReLU,1000,0.3775,0.36699832775919733,0.3775,0.4733282998204231
8,0.01,16,Tanh,50,0.38,0.3651754252982311,0.38,0.5157269998453557
8,0.01,16,Tanh,100,0.38,0.3651754252982311,0.38,0.5053823001217097
8,0.01,16,Tanh,300,0.38,0.3651754252982311,0.38,0.49179510003887117
8,0.01,16,Tanh,500,0.38,0.3651754252982311,0.38,0.7045485998969525
8,0.01,16,Tanh,1000,0.38,0.3651754252982311,0.38,0.5288173002190888
8,0.01,16,Sigmoid,50,0.3825,0.3690300446322552,0.3825,0.5952288000844419
8,0.01,16,Sigmoid,100,0.3825,0.3690300446322552,0.3825,0.45420409995131195
8,0.01,16,Sigmoid,300,0.3825,0.3690300446322552,0.3825,0.4741199999116361
8,0.01,16,Sigmoid,500,0.3825,0.3690300446322552,0.3825,0.4858999999705702
8,0.01,16,Sigmoid,1000,0.3825,0.3690300446322552,0.3825,0.5879544999916106
8,0.01,16,GELU,50,0.3775,0.36699832775919733,0.3775,0.39572750008665025
8,0.01,16,GELU,100,0.3775,0.36699832775919733,0.3775,0.6050227000378072
8,0.01,16,GELU,300,0.3775,0.36699832775919733,0.3775,0.5489614000543952
8,0.01,16,GELU,500,0.3775,0.36699832775919733,0.3775,0.4175305000972003
8,0.01,16,GELU,1000,0.3775,0.36699832775919733,0.3775,0.42319730017334223
8,0.01,16,Softmax,50,0.3825,0.3690300446322552,0.3825,0.6133703999221325
8,0.01,16,Softmax,100,0.3825,0.3690300446322552,0.3825,0.42728180019184947
8,0.01,16,Softmax,300,0.3825,0.3690300446322552,0.3825,0.5229312998708338
8,0.01,16,Softmax,500,0.3825,0.3690300446322552,0.3825,0.5094819001387805
8,0.01,16,Softmax,1000,0.3825,0.3690300446322552,0.3825,0.5191677999682724
8,0.01,32,ReLU,50,0.40499999999999997,0.3915886879011838,0.405,0.20677999989129603
8,0.01,32,ReLU,100,0.40499999999999997,0.3915886879011838,0.405,0.19198909983970225
8,0.01,32,ReLU,300,0.40499999999999997,0.3915886879011838,0.405,0.23363889986649156
8,0.01,32,ReLU,500,0.40499999999999997,0.3915886879011838,0.405,0.23708230000920594
8,0.01,32,ReLU,1000,0.40499999999999997,0.3915886879011838,0.405,0.22967389994300902
8,0.01,32,Tanh,50,0.385,0.3735314387607391,0.385,0.38740760018117726
8,0.01,32,Tanh,100,0.385,0.3735314387607391,0.385,0.32347010006196797
8,0.01,32,Tanh,300,0.385,0.3735314387607391,0.385,0.29573710006661713
8,0.01,32,Tanh,500,0.385,0.3735314387607391,0.385,0.28119260002858937
8,0.01,32,Tanh,1000,0.385,0.3735314387607391,0.385,0.31181939993985
8,0.01,32,Sigmoid,50,0.36500000000000005,0.36554554265217853,0.365,0.319791299989447
