Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0818417000118643
8,0.01,8,ReLU,100,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1001174999983049
8,0.01,8,ReLU,300,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1022603000019444
8,0.01,8,ReLU,500,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0892396999988704
8,0.01,8,ReLU,1000,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0999213000031886
8,0.01,8,Tanh,50,0.3833333333333333,0.3625730994152046,0.3833333333333333,0.0782790000084787
8,0.01,8,Tanh,100,0.3833333333333333,0.3625730994152046,0.3833333333333333,0.0900433000060729
8,0.01,8,Tanh,300,0.3833333333333333,0.3625730994152046,0.3833333333333333,0.0795719999878201
8,0.01,8,Tanh,500,0.3833333333333333,0.3625730994152046,0.3833333333333333,0.1006163999991258
8,0.01,8,Tanh,1000,0.3833333333333333,0.3625730994152046,0.3833333333333333,0.0932631000032415
8,0.01,8,Sigmoid,50,0.4000000000000001,0.3134563134563135,0.4,0.0943379000091226
8,0.01,8,Sigmoid,100,0.4000000000000001,0.3134563134563135,0.4,0.0993154999887337
8,0.01,8,Sigmoid,300,0.4000000000000001,0.3134563134563135,0.4,0.1008947999944211
8,0.01,8,Sigmoid,500,0.4000000000000001,0.3134563134563135,0.4,0.1014744999993126
8,0.01,8,Sigmoid,1000,0.4000000000000001,0.3134563134563135,0.4,0.1124657000036677
8,0.01,8,GELU,50,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1103200000070501
8,0.01,8,GELU,100,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0890364999941084
8,0.01,8,GELU,300,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1094032999972114
8,0.01,8,GELU,500,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1108309999981429
8,0.01,8,GELU,1000,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1097272000042721
8,0.01,8,Softmax,50,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0878758000035304
8,0.01,8,Softmax,100,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0998114999965764
8,0.01,8,Softmax,300,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0906176999997114
8,0.01,8,Softmax,500,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.1023744999984046
8,0.01,8,Softmax,1000,0.3833333333333333,0.3756020171114511,0.3833333333333333,0.0988973999919835
8,0.01,16,ReLU,50,0.35,0.3190515165533847,0.35,0.0462393000052543
8,0.01,16,ReLU,100,0.35,0.3190515165533847,0.35,0.0466868999938014
8,0.01,16,ReLU,300,0.35,0.3190515165533847,0.35,0.0716685000079451
8,0.01,16,ReLU,500,0.35,0.3190515165533847,0.35,0.0616428999928757
8,0.01,16,ReLU,1000,0.35,0.3190515165533847,0.35,0.0618837000074563
8,0.01,16,Tanh,50,0.35,0.3101360469781522,0.35,0.0750837999948998
8,0.01,16,Tanh,100,0.35,0.3101360469781522,0.35,0.0704255000018747
8,0.01,16,Tanh,300,0.35,0.3101360469781522,0.35,0.0695381999976234
8,0.01,16,Tanh,500,0.35,0.3101360469781522,0.35,0.0830050999938976
8,0.01,16,Tanh,1000,0.35,0.3101360469781522,0.35,0.0636238000006415
