Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2696437999984482
8,0.01,8,ReLU,100,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3074231999926269
8,0.01,8,ReLU,300,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3287196000019321
8,0.01,8,ReLU,500,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3124116000108188
8,0.01,8,ReLU,1000,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2970536999928299
8,0.01,8,Tanh,50,0.6251390108282119,0.6341070330802332,0.7307692307692307,0.2246755999949528
8,0.01,8,Tanh,100,0.6251390108282119,0.6341070330802332,0.7307692307692307,0.2243099000043003
8,0.01,8,Tanh,300,0.6251390108282119,0.6341070330802332,0.7307692307692307,0.2164778000005753
8,0.01,8,Tanh,500,0.6251390108282119,0.6341070330802332,0.7307692307692307,0.2410190999944461
8,0.01,8,Tanh,1000,0.6251390108282119,0.6341070330802332,0.7307692307692307,0.2358927000022959
8,0.01,8,Sigmoid,50,0.5760316066725197,0.5700884787365617,0.7237762237762237,0.3114101000101072
8,0.01,8,Sigmoid,100,0.5760316066725197,0.5700884787365617,0.7237762237762237,0.2920827999914763
8,0.01,8,Sigmoid,300,0.5760316066725197,0.5700884787365617,0.7237762237762237,0.2914272999914828
8,0.01,8,Sigmoid,500,0.5760316066725197,0.5700884787365617,0.7237762237762237,0.2757321999961277
8,0.01,8,Sigmoid,1000,0.5760316066725197,0.5700884787365617,0.7237762237762237,0.3418697000015527
8,0.01,8,GELU,50,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3306895999994594
8,0.01,8,GELU,100,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3203701999882469
8,0.01,8,GELU,300,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3398148999986006
8,0.01,8,GELU,500,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3088809000037145
8,0.01,8,GELU,1000,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2719396000029519
8,0.01,8,Softmax,50,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2964685000042664
8,0.01,8,Softmax,100,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2813764000020455
8,0.01,8,Softmax,300,0.6000292654375183,0.605595892800771,0.7097902097902098,0.3092946999968262
8,0.01,8,Softmax,500,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2907246999966446
8,0.01,8,Softmax,1000,0.6000292654375183,0.605595892800771,0.7097902097902098,0.2652543000003788
8,0.01,16,ReLU,50,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1506309999967925
8,0.01,16,ReLU,100,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1513739000074565
8,0.01,16,ReLU,300,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1506722000049194
8,0.01,16,ReLU,500,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1615505000081611
8,0.01,16,ReLU,1000,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1720071000017924
8,0.01,16,Tanh,50,0.6192566578870354,0.6275295531957523,0.7272727272727273,0.1328056000056676
8,0.01,16,Tanh,100,0.6192566578870354,0.6275295531957523,0.7272727272727273,0.1524241999868536
8,0.01,16,Tanh,300,0.6192566578870354,0.6275295531957523,0.7272727272727273,0.1511266000015894
8,0.01,16,Tanh,500,0.6192566578870354,0.6275295531957523,0.7272727272727273,0.1414912999898661
8,0.01,16,Tanh,1000,0.6192566578870354,0.6275295531957523,0.7272727272727273,0.141498800003319
8,0.01,16,Sigmoid,50,0.5757974831723734,0.5625573569899052,0.7377622377622378,0.1645797999954084
8,0.01,16,Sigmoid,100,0.5757974831723734,0.5625573569899052,0.7377622377622378,0.1507128999946871
8,0.01,16,Sigmoid,300,0.5757974831723734,0.5625573569899052,0.7377622377622378,0.1405950000043958
8,0.01,16,Sigmoid,500,0.5757974831723734,0.5625573569899052,0.7377622377622378,0.1642109000094933
8,0.01,16,Sigmoid,1000,0.5757974831723734,0.5625573569899052,0.7377622377622378,0.1503380999929504
8,0.01,16,GELU,50,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.2253988000011304
8,0.01,16,GELU,100,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1616907999996328
8,0.01,16,GELU,300,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1534384000115096
8,0.01,16,GELU,500,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1405501999979606
8,0.01,16,GELU,1000,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.164164100002381
8,0.01,16,Softmax,50,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1545915000024251
8,0.01,16,Softmax,100,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1501082000031601
8,0.01,16,Softmax,300,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.173260699986713
8,0.01,16,Softmax,500,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1506354000011924
8,0.01,16,Softmax,1000,0.5982148083113843,0.6032335965197733,0.7167832167832168,0.1416976000036811
8,0.01,32,ReLU,50,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.099839400005294
8,0.01,32,ReLU,100,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.0987483999924734
8,0.01,32,ReLU,300,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.0988922999968053
8,0.01,32,ReLU,500,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.0985917000070912
8,0.01,32,ReLU,1000,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1199635999946622
8,0.01,32,Tanh,50,0.6400643839625403,0.6522171031222703,0.7517482517482518,0.1104593000054592
8,0.01,32,Tanh,100,0.6400643839625403,0.6522171031222703,0.7517482517482518,0.1116280999995069
8,0.01,32,Tanh,300,0.6400643839625403,0.6522171031222703,0.7517482517482518,0.113508800001
8,0.01,32,Tanh,500,0.6400643839625403,0.6522171031222703,0.7517482517482518,0.1136803999979747
8,0.01,32,Tanh,1000,0.6400643839625403,0.6522171031222703,0.7517482517482518,0.1123852000018814
8,0.01,32,Sigmoid,50,0.5472929470295581,0.5204421719419545,0.7167832167832168,0.1440757999953348
8,0.01,32,Sigmoid,100,0.5472929470295581,0.5204421719419545,0.7167832167832168,0.1303546999988611
8,0.01,32,Sigmoid,300,0.5472929470295581,0.5204421719419545,0.7167832167832168,0.1524680999864358
8,0.01,32,Sigmoid,500,0.5472929470295581,0.5204421719419545,0.7167832167832168,0.1330716000084066
8,0.01,32,Sigmoid,1000,0.5472929470295581,0.5204421719419545,0.7167832167832168,0.1305948999943211
8,0.01,32,GELU,50,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1115276999917114
8,0.01,32,GELU,100,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1224345000082394
8,0.01,32,GELU,300,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.122653900005389
8,0.01,32,GELU,500,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.0985518999950727
8,0.01,32,GELU,1000,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1100007000059122
8,0.01,32,Softmax,50,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1097027000068919
8,0.01,32,Softmax,100,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1101886999967973
8,0.01,32,Softmax,300,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1192385000031208
8,0.01,32,Softmax,500,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1108330999995814
8,0.01,32,Softmax,1000,0.6018437225636524,0.6073649357990794,0.7027972027972028,0.1199883999943267
8,0.01,64,ReLU,50,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0867865000036545
8,0.01,64,ReLU,100,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.088402399996994
8,0.01,64,ReLU,300,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.1004653000127291
8,0.01,64,ReLU,500,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0896106000000145
8,0.01,64,ReLU,1000,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.078670000002603
8,0.01,64,Tanh,50,0.6267193444541996,0.6364098652428172,0.7377622377622378,0.0782504999951925
8,0.01,64,Tanh,100,0.6267193444541996,0.6364098652428172,0.7377622377622378,0.0684444999933475
8,0.01,64,Tanh,300,0.6267193444541996,0.6364098652428172,0.7377622377622378,0.0769314999924972
8,0.01,64,Tanh,500,0.6267193444541996,0.6364098652428172,0.7377622377622378,0.0766729000024497
8,0.01,64,Tanh,1000,0.6267193444541996,0.6364098652428172,0.7377622377622378,0.0776388999947812
8,0.01,64,Sigmoid,50,0.5058823529411764,0.4252081538903244,0.7062937062937062,0.0684866000083275
8,0.01,64,Sigmoid,100,0.5058823529411764,0.4252081538903244,0.7062937062937062,0.0687800000014249
8,0.01,64,Sigmoid,300,0.5058823529411764,0.4252081538903244,0.7062937062937062,0.0792998999968404
8,0.01,64,Sigmoid,500,0.5058823529411764,0.4252081538903244,0.7062937062937062,0.0774850000016158
8,0.01,64,Sigmoid,1000,0.5058823529411764,0.4252081538903244,0.7062937062937062,0.0814253999997163
8,0.01,64,GELU,50,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.090858700001263
8,0.01,64,GELU,100,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0884819000057177
8,0.01,64,GELU,300,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0975029999972321
8,0.01,64,GELU,500,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0902019999921321
8,0.01,64,GELU,1000,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0877590000018244
8,0.01,64,Softmax,50,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0875273999990895
8,0.01,64,Softmax,100,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0886702999996487
8,0.01,64,Softmax,300,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0885452999937115
8,0.01,64,Softmax,500,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0884861000085948
8,0.01,64,Softmax,1000,0.5900790166812994,0.5944055944055944,0.6958041958041958,0.0888139000016963
8,0.01,128,ReLU,50,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0668473000114318
8,0.01,128,ReLU,100,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0693137999915052
8,0.01,128,ReLU,300,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0688483999983873
8,0.01,128,ReLU,500,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0699162999953841
8,0.01,128,ReLU,1000,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0777060000109486
8,0.01,128,Tanh,50,0.6170032191981271,0.6233677630221969,0.7097902097902098,0.0780887000000802
8,0.01,128,Tanh,100,0.6170032191981271,0.6233677630221969,0.7097902097902098,0.068511599994963
8,0.01,128,Tanh,300,0.6170032191981271,0.6233677630221969,0.7097902097902098,0.0679107000032672
8,0.01,128,Tanh,500,0.6170032191981271,0.6233677630221969,0.7097902097902098,0.0682376000040676
8,0.01,128,Tanh,1000,0.6170032191981271,0.6233677630221969,0.7097902097902098,0.0782822999899508
8,0.01,128,Sigmoid,50,0.5,0.4127310061601643,0.7027972027972028,0.0473394000000553
8,0.01,128,Sigmoid,100,0.5,0.4127310061601643,0.7027972027972028,0.0480947000032756
8,0.01,128,Sigmoid,300,0.5,0.4127310061601643,0.7027972027972028,0.0462019999977201
8,0.01,128,Sigmoid,500,0.5,0.4127310061601643,0.7027972027972028,0.0481355999945662
8,0.01,128,Sigmoid,1000,0.5,0.4127310061601643,0.7027972027972028,0.0479504000104498
8,0.01,128,GELU,50,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0826927000016439
8,0.01,128,GELU,100,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0669072000018786
8,0.01,128,GELU,300,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0678971000015735
8,0.01,128,GELU,500,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0796344999980647
8,0.01,128,GELU,1000,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0669599999964702
8,0.01,128,Softmax,50,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0690059000044129
8,0.01,128,Softmax,100,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0690305999887641
8,0.01,128,Softmax,300,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0682602000015322
8,0.01,128,Softmax,500,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0790048999915598
8,0.01,128,Softmax,1000,0.614281533508926,0.6216931216931216,0.7202797202797203,0.0784412999928463
8,0.001,8,ReLU,50,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4901102000003448
8,0.001,8,ReLU,100,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4767023000022163
8,0.001,8,ReLU,300,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4961726000037743
8,0.001,8,ReLU,500,0.5948200175592625,0.599002959962611,0.7167832167832168,0.5518280999967828
8,0.001,8,ReLU,1000,0.5948200175592625,0.599002959962611,0.7167832167832168,0.5539462000015192
8,0.001,8,Tanh,50,0.6240269242025168,0.6267718661406693,0.6958041958041958,0.437114999993355
8,0.001,8,Tanh,100,0.6240269242025168,0.6267718661406693,0.6958041958041958,0.4139912000100594
8,0.001,8,Tanh,300,0.6240269242025168,0.6267718661406693,0.6958041958041958,0.413395199997467
8,0.001,8,Tanh,500,0.6240269242025168,0.6267718661406693,0.6958041958041958,0.4243927000061376
8,0.001,8,Tanh,1000,0.6240269242025168,0.6267718661406693,0.6958041958041958,0.455677400008426
8,0.001,8,Sigmoid,50,0.5,0.4127310061601643,0.7027972027972028,0.186079699997208
8,0.001,8,Sigmoid,100,0.5,0.4127310061601643,0.7027972027972028,0.1877260000037495
8,0.001,8,Sigmoid,300,0.5,0.4127310061601643,0.7027972027972028,0.1619470000005094
8,0.001,8,Sigmoid,500,0.5,0.4127310061601643,0.7027972027972028,0.1708784999937052
8,0.001,8,Sigmoid,1000,0.5,0.4127310061601643,0.7027972027972028,0.1612519000045722
8,0.001,8,GELU,50,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4653067000035662
8,0.001,8,GELU,100,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4150130999914836
8,0.001,8,GELU,300,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4902742999984184
8,0.001,8,GELU,500,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4789228000008734
8,0.001,8,GELU,1000,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4861704999930225
8,0.001,8,Softmax,50,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4434110000001965
8,0.001,8,Softmax,100,0.5948200175592625,0.599002959962611,0.7167832167832168,0.435420099995099
8,0.001,8,Softmax,300,0.5948200175592625,0.599002959962611,0.7167832167832168,0.5085118999995757
8,0.001,8,Softmax,500,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4962167999910889
8,0.001,8,Softmax,1000,0.5948200175592625,0.599002959962611,0.7167832167832168,0.4674840999941807
8,0.001,16,ReLU,50,0.5932396839332748,0.5976269175353843,0.7097902097902098,0.2871364000020548
8,0.001,16,ReLU,100,0.5932396839332748,0.5976269175353843,0.7097902097902098,0.3109239999903366
8,0.001,16,ReLU,300,0.5932396839332748,0.5976269175353843,0.7097902097902098,0.2877423999889288
8,0.001,16,ReLU,500,0.5932396839332748,0.5976269175353843,0.7097902097902098,0.2771395000017946
8,0.001,16,ReLU,1000,0.5932396839332748,0.5976269175353843,0.7097902097902098,0.3197044999978971
8,0.001,16,Tanh,50,0.6122914837576823,0.5983363042186571,0.6363636363636364,0.2017491000005975
8,0.001,16,Tanh,100,0.6122914837576823,0.5983363042186571,0.6363636363636364,0.2028509000083431
8,0.001,16,Tanh,300,0.6122914837576823,0.5983363042186571,0.6363636363636364,0.1929598999995505
8,0.001,16,Tanh,500,0.6122914837576823,0.5983363042186571,0.6363636363636364,0.2068444000033196
8,0.001,16,Tanh,1000,0.6122914837576823,0.5983363042186571,0.6363636363636364,0.2026881000056164
8,0.001,16,Sigmoid,50,0.5,0.4127310061601643,0.7027972027972028,0.1084215000009862
