Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5925985001958907
8,0.01,8,ReLU,100,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.610764600103721
8,0.01,8,ReLU,300,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5572148999199271
8,0.01,8,ReLU,500,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.48851299984380603
8,0.01,8,ReLU,1000,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5379579998552799
8,0.01,8,Tanh,50,0.5962715169445939,0.5908998509283101,0.5942028985507246,0.5589103000238538
8,0.01,8,Tanh,100,0.5962715169445939,0.5908998509283101,0.5942028985507246,0.4056985001079738
8,0.01,8,Tanh,300,0.5962715169445939,0.5908998509283101,0.5942028985507246,0.32608280004933476
8,0.01,8,Tanh,500,0.5962715169445939,0.5908998509283101,0.5942028985507246,0.3184088000562042
8,0.01,8,Tanh,1000,0.5962715169445939,0.5908998509283101,0.5942028985507246,0.322477700188756
8,0.01,8,Sigmoid,50,0.584672538999462,0.5792112752405475,0.5826086956521739,0.2645779999438673
8,0.01,8,Sigmoid,100,0.584672538999462,0.5792112752405475,0.5826086956521739,0.2524373000487685
8,0.01,8,Sigmoid,300,0.584672538999462,0.5792112752405475,0.5826086956521739,0.24430470005609095
8,0.01,8,Sigmoid,500,0.584672538999462,0.5792112752405475,0.5826086956521739,0.4804149998817593
8,0.01,8,Sigmoid,1000,0.584672538999462,0.5792112752405475,0.5826086956521739,0.6208960001822561
8,0.01,8,GELU,50,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5284426999278367
8,0.01,8,GELU,100,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5703400999773294
8,0.01,8,GELU,300,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.7879343000240624
8,0.01,8,GELU,500,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.6316314998548478
8,0.01,8,GELU,1000,0.5813609467455622,0.5776663374110376,0.5797101449275363,0.5723562999628484
8,0.01,8,Softmax,50,0.584672538999462,0.5792112752405475,0.5826086956521739,0.5464908999856561
8,0.01,8,Softmax,100,0.584672538999462,0.5792112752405475,0.5826086956521739,0.4205530001781881
8,0.01,8,Softmax,300,0.584672538999462,0.5792112752405475,0.5826086956521739,0.5134157000575215
8,0.01,8,Softmax,500,0.584672538999462,0.5792112752405475,0.5826086956521739,0.6421225999947637
8,0.01,8,Softmax,1000,0.584672538999462,0.5792112752405475,0.5826086956521739,0.4618355999700725
8,0.01,16,ReLU,50,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.2802611000370234
8,0.01,16,ReLU,100,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.32491840003058314
8,0.01,16,ReLU,300,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.35141580016352236
8,0.01,16,ReLU,500,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.32096240017563105
8,0.01,16,ReLU,1000,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.26408899994567037
8,0.01,16,Tanh,50,0.581831629908553,0.5760629147210616,0.5797101449275363,0.29429719992913306
8,0.01,16,Tanh,100,0.581831629908553,0.5760629147210616,0.5797101449275363,0.28055229992605746
8,0.01,16,Tanh,300,0.581831629908553,0.5760629147210616,0.5797101449275363,0.41328970016911626
8,0.01,16,Tanh,500,0.581831629908553,0.5760629147210616,0.5797101449275363,0.3672797998879105
8,0.01,16,Tanh,1000,0.581831629908553,0.5760629147210616,0.5797101449275363,0.2772812000475824
8,0.01,16,Sigmoid,50,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.23033629986457527
8,0.01,16,Sigmoid,100,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.2812330999877304
8,0.01,16,Sigmoid,300,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.22996449982747436
8,0.01,16,Sigmoid,500,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.21107059996575117
8,0.01,16,Sigmoid,1000,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.22559909988194704
8,0.01,16,GELU,50,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.18224339978769422
8,0.01,16,GELU,100,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.15229009999893606
8,0.01,16,GELU,300,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.1505017001181841
8,0.01,16,GELU,500,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.15182560007087886
8,0.01,16,GELU,1000,0.5963891877353416,0.5904558404558404,0.5942028985507246,0.16211539995856583
8,0.01,16,Softmax,50,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.16168650006875396
8,0.01,16,Softmax,100,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.18357830005697906
8,0.01,16,Softmax,300,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.18428309983573854
8,0.01,16,Softmax,500,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.18166689993813634
8,0.01,16,Softmax,1000,0.5986417428725122,0.5954564243595043,0.5971014492753624,0.15241919993422925
8,0.01,32,ReLU,50,0.5902366863905326,0.5858693446946642,0.5884057971014492,0.10173029988072813
