Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.09956580004654825
8,0.01,8,ReLU,100,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.0998295999597758
8,0.01,8,ReLU,300,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.09916010010056198
8,0.01,8,ReLU,500,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.10025190003216267
8,0.01,8,ReLU,1000,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.11059430008754134
8,0.01,8,Tanh,50,0.3177083333333333,0.27461622807017544,0.32407407407407407,0.11178519995883107
8,0.01,8,Tanh,100,0.3177083333333333,0.27461622807017544,0.32407407407407407,0.1097494000568986
8,0.01,8,Tanh,300,0.3177083333333333,0.27461622807017544,0.32407407407407407,0.110211499966681
8,0.01,8,Tanh,500,0.3177083333333333,0.27461622807017544,0.32407407407407407,0.09869250003248453
8,0.01,8,Tanh,1000,0.3177083333333333,0.27461622807017544,0.32407407407407407,0.10900799999944866
8,0.01,8,Sigmoid,50,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.08893379988148808
8,0.01,8,Sigmoid,100,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.11486490000970662
8,0.01,8,Sigmoid,300,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.10059439996257424
8,0.01,8,Sigmoid,500,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.11005720007233322
8,0.01,8,Sigmoid,1000,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.10999529995024204
8,0.01,8,GELU,50,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.09978100005537271
8,0.01,8,GELU,100,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.11876709992066026
8,0.01,8,GELU,300,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.11229699989780784
8,0.01,8,GELU,500,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.11036280007101595
8,0.01,8,GELU,1000,0.3314732142857143,0.29100652376514446,0.3425925925925926,0.11960370000451803
8,0.01,8,Softmax,50,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.10981259983964264
8,0.01,8,Softmax,100,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.09957129997201264
8,0.01,8,Softmax,300,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.09966890001669526
8,0.01,8,Softmax,500,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.09888770012184978
8,0.01,8,Softmax,1000,0.32403273809523814,0.28406350803232094,0.3333333333333333,0.12722230004146695
8,0.01,16,ReLU,50,0.27827380952380953,0.23687629937629937,0.2777777777777778,0.20355440001003444
8,0.01,16,ReLU,100,0.27827380952380953,0.23687629937629937,0.2777777777777778,0.1638756999745965
8,0.01,16,ReLU,300,0.27827380952380953,0.23687629937629937,0.2777777777777778,0.17262289999052882
8,0.01,16,ReLU,500,0.27827380952380953,0.23687629937629937,0.2777777777777778,0.19091739994473755
8,0.01,16,ReLU,1000,0.27827380952380953,0.23687629937629937,0.2777777777777778,0.18491720012389123
8,0.01,16,Tanh,50,0.2979910714285714,0.24732620320855614,0.2962962962962963,0.1458660000935197
8,0.01,16,Tanh,100,0.2979910714285714,0.24732620320855614,0.2962962962962963,0.14861369994468987
8,0.01,16,Tanh,300,0.2979910714285714,0.24732620320855614,0.2962962962962963,0.1363870999775827
8,0.01,16,Tanh,500,0.2979910714285714,0.24732620320855614,0.2962962962962963,0.12431100010871887
8,0.01,16,Tanh,1000,0.2979910714285714,0.24732620320855614,0.2962962962962963,0.16546260006725788
