Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.849721499951556
8,0.01,8,ReLU,100,0.5006908343520015,0.4862650842476245,0.9401343921808186,10.782526500057429
8,0.01,8,ReLU,300,0.5006908343520015,0.4862650842476245,0.9401343921808186,10.460816300008446
8,0.01,8,ReLU,500,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.017292500007898
8,0.01,8,ReLU,1000,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.267171500017866
8,0.01,8,Tanh,50,0.49989172802078824,0.4845717884130982,0.9401343921808186,6.996159299975261
8,0.01,8,Tanh,100,0.49989172802078824,0.4845717884130982,0.9401343921808186,6.919906800147146
8,0.01,8,Tanh,300,0.49989172802078824,0.4845717884130982,0.9401343921808186,6.496617799857631
8,0.01,8,Tanh,500,0.49989172802078824,0.4845717884130982,0.9401343921808186,7.380520300008357
8,0.01,8,Tanh,1000,0.49989172802078824,0.4845717884130982,0.9401343921808186,7.156672099838033
8,0.01,8,Sigmoid,50,0.5,0.48462587889600167,0.9403380166972104,6.117390900151804
8,0.01,8,Sigmoid,100,0.5,0.48462587889600167,0.9403380166972104,6.413399699842557
8,0.01,8,Sigmoid,300,0.5,0.48462587889600167,0.9403380166972104,6.1569019998423755
8,0.01,8,Sigmoid,500,0.5,0.48462587889600167,0.9403380166972104,6.242680799914524
8,0.01,8,Sigmoid,1000,0.5,0.48462587889600167,0.9403380166972104,6.918899100041017
8,0.01,8,GELU,50,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.798722999868914
8,0.01,8,GELU,100,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.32697800011374
8,0.01,8,GELU,300,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.544428100110963
8,0.01,8,GELU,500,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.179660100024194
8,0.01,8,GELU,1000,0.5006908343520015,0.4862650842476245,0.9401343921808186,9.592938899993896
8,0.01,8,Softmax,50,0.5,0.48462587889600167,0.9403380166972104,7.080004999879748
8,0.01,8,Softmax,100,0.5,0.48462587889600167,0.9403380166972104,6.6693665001075715
8,0.01,8,Softmax,300,0.5,0.48462587889600167,0.9403380166972104,7.54771970002912
8,0.01,8,Softmax,500,0.5,0.48462587889600167,0.9403380166972104,8.277756299823523
8,0.01,8,Softmax,1000,0.5,0.48462587889600167,0.9403380166972104,7.278366399928927
8,0.01,16,ReLU,50,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.582706999965012
8,0.01,16,ReLU,100,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.9862993999850005
8,0.01,16,ReLU,300,0.5004742903935778,0.4861454439407195,0.9397271431480351,4.51124699995853
8,0.01,16,ReLU,500,0.5004742903935778,0.4861454439407195,0.9397271431480351,6.670077700167894
8,0.01,16,ReLU,1000,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.823883899953216
8,0.01,16,Tanh,50,0.4997834560415764,0.4845176865749974,0.9399307676644268,6.368085999973118
8,0.01,16,Tanh,100,0.4997834560415764,0.4845176865749974,0.9399307676644268,6.116487900028005
8,0.01,16,Tanh,300,0.4997834560415764,0.4845176865749974,0.9399307676644268,4.07174489996396
8,0.01,16,Tanh,500,0.4997834560415764,0.4845176865749974,0.9399307676644268,6.167024299968034
8,0.01,16,Tanh,1000,0.4997834560415764,0.4845176865749974,0.9399307676644268,6.725107199978083
8,0.01,16,Sigmoid,50,0.5,0.48462587889600167,0.9403380166972104,4.047161400085315
8,0.01,16,Sigmoid,100,0.5,0.48462587889600167,0.9403380166972104,5.548121599946171
8,0.01,16,Sigmoid,300,0.5,0.48462587889600167,0.9403380166972104,4.936751100001857
8,0.01,16,Sigmoid,500,0.5,0.48462587889600167,0.9403380166972104,2.640077699907124
8,0.01,16,Sigmoid,1000,0.5,0.48462587889600167,0.9403380166972104,5.624341099988669
8,0.01,16,GELU,50,0.5004742903935778,0.4861454439407195,0.9397271431480351,6.579302300000563
8,0.01,16,GELU,100,0.5004742903935778,0.4861454439407195,0.9397271431480351,4.505440799985081
8,0.01,16,GELU,300,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.6839468001853675
8,0.01,16,GELU,500,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.127614999888465
8,0.01,16,GELU,1000,0.5004742903935778,0.4861454439407195,0.9397271431480351,5.3793830999638885
8,0.01,16,Softmax,50,0.5,0.48462587889600167,0.9403380166972104,5.952683700015768
8,0.01,16,Softmax,100,0.5,0.48462587889600167,0.9403380166972104,4.678771100006998
8,0.01,16,Softmax,300,0.5,0.48462587889600167,0.9403380166972104,5.368660700041801
8,0.01,16,Softmax,500,0.5,0.48462587889600167,0.9403380166972104,3.34452320006676
8,0.01,16,Softmax,1000,0.5,0.48462587889600167,0.9403380166972104,6.001959700137377
8,0.01,32,ReLU,50,0.49989172802078824,0.4845717884130982,0.9401343921808186,2.9407190999481827
8,0.01,32,ReLU,100,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.849285100121051
8,0.01,32,ReLU,300,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.9096063000615686
8,0.01,32,ReLU,500,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.3261183998547494
8,0.01,32,ReLU,1000,0.49989172802078824,0.4845717884130982,0.9401343921808186,2.917282400187105
8,0.01,32,Tanh,50,0.49918796015591166,0.48421992333140784,0.938810832824272,5.154393599834293
8,0.01,32,Tanh,100,0.49918796015591166,0.48421992333140784,0.938810832824272,4.68460000003688
8,0.01,32,Tanh,300,0.49918796015591166,0.48421992333140784,0.938810832824272,3.1999493001494557
8,0.01,32,Tanh,500,0.49918796015591166,0.48421992333140784,0.938810832824272,4.815879700006917
8,0.01,32,Tanh,1000,0.49918796015591166,0.48421992333140784,0.938810832824272,5.522424699971452
8,0.01,32,Sigmoid,50,0.5,0.48462587889600167,0.9403380166972104,2.517746200086549
8,0.01,32,Sigmoid,100,0.5,0.48462587889600167,0.9403380166972104,2.8102146999444813
8,0.01,32,Sigmoid,300,0.5,0.48462587889600167,0.9403380166972104,3.910668700002134
8,0.01,32,Sigmoid,500,0.5,0.48462587889600167,0.9403380166972104,4.286342600127682
8,0.01,32,Sigmoid,1000,0.5,0.48462587889600167,0.9403380166972104,2.699609500123188
8,0.01,32,GELU,50,0.49989172802078824,0.4845717884130982,0.9401343921808186,2.7750222999602556
8,0.01,32,GELU,100,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.395053799962625
8,0.01,32,GELU,300,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.990391500061378
8,0.01,32,GELU,500,0.49989172802078824,0.4845717884130982,0.9401343921808186,3.586026400094852
8,0.01,32,GELU,1000,0.49989172802078824,0.4845717884130982,0.9401343921808186,2.6767365999985486
8,0.01,32,Softmax,50,0.5,0.48462587889600167,0.9403380166972104,3.390436900081113
8,0.01,32,Softmax,100,0.5,0.48462587889600167,0.9403380166972104,3.129329700022936
8,0.01,32,Softmax,300,0.5,0.48462587889600167,0.9403380166972104,2.7626901001203805
8,0.01,32,Softmax,500,0.5,0.48462587889600167,0.9403380166972104,3.1464200001209974
8,0.01,32,Softmax,1000,0.5,0.48462587889600167,0.9403380166972104,3.472632500110194
8,0.01,64,ReLU,50,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.0153900999575853
8,0.01,64,ReLU,100,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.4379945998080075
8,0.01,64,ReLU,300,0.5022761135015528,0.49070573694770636,0.9386072083078802,1.7376732002012432
8,0.01,64,ReLU,500,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.4675789000466466
8,0.01,64,ReLU,1000,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.013875199947506
8,0.01,64,Tanh,50,0.5012192607351852,0.48778332783252637,0.9396253308898391,1.4104240001179278
8,0.01,64,Tanh,100,0.5012192607351852,0.48778332783252637,0.9396253308898391,2.3325894998852164
8,0.01,64,Tanh,300,0.5012192607351852,0.48778332783252637,0.9396253308898391,1.7281208999920636
8,0.01,64,Tanh,500,0.5012192607351852,0.48778332783252637,0.9396253308898391,1.4105585000943393
8,0.01,64,Tanh,1000,0.5012192607351852,0.48778332783252637,0.9396253308898391,2.3234747999813408
8,0.01,64,Sigmoid,50,0.5,0.48462587889600167,0.9403380166972104,1.6768157999031246
8,0.01,64,Sigmoid,100,0.5,0.48462587889600167,0.9403380166972104,0.9537056998815387
8,0.01,64,Sigmoid,300,0.5,0.48462587889600167,0.9403380166972104,2.1643155000638217
8,0.01,64,Sigmoid,500,0.5,0.48462587889600167,0.9403380166972104,2.025379200000316
8,0.01,64,Sigmoid,1000,0.5,0.48462587889600167,0.9403380166972104,1.1190998998936266
8,0.01,64,GELU,50,0.5022761135015528,0.49070573694770636,0.9386072083078802,1.6958673999179155
8,0.01,64,GELU,100,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.6493416999001056
8,0.01,64,GELU,300,0.5022761135015528,0.49070573694770636,0.9386072083078802,1.5131208000238985
8,0.01,64,GELU,500,0.5022761135015528,0.49070573694770636,0.9386072083078802,1.7526886998675764
8,0.01,64,GELU,1000,0.5022761135015528,0.49070573694770636,0.9386072083078802,2.623036100063473
8,0.01,64,Softmax,50,0.5,0.48462587889600167,0.9403380166972104,2.1460200001019984
8,0.01,64,Softmax,100,0.5,0.48462587889600167,0.9403380166972104,1.6382355000823736
8,0.01,64,Softmax,300,0.5,0.48462587889600167,0.9403380166972104,1.1942329001612961
8,0.01,64,Softmax,500,0.5,0.48462587889600167,0.9403380166972104,1.3704679999500513
8,0.01,64,Softmax,1000,0.5,0.48462587889600167,0.9403380166972104,1.8237943998537958
8,0.01,128,ReLU,50,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.6763586001470685
8,0.01,128,ReLU,100,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.4795691999606788
8,0.01,128,ReLU,300,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.6780025002080947
8,0.01,128,ReLU,500,0.5009485807871558,0.4876201270072346,0.9391162695988597,0.9484355000313371
8,0.01,128,ReLU,1000,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.035399400163442
8,0.01,128,Tanh,50,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.5042413000483066
8,0.01,128,Tanh,100,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.6716999998316169
8,0.01,128,Tanh,300,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.851576799992472
8,0.01,128,Tanh,500,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.582755400100723
8,0.01,128,Tanh,1000,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.093725600047037
8,0.01,128,Sigmoid,50,0.5,0.48462587889600167,0.9403380166972104,1.2123753000050783
8,0.01,128,Sigmoid,100,0.5,0.48462587889600167,0.9403380166972104,1.1216271000448614
8,0.01,128,Sigmoid,300,0.5,0.48462587889600167,0.9403380166972104,1.1987533001229167
8,0.01,128,Sigmoid,500,0.5,0.48462587889600167,0.9403380166972104,1.3199241000693291
8,0.01,128,Sigmoid,1000,0.5,0.48462587889600167,0.9403380166972104,1.0592823999468237
8,0.01,128,GELU,50,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.5194387999363244
8,0.01,128,GELU,100,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.2645839001052082
8,0.01,128,GELU,300,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.04501420003362
8,0.01,128,GELU,500,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.7744928000029176
8,0.01,128,GELU,1000,0.5009485807871558,0.4876201270072346,0.9391162695988597,1.501258400036022
8,0.01,128,Softmax,50,0.5,0.48462587889600167,0.9403380166972104,1.4126206999644637
8,0.01,128,Softmax,100,0.5,0.48462587889600167,0.9403380166972104,1.1627080999314785
8,0.01,128,Softmax,300,0.5,0.48462587889600167,0.9403380166972104,1.1914268000982702
8,0.01,128,Softmax,500,0.5,0.48462587889600167,0.9403380166972104,0.8192607001401484
8,0.01,128,Softmax,1000,0.5,0.48462587889600167,0.9403380166972104,0.6430182000622153
8,0.001,8,ReLU,50,0.5005825623727896,0.48620525049508884,0.9399307676644268,12.86266479990445
8,0.001,8,ReLU,100,0.5005825623727896,0.48620525049508884,0.9399307676644268,12.459141599945724
8,0.001,8,ReLU,300,0.5005825623727896,0.48620525049508884,0.9399307676644268,14.829106000019237
8,0.001,8,ReLU,500,0.5005825623727896,0.48620525049508884,0.9399307676644268,12.633991700131446
8,0.001,8,ReLU,1000,0.5005825623727896,0.48620525049508884,0.9399307676644268,11.275564699899405
8,0.001,8,Tanh,50,0.5009485807871558,0.4876201270072346,0.9391162695988597,9.76988729997538
8,0.001,8,Tanh,100,0.5009485807871558,0.4876201270072346,0.9391162695988597,8.49975199997425
