dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz,target,1600,1000,2,0.0,0,0.0,1000,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0.0,20,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0.0,20,0,numeric
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0.0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz,target,1600,20,2,0.0,0,0.0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz,target,1600,20,2,0.0,0,0.0,20,0,numeric
Hill_Valley_with_noise.tsv.gz,target,1212,100,2,0.0,0,0.0,100,0,numeric
Hill_Valley_without_noise.tsv.gz,target,1212,100,2,4.901480247034613e-05,0,0.0,100,0,numeric
adult.tsv.gz,target,48842,14,2,0.13594799539983923,0,0.0,14,0,numeric
agaricus_lepiota.tsv.gz,target,8145,22,2,0.0007289682364720793,0,0.0,22,0,numeric
allbp.tsv.gz,target,3772,29,3,0.5836818952471879,0,0.0,29,0,numeric
allhyper.tsv.gz,target,3771,29,4,0.6976066881470132,0,0.0,29,0,numeric
allhypo.tsv.gz,target,3770,29,3,0.5225104423915362,0,0.0,29,0,numeric
allrep.tsv.gz,target,3772,29,4,0.6857058596636036,0,0.0,29,0,numeric
analcatdata_aids.tsv.gz,target,50,4,2,0.0,0,0.0,4,0,numeric
analcatdata_asbestos.tsv.gz,target,83,3,2,0.0058789374364929614,0,0.0,3,0,numeric
analcatdata_authorship.tsv.gz,target,841,70,4,0.0625476295842812,0,0.0,70,0,numeric
analcatdata_bankruptcy.tsv.gz,target,50,6,2,0.0,0,0.0,6,0,numeric
analcatdata_boxing1.tsv.gz,target,120,3,2,0.04500000000000001,0,0.0,3,0,numeric
analcatdata_boxing2.tsv.gz,target,132,3,2,0.002869605142332414,0,0.0,3,0,numeric
analcatdata_creditscore.tsv.gz,target,100,6,2,0.10579999999999998,0,0.0,6,0,numeric
analcatdata_cyyoung8092.tsv.gz,target,97,10,2,0.12759060474014242,0,0.0,10,0,numeric
analcatdata_cyyoung9302.tsv.gz,target,92,10,2,0.17225897920604913,0,0.0,10,0,numeric
analcatdata_dmft.tsv.gz,target,797,4,6,0.0011190542535344018,0,0.0,4,0,numeric
analcatdata_fraud.tsv.gz,target,42,11,2,0.07256235827664398,0,0.0,11,0,numeric
analcatdata_germangss.tsv.gz,target,400,5,4,0.0,0,0.0,5,0,numeric
analcatdata_happiness.tsv.gz,target,60,3,3,0.0,0,0.0,3,0,numeric
analcatdata_japansolvent.tsv.gz,target,52,9,2,0.0007396449704142024,0,0.0,9,0,numeric
analcatdata_lawsuit.tsv.gz,target,264,4,2,0.36641988062442604,0,0.0,4,0,numeric
ann_thyroid.tsv.gz,target,7200,21,3,0.5269779320987654,0,0.0,21,0,numeric
appendicitis.tsv.gz,target,106,7,2,0.18227127091491635,0,0.0,7,0,numeric
backache.tsv.gz,target,180,32,2,0.2608024691358025,0,0.0,32,0,numeric
balance_scale.tsv.gz,target,625,4,3,0.09748650666666667,0,0.0,4,0,numeric
biomed.tsv.gz,target,209,8,2,0.03984569950321651,0,0.0,8,0,numeric
breast_cancer.tsv.gz,target,286,9,2,0.0822534109247396,0,0.0,9,0,numeric
bupa.tsv.gz,target,345,5,2,0.00020583910943079099,0,0.0,5,0,numeric
calendarDOW.tsv.gz,target,399,32,5,0.011223547590781462,0,0.0,32,0,numeric
car_evaluation.tsv.gz,target,1728,6,4,0.292716236925583,0,0.0,6,0,numeric
cars.tsv.gz,target,392,8,3,0.12799788282660005,0,0.0,8,0,numeric
chess.tsv.gz,target,3196,36,2,0.000987036361158583,0,0.0,36,0,numeric
churn.tsv.gz,target,5000,20,2,0.25718792000000007,0,0.0,20,0,numeric
clean1.tsv.gz,target,476,168,2,0.008482804886660544,0,0.0,168,0,numeric
clean2.tsv.gz,target,6598,168,2,0.239241575312717,0,0.0,168,0,numeric
cloud.tsv.gz,target,108,7,4,0.0037722908093278463,0,0.0,7,0,numeric
coil2000.tsv.gz,target,9822,85,2,0.38779513789766545,0,0.0,85,0,numeric
collins.tsv.gz,target,485,23,13,0.020290229485680652,0,0.0,23,0,numeric
confidence.tsv.gz,target,72,3,6,0.0,0,0.0,3,0,numeric
connect_4.tsv.gz,target,67557,42,3,0.16977503462485033,0,0.0,42,0,numeric
corral.tsv.gz,target,160,6,2,0.0078125,0,0.0,6,0,numeric
dermatology.tsv.gz,target,366,34,6,0.0345486577682224,0,0.0,34,0,numeric
dis.tsv.gz,target,3772,29,2,0.4697199547033508,0,0.0,29,0,numeric
dna.tsv.gz,target,3186,180,3,0.05178986534386749,0,0.0,180,0,numeric
ecoli.tsv.gz,target,327,7,5,0.08717186170262511,0,0.0,7,0,numeric
fars.tsv.gz,target,100968,29,8,0.1369318897673955,0,0.0,29,0,numeric
flags.tsv.gz,target,178,43,5,0.03513445272061608,0,0.0,43,0,numeric
glass2.tsv.gz,target,163,9,2,0.002277089841544661,0,0.0,9,0,numeric
haberman.tsv.gz,target,306,3,2,0.11072664359861595,0,0.0,3,0,numeric
hayes_roth.tsv.gz,target,160,4,3,0.029244791666666665,0,0.0,4,0,numeric
hepatitis.tsv.gz,target,155,19,2,0.1723413111342352,0,0.0,19,0,numeric
hypothyroid.tsv.gz,target,3163,25,2,0.4090791417401389,0,0.0,25,0,numeric
ionosphere.tsv.gz,target,351,34,2,0.039776462853385944,0,0.0,34,0,numeric
iris.tsv.gz,target,150,4,3,0.0,0,0.0,4,0,numeric
irish.tsv.gz,target,500,5,2,0.006272000000000005,0,0.0,5,0,numeric
kddcup.tsv.gz,target,494020,41,23,0.36548580013196325,0,0.0,41,0,numeric
kr_vs_kp.tsv.gz,target,3196,36,2,0.000987036361158583,0,0.0,36,0,numeric
krkopt.tsv.gz,target,28056,6,18,0.04879828005401067,0,0.0,6,0,numeric
labor.tsv.gz,target,57,16,2,0.04447522314558327,0,0.0,16,0,numeric
led24.tsv.gz,target,3200,24,10,0.00016972656250000006,0,0.0,24,0,numeric
led7.tsv.gz,target,3200,7,10,0.0003927734374999999,0,0.0,7,0,numeric
letter.tsv.gz,target,20000,16,26,3.3566538461538436e-05,0,0.0,16,0,numeric
lupus.tsv.gz,target,87,3,2,0.019091029198044663,0,0.0,3,0,numeric
lymphography.tsv.gz,target,148,18,4,0.22032505478451422,0,0.0,18,0,numeric
magic.tsv.gz,target,19020,10,2,0.044027394927692476,0,0.0,10,0,numeric
mfeat_factors.tsv.gz,target,2000,216,10,0.0,0,0.0,216,0,numeric
mfeat_fourier.tsv.gz,target,2000,76,10,0.0,0,0.0,76,0,numeric
mfeat_karhunen.tsv.gz,target,2000,64,10,0.0,0,0.0,64,0,numeric
mfeat_morphological.tsv.gz,target,2000,6,10,0.0,0,0.0,6,0,numeric
mfeat_pixel.tsv.gz,target,2000,240,10,0.0,0,0.0,240,0,numeric
mfeat_zernike.tsv.gz,target,2000,47,10,0.0,0,0.0,47,0,numeric
mnist.tsv.gz,target,70000,784,10,0.0002928730612244896,0,0.0,784,0,numeric
