Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5496296296296297,0.5366444579043004,0.738562091503268,80.00069140002597
8,0.01,8,ReLU,100,0.5496296296296297,0.5366444579043004,0.738562091503268,53.55016639997484
8,0.01,8,ReLU,300,0.5496296296296297,0.5366444579043004,0.738562091503268,8.830552400031593
8,0.01,8,ReLU,500,0.5496296296296297,0.5366444579043004,0.738562091503268,6.596380100003444
8,0.01,8,ReLU,1000,0.5496296296296297,0.5366444579043004,0.738562091503268,5.442115999991074
8,0.01,8,Tanh,50,0.5609876543209876,0.5580215599239061,0.7320261437908496,7.866495300026145
8,0.01,8,Tanh,100,0.5609876543209876,0.5580215599239061,0.7320261437908496,4.253007300023455
8,0.01,8,Tanh,300,0.5609876543209876,0.5580215599239061,0.7320261437908496,4.365398499998264
8,0.01,8,Tanh,500,0.5609876543209876,0.5580215599239061,0.7320261437908496,4.215785499953199
8,0.01,8,Tanh,1000,0.5609876543209876,0.5580215599239061,0.7320261437908496,4.16755730001023
8,0.01,8,Sigmoid,50,0.5180246913580246,0.46911866759195003,0.738562091503268,5.429885999998078
8,0.01,8,Sigmoid,100,0.5180246913580246,0.46911866759195003,0.738562091503268,5.457698799960781
8,0.01,8,Sigmoid,300,0.5180246913580246,0.46911866759195003,0.738562091503268,5.2308293000096455
8,0.01,8,Sigmoid,500,0.5180246913580246,0.46911866759195003,0.738562091503268,6.046888699987903
8,0.01,8,Sigmoid,1000,0.5180246913580246,0.46911866759195003,0.738562091503268,3.6780077000148594
8,0.01,8,GELU,50,0.5496296296296297,0.5366444579043004,0.738562091503268,2.4887584000243805
8,0.01,8,GELU,100,0.5496296296296297,0.5366444579043004,0.738562091503268,2.8561700000427663
8,0.01,8,GELU,300,0.5496296296296297,0.5366444579043004,0.738562091503268,4.606432700005826
8,0.01,8,GELU,500,0.5496296296296297,0.5366444579043004,0.738562091503268,4.461247700033709
8,0.01,8,GELU,1000,0.5496296296296297,0.5366444579043004,0.738562091503268,3.72580569999991
8,0.01,8,Softmax,50,0.5180246913580246,0.46911866759195003,0.738562091503268,1.5894965999759734
8,0.01,8,Softmax,100,0.5180246913580246,0.46911866759195003,0.738562091503268,4.655849399976432
8,0.01,8,Softmax,300,0.5180246913580246,0.46911866759195003,0.738562091503268,2.579530999995768
8,0.01,8,Softmax,500,0.5180246913580246,0.46911866759195003,0.738562091503268,2.913714499969501
8,0.01,8,Softmax,1000,0.5180246913580246,0.46911866759195003,0.738562091503268,2.300444399996195
8,0.01,16,ReLU,50,0.5641975308641975,0.557396449704142,0.7483660130718954,2.150121600017883
8,0.01,16,ReLU,100,0.5641975308641975,0.557396449704142,0.7483660130718954,3.4582105999579653
8,0.01,16,ReLU,300,0.5641975308641975,0.557396449704142,0.7483660130718954,3.4482353000203148
8,0.01,16,ReLU,500,0.5641975308641975,0.557396449704142,0.7483660130718954,2.953079800005071
8,0.01,16,ReLU,1000,0.5641975308641975,0.557396449704142,0.7483660130718954,3.5443071000045165
8,0.01,16,Tanh,50,0.5619753086419753,0.5550003728838839,0.7450980392156863,2.9101096999947913
8,0.01,16,Tanh,100,0.5619753086419753,0.5550003728838839,0.7450980392156863,2.6480407000053674
