Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.15526969998609
8,0.01,8,ReLU,100,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.58090249996167
8,0.01,8,ReLU,300,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.764581700088456
8,0.01,8,ReLU,500,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.18427229998633
8,0.01,8,ReLU,1000,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.06279689993244
8,0.01,8,Tanh,50,0.3304862552274265,0.3293853042207872,0.4439692044482464,62.97076749999542
8,0.01,8,Tanh,100,0.3289234540986694,0.330324728458603,0.4436484174508127,62.31792589998804
8,0.01,8,Tanh,300,0.3289234540986694,0.330324728458603,0.4436484174508127,63.2298209000146
8,0.01,8,Tanh,500,0.3289234540986694,0.330324728458603,0.4436484174508127,63.64336230000481
8,0.01,8,Tanh,1000,0.3289234540986694,0.330324728458603,0.4436484174508127,64.0730370999081
8,0.01,8,Sigmoid,50,0.3256512507728135,0.3238292617345563,0.4545908183632735,68.58599870000035
8,0.01,8,Sigmoid,100,0.3256512507728135,0.3238292617345563,0.4545908183632735,68.25382250000257
8,0.01,8,Sigmoid,300,0.3256512507728135,0.3238292617345563,0.4545908183632735,69.52902169991285
8,0.01,8,Sigmoid,500,0.3256512507728135,0.3238292617345563,0.4545908183632735,72.29286820010748
8,0.01,8,Sigmoid,1000,0.3256512507728135,0.3238292617345563,0.4545908183632735,72.62043949996587
8,0.01,8,GELU,50,0.3336077402137865,0.3325911766171001,0.4491730824066153,49.284067400032654
8,0.01,8,GELU,100,0.3336077402137865,0.3325911766171001,0.4491730824066153,48.66839010000695
8,0.01,8,GELU,300,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.00740170001518
8,0.01,8,GELU,500,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.02407389995642
8,0.01,8,GELU,1000,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.6917919999687
8,0.01,8,Softmax,50,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.82775980001316
8,0.01,8,Softmax,100,0.3336077402137865,0.3325911766171001,0.4491730824066153,47.20607200008817
8,0.01,8,Softmax,300,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.892730499967
8,0.01,8,Softmax,500,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.75916220003273
8,0.01,8,Softmax,1000,0.3336077402137865,0.3325911766171001,0.4491730824066153,46.80133040004876
8,0.01,16,ReLU,50,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.157659900025465
8,0.01,16,ReLU,100,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.99891700001899
8,0.01,16,ReLU,300,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.74456849996932
8,0.01,16,ReLU,500,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.31757350009866
8,0.01,16,ReLU,1000,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.13337170006707
8,0.01,16,Tanh,50,0.3391566904328064,0.3365463856443998,0.4496720844026233,34.665705299936235
8,0.01,16,Tanh,100,0.3391566904328064,0.3365463856443998,0.4496720844026233,34.74169609998353
8,0.01,16,Tanh,300,0.3391566904328064,0.3365463856443998,0.4496720844026233,34.2254800000228
8,0.01,16,Tanh,500,0.3391566904328064,0.3365463856443998,0.4496720844026233,34.251102400012314
8,0.01,16,Tanh,1000,0.3391566904328064,0.3365463856443998,0.4496720844026233,34.57575600000564
8,0.01,16,Sigmoid,50,0.3164068315636401,0.3113182657988988,0.4452167094382663,37.39108249999117
8,0.01,16,Sigmoid,100,0.3164068315636401,0.3113182657988988,0.4452167094382663,39.59086480003316
8,0.01,16,Sigmoid,300,0.3164068315636401,0.3113182657988988,0.4452167094382663,39.14099070010707
8,0.01,16,Sigmoid,500,0.3164068315636401,0.3113182657988988,0.4452167094382663,38.87004730000626
8,0.01,16,Sigmoid,1000,0.3164068315636401,0.3113182657988988,0.4452167094382663,38.25393880007323
8,0.01,16,GELU,50,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.5640798000386
8,0.01,16,GELU,100,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.0932354000397
8,0.01,16,GELU,300,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.48787579999771
8,0.01,16,GELU,500,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.08195869997144
8,0.01,16,GELU,1000,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.73357919999398
8,0.01,16,Softmax,50,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.32275359996129
8,0.01,16,Softmax,100,0.3434502852753983,0.3373449259093532,0.4538779583689763,33.306506900000386
8,0.01,16,Softmax,300,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.82686829997692
8,0.01,16,Softmax,500,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.762450699927285
8,0.01,16,Softmax,1000,0.3434502852753983,0.3373449259093532,0.4538779583689763,32.82396340009291
8,0.01,32,ReLU,50,0.3460049957559998,0.3418411387257052,0.4468206444254348,17.060273099923506
