model,dataset,reason,n_rows,n_features,n_classes,min_class_count
LogisticRegression,kddcup.tsv.gz,timeout,494020,41,23,2
LogisticRegression,mnist.tsv.gz,timeout,70000,784,10,6313
RandomForestClassifier,poker.tsv.gz,timeout,1025010,10,10,8
RandomForestClassifier,kddcup.tsv.gz,timeout,494020,41,23,2
RandomForestClassifier,mnist.tsv.gz,timeout,70000,784,10,6313
RandomForestClassifier,mfeat_factors.tsv.gz,timeout,2000,216,10,200
RandomForestClassifier,mfeat_fourier.tsv.gz,timeout,2000,76,10,200
XGBClassifier,sleep.tsv.gz,no_valid_result,105908,13,5,9052
XGBClassifier,shuttle.tsv.gz,no_valid_result,58000,9,7,10
XGBClassifier,letter.tsv.gz,no_valid_result,20000,16,26,734
XGBClassifier,nursery.tsv.gz,no_valid_result,12958,8,4,328
XGBClassifier,ann_thyroid.tsv.gz,no_valid_result,7200,21,3,166
XGBClassifier,satimage.tsv.gz,no_valid_result,6435,36,6,626
XGBClassifier,texture.tsv.gz,no_valid_result,5500,40,11,500
XGBClassifier,page_blocks.tsv.gz,no_valid_result,5473,10,5,28
XGBClassifier,wine_quality_white.tsv.gz,no_valid_result,4898,11,7,5
XGBClassifier,dna.tsv.gz,no_valid_result,3186,180,3,765
XGBClassifier,wine_quality_red.tsv.gz,no_valid_result,1599,11,6,10
XGBClassifier,vehicle.tsv.gz,no_valid_result,846,18,4,199
XGBClassifier,soybean.tsv.gz,no_valid_result,675,35,18,14
XGBClassifier,collins.tsv.gz,no_valid_result,485,23,13,17
XGBClassifier,calendarDOW.tsv.gz,no_valid_result,399,32,5,44
XGBClassifier,dermatology.tsv.gz,no_valid_result,366,34,6,20
XGBClassifier,movement_libras.tsv.gz,no_valid_result,360,90,15,24
XGBClassifier,ecoli.tsv.gz,no_valid_result,327,7,5,20
XGBClassifier,haberman.tsv.gz,no_valid_result,306,3,2,81
XGBClassifier,new_thyroid.tsv.gz,no_valid_result,215,5,3,30
XGBClassifier,flags.tsv.gz,no_valid_result,178,43,5,15
XGBClassifier,wine_recognition.tsv.gz,no_valid_result,178,13,3,48
XGBClassifier,hayes_roth.tsv.gz,no_valid_result,160,4,3,31
XGBClassifier,hepatitis.tsv.gz,no_valid_result,155,19,2,32
XGBClassifier,tae.tsv.gz,no_valid_result,151,5,3,49
XGBClassifier,lymphography.tsv.gz,no_valid_result,148,18,4,2
XGBClassifier,postoperative_patient_data.tsv.gz,no_valid_result,88,8,2,24
XGBClassifier,poker.tsv.gz,timeout,1025010,10,10,8
XGBClassifier,kddcup.tsv.gz,timeout,494020,41,23,2
XGBClassifier,fars.tsv.gz,timeout,100968,29,8,9
XGBClassifier,mnist.tsv.gz,timeout,70000,784,10,6313
