dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz,target,1600,1000,2,0.0,0,0,1000,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0,20,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0,20,0,numeric
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz,target,1600,20,2,0.0,0,0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz,target,1600,20,2,0.0,0,0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz,target,1600,20,2,0.0,0,0,20,0,numeric
Hill_Valley_with_noise.tsv.gz,target,1212,100,2,0.0,0,0,100,0,numeric
Hill_Valley_without_noise.tsv.gz,target,1212,100,2,4.9e-05,0,0,100,0,numeric
allbp.tsv.gz,target,3772,29,3,0.583681895,0,0,29,0,numeric
allhyper.tsv.gz,target,3771,29,4,0.697606688,0,0,29,0,numeric
allhypo.tsv.gz,target,3770,29,3,0.522510442,0,0,29,0,numeric
allrep.tsv.gz,target,3772,29,4,0.68570586,0,0,29,0,numeric
analcatdata_aids.tsv.gz,target,50,4,2,0.0,0,0,4,0,numeric
analcatdata_boxing1.tsv.gz,target,120,3,2,0.045,0,0,3,0,numeric
analcatdata_boxing2.tsv.gz,target,132,3,2,0.002869605,0,0,3,0,numeric
analcatdata_dmft.tsv.gz,target,797,4,6,0.001119054,0,0,4,0,numeric
analcatdata_fraud.tsv.gz,target,42,11,2,0.072562358,0,0,11,0,numeric
analcatdata_germangss.tsv.gz,target,400,5,4,0.0,0,0,5,0,numeric
analcatdata_happiness.tsv.gz,target,60,3,3,0.0,0,0,3,0,numeric
backache.tsv.gz,target,180,32,2,0.260802469,0,0,32,0,numeric
breast_cancer.tsv.gz,target,286,9,2,0.082253411,0,0,9,0,numeric
bupa.tsv.gz,target,345,5,2,0.000205839,0,0,5,0,numeric
cloud.tsv.gz,target,108,7,4,0.003772291,0,0,7,0,numeric
coil2000.tsv.gz,target,9822,85,2,0.387795138,0,0,85,0,numeric
connect_4.tsv.gz,target,67557,42,3,0.169775035,0,0,42,0,numeric
dis.tsv.gz,target,3772,29,2,0.469719955,0,0,29,0,numeric
haberman.tsv.gz,target,306,3,2,0.110726644,0,0,3,0,numeric
krkopt.tsv.gz,target,28056,6,18,0.04879828,0,0,6,0,numeric
monk1.tsv.gz,target,556,6,2,0.0,0,0,6,0,numeric
monk2.tsv.gz,target,601,6,2,0.049447538,0,0,6,0,numeric
mux6.tsv.gz,target,128,6,2,0.0,0,0,6,0,numeric
parity5+5.tsv.gz,target,1124,10,2,3.96e-05,0,0,10,0,numeric
parity5.tsv.gz,target,32,5,2,0.0,0,0,5,0,numeric
poker.tsv.gz,target,1025010,10,10,0.332436225,0,0,10,0,numeric
postoperative_patient_data.tsv.gz,target,88,8,2,0.103305785,0,0,8,0,numeric
profb.tsv.gz,target,672,9,2,0.055555556,0,0,9,0,numeric
saheart.tsv.gz,target,462,9,2,0.047234872,0,0,9,0,numeric
schizo.tsv.gz,target,340,14,3,0.098569781,0,0,14,0,numeric
sonar.tsv.gz,target,208,60,2,0.002265163,0,0,60,0,numeric
spect.tsv.gz,target,267,22,2,0.172880809,0,0,22,0,numeric
spectf.tsv.gz,target,349,44,2,0.103779936,0,0,44,0,numeric
tic_tac_toe.tsv.gz,target,958,9,2,0.047090537,0,0,9,0,numeric
wine_quality_red.tsv.gz,target,1599,11,6,0.190670099,0,0,11,0,numeric
wine_quality_white.tsv.gz,target,4898,11,7,0.181692289,0,0,11,0,numeric
