Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.52375,0.5230793303082459,0.52375,8.01510570012033
8,0.01,8,ReLU,100,0.52375,0.5230793303082459,0.52375,7.280843599932268
8,0.01,8,ReLU,300,0.52375,0.5230793303082459,0.52375,3.145628600148484
8,0.01,8,ReLU,500,0.52375,0.5230793303082459,0.52375,5.811544600175694
8,0.01,8,ReLU,1000,0.52375,0.5230793303082459,0.52375,3.3998346000444144
8,0.01,8,Tanh,50,0.510625,0.5079028956662224,0.510625,4.84167190012522
8,0.01,8,Tanh,100,0.510625,0.5079028956662224,0.510625,3.0902293999679387
8,0.01,8,Tanh,300,0.510625,0.5079028956662224,0.510625,2.220654300181195
8,0.01,8,Tanh,500,0.510625,0.5079028956662224,0.510625,4.784065500134602
8,0.01,8,Tanh,1000,0.510625,0.5079028956662224,0.510625,2.9866100000217557
8,0.01,8,Sigmoid,50,0.505625,0.5052336320722446,0.505625,3.6332679998595268
8,0.01,8,Sigmoid,100,0.505625,0.5052336320722446,0.505625,4.333896599942818
8,0.01,8,Sigmoid,300,0.505625,0.5052336320722446,0.505625,5.414206199813634
8,0.01,8,Sigmoid,500,0.505625,0.5052336320722446,0.505625,4.182206799974665
8,0.01,8,Sigmoid,1000,0.505625,0.5052336320722446,0.505625,4.020375699969009
8,0.01,8,GELU,50,0.52375,0.5230793303082459,0.52375,4.774783300003037
8,0.01,8,GELU,100,0.52375,0.5230793303082459,0.52375,3.6572000000160187
8,0.01,8,GELU,300,0.52375,0.5230793303082459,0.52375,3.727142299991101
8,0.01,8,GELU,500,0.52375,0.5230793303082459,0.52375,4.70510849985294
8,0.01,8,GELU,1000,0.52375,0.5230793303082459,0.52375,3.3210229000542313
8,0.01,8,Softmax,50,0.505625,0.5052336320722446,0.505625,5.543454699916765
8,0.01,8,Softmax,100,0.505625,0.5052336320722446,0.505625,4.46688950015232
8,0.01,8,Softmax,300,0.505625,0.5052336320722446,0.505625,5.046560199931264
8,0.01,8,Softmax,500,0.505625,0.5052336320722446,0.505625,3.9490571001078933
8,0.01,8,Softmax,1000,0.505625,0.5052336320722446,0.505625,4.457373000215739
8,0.01,16,ReLU,50,0.5025,0.47309107217030544,0.5025,3.028619699878618
8,0.01,16,ReLU,100,0.5025,0.47309107217030544,0.5025,1.751048899954185
8,0.01,16,ReLU,300,0.5025,0.47309107217030544,0.5025,2.2528782999143004
8,0.01,16,ReLU,500,0.5025,0.47309107217030544,0.5025,3.121714600129053
8,0.01,16,ReLU,1000,0.5025,0.47309107217030544,0.5025,1.8765558002050966
8,0.01,16,Tanh,50,0.500625,0.5002968746274409,0.500625,2.9115100000053644
8,0.01,16,Tanh,100,0.500625,0.5002968746274409,0.500625,2.2673957999795675
8,0.01,16,Tanh,300,0.500625,0.5002968746274409,0.500625,1.5736819999292493
8,0.01,16,Tanh,500,0.500625,0.5002968746274409,0.500625,2.3591322998981923
8,0.01,16,Tanh,1000,0.500625,0.5002968746274409,0.500625,2.436999599914998
8,0.01,16,Sigmoid,50,0.50125,0.48814655172413796,0.50125,2.1152984998188913
8,0.01,16,Sigmoid,100,0.50125,0.48814655172413796,0.50125,3.6845009999815375
8,0.01,16,Sigmoid,300,0.50125,0.48814655172413796,0.50125,2.0080176000483334
8,0.01,16,Sigmoid,500,0.50125,0.48814655172413796,0.50125,2.4824609998613596
8,0.01,16,Sigmoid,1000,0.50125,0.48814655172413796,0.50125,2.5750674000009894
8,0.01,16,GELU,50,0.5025,0.47309107217030544,0.5025,2.5556259998120368
8,0.01,16,GELU,100,0.5025,0.47309107217030544,0.5025,2.954711199970916
8,0.01,16,GELU,300,0.5025,0.47309107217030544,0.5025,2.916915100067854
8,0.01,16,GELU,500,0.5025,0.47309107217030544,0.5025,2.910068399971351
8,0.01,16,GELU,1000,0.5025,0.47309107217030544,0.5025,1.9481035999488086
8,0.01,16,Softmax,50,0.50125,0.48814655172413796,0.50125,2.6624290000181645
8,0.01,16,Softmax,100,0.50125,0.48814655172413796,0.50125,2.059314199956134
