Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5089869281045751,0.5089793041932925,0.509075907590759,1.4732539998367429
8,0.01,8,ReLU,100,0.5089869281045751,0.5089793041932925,0.509075907590759,2.0171334999613464
8,0.01,8,ReLU,300,0.5089869281045751,0.5089793041932925,0.509075907590759,1.3878601000178605
8,0.01,8,ReLU,500,0.5089869281045751,0.5089793041932925,0.509075907590759,1.4556352999061346
8,0.01,8,ReLU,1000,0.5089869281045751,0.5089793041932925,0.509075907590759,1.4257068000733852
8,0.01,8,Tanh,50,0.5109967320261438,0.5104831376876002,0.5107260726072608,2.135477500036359
8,0.01,8,Tanh,100,0.5109967320261438,0.5104831376876002,0.5107260726072608,2.146625899942592
8,0.01,8,Tanh,300,0.5109967320261438,0.5104831376876002,0.5107260726072608,2.3575474999379367
8,0.01,8,Tanh,500,0.5109967320261438,0.5104831376876002,0.5107260726072608,2.58783909981139
8,0.01,8,Tanh,1000,0.5109967320261438,0.5104831376876002,0.5107260726072608,2.0250893000047654
8,0.01,8,Sigmoid,50,0.5036928104575163,0.5027031448084079,0.5033003300330033,1.7997324001044035
8,0.01,8,Sigmoid,100,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.638277599820867
8,0.01,8,Sigmoid,300,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.100222999928519
8,0.01,8,Sigmoid,500,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.234258399810642
8,0.01,8,Sigmoid,1000,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.1072806001175195
8,0.01,8,GELU,50,0.5089869281045751,0.5089793041932925,0.509075907590759,1.6571949999779463
8,0.01,8,GELU,100,0.5089869281045751,0.5089793041932925,0.509075907590759,1.7531725000590086
8,0.01,8,GELU,300,0.5089869281045751,0.5089793041932925,0.509075907590759,1.7518529000226408
8,0.01,8,GELU,500,0.5089869281045751,0.5089793041932925,0.509075907590759,1.7354258999694139
8,0.01,8,GELU,1000,0.5089869281045751,0.5089793041932925,0.509075907590759,1.7481199000030756
8,0.01,8,Softmax,50,0.5036928104575163,0.5027031448084079,0.5033003300330033,1.967042300151661
8,0.01,8,Softmax,100,0.5036928104575163,0.5027031448084079,0.5033003300330033,1.9604238998144865
8,0.01,8,Softmax,300,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.3995236000046134
8,0.01,8,Softmax,500,0.5036928104575163,0.5027031448084079,0.5033003300330033,1.9683720001485199
8,0.01,8,Softmax,1000,0.5036928104575163,0.5027031448084079,0.5033003300330033,2.0127451000735164
8,0.01,16,ReLU,50,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.0435126000083983
8,0.01,16,ReLU,100,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.1088954000733793
8,0.01,16,ReLU,300,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.5004396000877023
8,0.01,16,ReLU,500,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.0868825998622924
8,0.01,16,ReLU,1000,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.0941405000630766
8,0.01,16,Tanh,50,0.5259803921568628,0.5249796366288482,0.5255775577557755,0.888523600064218
8,0.01,16,Tanh,100,0.5259803921568628,0.5249796366288482,0.5255775577557755,1.2062975999433547
8,0.01,16,Tanh,300,0.5259803921568628,0.5249796366288482,0.5255775577557755,0.9356974000111222
8,0.01,16,Tanh,500,0.5259803921568628,0.5249796366288482,0.5255775577557755,0.9677007999271154
8,0.01,16,Tanh,1000,0.5259803921568628,0.5249796366288482,0.5255775577557755,1.107767399866134
8,0.01,16,Sigmoid,50,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.0470542998518795
8,0.01,16,Sigmoid,100,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.1076341001316905
8,0.01,16,Sigmoid,300,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.183932799845934
8,0.01,16,Sigmoid,500,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.0735981999896467
8,0.01,16,Sigmoid,1000,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.0617867999244481
8,0.01,16,GELU,50,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.1041520999278873
8,0.01,16,GELU,100,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.2000361001119018
8,0.01,16,GELU,300,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.1554134001489729
8,0.01,16,GELU,500,0.5273692810457516,0.5104578262472999,0.5255775577557755,0.9852954999078065
8,0.01,16,GELU,1000,0.5273692810457516,0.5104578262472999,0.5255775577557755,1.4149878001771867
8,0.01,16,Softmax,50,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.4413252000231296
8,0.01,16,Softmax,100,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.0840690999757499
8,0.01,16,Softmax,300,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.0366693998221308
8,0.01,16,Softmax,500,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.4777096000034362
8,0.01,16,Softmax,1000,0.5055555555555555,0.5054089130057124,0.5057755775577558,1.3327746998984367
8,0.01,32,ReLU,50,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.888578100129962
8,0.01,32,ReLU,100,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.7617393999826163
8,0.01,32,ReLU,300,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.9141538999974728
8,0.01,32,ReLU,500,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.8760227998718619
8,0.01,32,ReLU,1000,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.9459435997996479
8,0.01,32,Tanh,50,0.5289379084967321,0.5264794262151254,0.5297029702970297,0.762596599990502
8,0.01,32,Tanh,100,0.5289379084967321,0.5264794262151254,0.5297029702970297,0.6103336000815034
8,0.01,32,Tanh,300,0.5289379084967321,0.5264794262151254,0.5297029702970297,0.5247581000439823
8,0.01,32,Tanh,500,0.5289379084967321,0.5264794262151254,0.5297029702970297,0.5086540000047535
8,0.01,32,Tanh,1000,0.5289379084967321,0.5264794262151254,0.5297029702970297,0.8528364000376314
8,0.01,32,Sigmoid,50,0.509297385620915,0.5077563478432102,0.5099009900990099,0.8025549999438226
8,0.01,32,Sigmoid,100,0.509297385620915,0.5077563478432102,0.5099009900990099,0.7479848000220954
8,0.01,32,Sigmoid,300,0.509297385620915,0.5077563478432102,0.5099009900990099,0.7395685999654233
8,0.01,32,Sigmoid,500,0.509297385620915,0.5077563478432102,0.5099009900990099,0.6289925000164658
8,0.01,32,Sigmoid,1000,0.509297385620915,0.5077563478432102,0.5099009900990099,0.5235122998710722
8,0.01,32,GELU,50,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.7296846001408994
8,0.01,32,GELU,100,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.8673100001178682
8,0.01,32,GELU,300,0.5162418300653595,0.5058028581572874,0.5148514851485149,1.2228998001664877
8,0.01,32,GELU,500,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.8657018998637795
8,0.01,32,GELU,1000,0.5162418300653595,0.5058028581572874,0.5148514851485149,0.8430897002108395
8,0.01,32,Softmax,50,0.509297385620915,0.5077563478432102,0.5099009900990099,0.534404199803248
8,0.01,32,Softmax,100,0.509297385620915,0.5077563478432102,0.5099009900990099,0.5205789001192898
8,0.01,32,Softmax,300,0.509297385620915,0.5077563478432102,0.5099009900990099,0.5689111999236047
8,0.01,32,Softmax,500,0.509297385620915,0.5077563478432102,0.5099009900990099,0.8566648999694735
8,0.01,32,Softmax,1000,0.509297385620915,0.5077563478432102,0.5099009900990099,0.7369801998138428
8,0.01,64,ReLU,50,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.5349499001167715
8,0.01,64,ReLU,100,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.41042049997486174
8,0.01,64,ReLU,300,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.4302972999867052
8,0.01,64,ReLU,500,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.3676026000175625
8,0.01,64,ReLU,1000,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.3353347999509424
8,0.01,64,Tanh,50,0.519313725490196,0.5120073246334925,0.5181518151815182,0.40563639998435974
8,0.01,64,Tanh,100,0.519313725490196,0.5120073246334925,0.5181518151815182,0.3403628000523895
8,0.01,64,Tanh,300,0.519313725490196,0.5120073246334925,0.5181518151815182,0.3446931999642402
8,0.01,64,Tanh,500,0.519313725490196,0.5120073246334925,0.5181518151815182,0.4070421999786049
8,0.01,64,Tanh,1000,0.519313725490196,0.5120073246334925,0.5181518151815182,0.6786857999395579
8,0.01,64,Sigmoid,50,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.6138068998698145
8,0.01,64,Sigmoid,100,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.7536798000801355
8,0.01,64,Sigmoid,300,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.6220736999530345
8,0.01,64,Sigmoid,500,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.545983900083229
8,0.01,64,Sigmoid,1000,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.45261280005797744
8,0.01,64,GELU,50,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.33394599985331297
8,0.01,64,GELU,100,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.29268290009349585
8,0.01,64,GELU,300,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.3225398000795394
8,0.01,64,GELU,500,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.3029437998775393
8,0.01,64,GELU,1000,0.5110947712418301,0.5102189348265633,0.5107260726072608,0.2971014999784529
8,0.01,64,Softmax,50,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.4710033000446856
8,0.01,64,Softmax,100,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.6641033000778407
8,0.01,64,Softmax,300,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.6030284001026303
8,0.01,64,Softmax,500,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.630149400094524
8,0.01,64,Softmax,1000,0.5018137254901961,0.49989838337182446,0.5024752475247525,0.6307247998192906
8,0.01,128,ReLU,50,0.5194117647058824,0.5182524450565371,0.518976897689769,0.2528761001303792
8,0.01,128,ReLU,100,0.5194117647058824,0.5182524450565371,0.518976897689769,0.25149559997953475
8,0.01,128,ReLU,300,0.5194117647058824,0.5182524450565371,0.518976897689769,0.2426893999800086
8,0.01,128,ReLU,500,0.5194117647058824,0.5182524450565371,0.518976897689769,0.23263039998710155
8,0.01,128,ReLU,1000,0.5194117647058824,0.5182524450565371,0.518976897689769,0.24057110003195703
8,0.01,128,Tanh,50,0.5219444444444444,0.512656418802715,0.5206270627062707,0.23176479991525412
8,0.01,128,Tanh,100,0.5219444444444444,0.512656418802715,0.5206270627062707,0.20736969984136522
8,0.01,128,Tanh,300,0.5219444444444444,0.512656418802715,0.5206270627062707,0.20652360003441572
8,0.01,128,Tanh,500,0.5219444444444444,0.512656418802715,0.5206270627062707,0.2309719999320805
8,0.01,128,Tanh,1000,0.5219444444444444,0.512656418802715,0.5206270627062707,0.3098012001719326
8,0.01,128,Sigmoid,50,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.3858616999350488
8,0.01,128,Sigmoid,100,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.23503899993374944
8,0.01,128,Sigmoid,300,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.2559037001337856
8,0.01,128,Sigmoid,500,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.25535580003634095
8,0.01,128,Sigmoid,1000,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.32866150001063943
8,0.01,128,GELU,50,0.5194117647058824,0.5182524450565371,0.518976897689769,0.434891700046137
8,0.01,128,GELU,100,0.5194117647058824,0.5182524450565371,0.518976897689769,0.36014409991912544
8,0.01,128,GELU,300,0.5194117647058824,0.5182524450565371,0.518976897689769,0.359518300043419
8,0.01,128,GELU,500,0.5194117647058824,0.5182524450565371,0.518976897689769,0.3301453001331538
8,0.01,128,GELU,1000,0.5194117647058824,0.5182524450565371,0.518976897689769,0.3531964998692274
8,0.01,128,Softmax,50,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.25345150008797646
8,0.01,128,Softmax,100,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.2211598998401314
8,0.01,128,Softmax,300,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.24376330012455583
8,0.01,128,Softmax,500,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.19584230007603765
8,0.01,128,Softmax,1000,0.5012418300653595,0.5001359993292063,0.5008250825082509,0.20291880005970597
8,0.001,8,ReLU,50,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.6287675998173654
8,0.001,8,ReLU,100,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.797287200111896
8,0.001,8,ReLU,300,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.596798200160265
8,0.001,8,ReLU,500,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.740528600057587
8,0.001,8,ReLU,1000,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.4405358999501914
8,0.001,8,Tanh,50,0.5216503267973855,0.521346570249622,0.5214521452145214,2.291750900214538
8,0.001,8,Tanh,100,0.5216503267973855,0.521346570249622,0.5214521452145214,1.940249599982053
8,0.001,8,Tanh,300,0.5216503267973855,0.521346570249622,0.5214521452145214,1.9312208001501858
8,0.001,8,Tanh,500,0.5216503267973855,0.521346570249622,0.5214521452145214,2.2350467999931425
8,0.001,8,Tanh,1000,0.5216503267973855,0.521346570249622,0.5214521452145214,1.8877007998526096
8,0.001,8,Sigmoid,50,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.3348455999512225
8,0.001,8,Sigmoid,100,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.9860616000369191
8,0.001,8,Sigmoid,300,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.8664808000903577
8,0.001,8,Sigmoid,500,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.2197562998626381
8,0.001,8,Sigmoid,1000,0.48215686274509806,0.47469741706316254,0.48102310231023104,2.5961998999118805
8,0.001,8,GELU,50,0.5128104575163399,0.5116418439595428,0.5123762376237624,3.0698721997905523
8,0.001,8,GELU,100,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.7020800998434424
8,0.001,8,GELU,300,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.6026284999679774
8,0.001,8,GELU,500,0.5128104575163399,0.5116418439595428,0.5123762376237624,3.1853028999175876
8,0.001,8,GELU,1000,0.5128104575163399,0.5116418439595428,0.5123762376237624,2.7284707999788225
8,0.001,8,Softmax,50,0.48215686274509806,0.47469741706316254,0.48102310231023104,2.242630199994892
8,0.001,8,Softmax,100,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.3263044999912381
8,0.001,8,Softmax,300,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.3463785001076758
8,0.001,8,Softmax,500,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.9514242000877857
8,0.001,8,Softmax,1000,0.48215686274509806,0.47469741706316254,0.48102310231023104,1.5940115998964757
8,0.001,16,ReLU,50,0.5202941176470588,0.4956505877121977,0.5181518151815182,1.1482241998892277
8,0.001,16,ReLU,100,0.5202941176470588,0.4956505877121977,0.5181518151815182,1.6686739001888782
8,0.001,16,ReLU,300,0.5202941176470588,0.4956505877121977,0.5181518151815182,1.6345419001299888
8,0.001,16,ReLU,500,0.5202941176470588,0.4956505877121977,0.5181518151815182,1.3461341001093388
8,0.001,16,ReLU,1000,0.5202941176470588,0.4956505877121977,0.5181518151815182,1.6963047001045197
8,0.001,16,Tanh,50,0.5109477124183006,0.5105791407984865,0.5107260726072608,1.372757599921897
