Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6243838310902196,0.6871144679065794,0.9716330858960763,9.704769300064072
8,0.01,8,ReLU,100,0.6243838310902196,0.6871144679065794,0.9716330858960763,12.320080799981952
8,0.01,8,ReLU,300,0.6243838310902196,0.6871144679065794,0.9716330858960763,10.286498500034213
8,0.01,8,ReLU,500,0.6243838310902196,0.6871144679065794,0.9716330858960763,5.84721660008654
8,0.01,8,ReLU,1000,0.6243838310902196,0.6871144679065794,0.9716330858960763,12.687543099978939
8,0.01,8,Tanh,50,0.5710898085916915,0.6170048595807626,0.9671261930010604,15.573571000015363
8,0.01,8,Tanh,100,0.5710898085916915,0.6170048595807626,0.9671261930010604,15.058388900011778
8,0.01,8,Tanh,300,0.5710898085916915,0.6170048595807626,0.9671261930010604,6.608122500125319
8,0.01,8,Tanh,500,0.5710898085916915,0.6170048595807626,0.9671261930010604,7.8893291999120265
8,0.01,8,Tanh,1000,0.5710898085916915,0.6170048595807626,0.9671261930010604,11.593523000134155
8,0.01,8,Sigmoid,50,0.5401789726883034,0.6032581792773755,0.971102863202545,12.614756100112572
8,0.01,8,Sigmoid,100,0.5401789726883034,0.6032581792773755,0.971102863202545,14.341587899951264
8,0.01,8,Sigmoid,300,0.5401789726883034,0.6032581792773755,0.971102863202545,14.52764069987461
8,0.01,8,Sigmoid,500,0.5401789726883034,0.6032581792773755,0.971102863202545,14.552029999904335
8,0.01,8,Sigmoid,1000,0.5401789726883034,0.6032581792773755,0.971102863202545,11.626291600055993
8,0.01,8,GELU,50,0.6243838310902196,0.6871144679065794,0.9716330858960763,7.551655300194398
8,0.01,8,GELU,100,0.6243838310902196,0.6871144679065794,0.9716330858960763,6.568048000102863
8,0.01,8,GELU,300,0.6243838310902196,0.6871144679065794,0.9716330858960763,6.322984300088137
8,0.01,8,GELU,500,0.6243838310902196,0.6871144679065794,0.9716330858960763,6.03150220005773
8,0.01,8,GELU,1000,0.6243838310902196,0.6871144679065794,0.9716330858960763,5.984368400182575
8,0.01,8,Softmax,50,0.5401789726883034,0.6032581792773755,0.971102863202545,5.414461000123993
8,0.01,8,Softmax,100,0.5401789726883034,0.6032581792773755,0.971102863202545,8.033881899900734
8,0.01,8,Softmax,300,0.5401789726883034,0.6032581792773755,0.971102863202545,13.295046600047499
8,0.01,8,Softmax,500,0.5401789726883034,0.6032581792773755,0.971102863202545,14.248453400097787
8,0.01,8,Softmax,1000,0.5401789726883034,0.6032581792773755,0.971102863202545,13.08654319983907
8,0.01,16,ReLU,50,0.604586771769486,0.6485018600236607,0.9705726405090138,8.146803800016642
8,0.01,16,ReLU,100,0.604586771769486,0.6485018600236607,0.9705726405090138,8.627880699932575
8,0.01,16,ReLU,300,0.604586771769486,0.6485018600236607,0.9705726405090138,6.65671779983677
8,0.01,16,ReLU,500,0.604586771769486,0.6485018600236607,0.9705726405090138,7.553882299922407
8,0.01,16,ReLU,1000,0.604586771769486,0.6485018600236607,0.9705726405090138,6.771234899992123
8,0.01,16,Tanh,50,0.5463362119540466,0.5981224181574051,0.9703075291622482,5.81992489984259
8,0.01,16,Tanh,100,0.5463362119540466,0.5981224181574051,0.9703075291622482,4.421426800079644
8,0.01,16,Tanh,300,0.5463362119540466,0.5981224181574051,0.9703075291622482,4.405592800118029
8,0.01,16,Tanh,500,0.5463362119540466,0.5981224181574051,0.9703075291622482,3.9301911999937147
8,0.01,16,Tanh,1000,0.5463362119540466,0.5981224181574051,0.9703075291622482,3.4787447000853717
8,0.01,16,Sigmoid,50,0.4637542360851537,0.503407239007855,0.9679215270413574,2.6943690998014063
8,0.01,16,Sigmoid,100,0.4637542360851537,0.503407239007855,0.9679215270413574,2.4075399001594633
8,0.01,16,Sigmoid,300,0.4637542360851537,0.503407239007855,0.9679215270413574,2.473730199970305
8,0.01,16,Sigmoid,500,0.4637542360851537,0.503407239007855,0.9679215270413574,2.34976390004158
8,0.01,16,Sigmoid,1000,0.4637542360851537,0.503407239007855,0.9679215270413574,2.507762499852106
8,0.01,16,GELU,50,0.604586771769486,0.6485018600236607,0.9705726405090138,3.5047130999155343
8,0.01,16,GELU,100,0.604586771769486,0.6485018600236607,0.9705726405090138,3.064625799888745
8,0.01,16,GELU,300,0.604586771769486,0.6485018600236607,0.9705726405090138,4.122069200035185
8,0.01,16,GELU,500,0.604586771769486,0.6485018600236607,0.9705726405090138,7.518390099983662
8,0.01,16,GELU,1000,0.604586771769486,0.6485018600236607,0.9705726405090138,5.136777600040659
8,0.01,16,Softmax,50,0.4637542360851537,0.503407239007855,0.9679215270413574,6.114494000095874
8,0.01,16,Softmax,100,0.4637542360851537,0.503407239007855,0.9679215270413574,6.663936899974942
8,0.01,16,Softmax,300,0.4637542360851537,0.503407239007855,0.9679215270413574,6.518238899996504
8,0.01,16,Softmax,500,0.4637542360851537,0.503407239007855,0.9679215270413574,6.975876700133085
8,0.01,16,Softmax,1000,0.4637542360851537,0.503407239007855,0.9679215270413574,7.171942300163209
8,0.01,32,ReLU,50,0.5277925884128498,0.5902350529562496,0.9663308589607635,3.089723699958995
8,0.01,32,ReLU,100,0.5277925884128498,0.5902350529562496,0.9663308589607635,3.2894977999385446
8,0.01,32,ReLU,300,0.5277925884128498,0.5902350529562496,0.9663308589607635,2.8817646000534296
8,0.01,32,ReLU,500,0.5277925884128498,0.5902350529562496,0.9663308589607635,3.066976400092244
8,0.01,32,ReLU,1000,0.5277925884128498,0.5902350529562496,0.9663308589607635,3.0128194000571966
8,0.01,32,Tanh,50,0.5094733161060631,0.5605672643594412,0.9695121951219512,3.2271998000796884
8,0.01,32,Tanh,100,0.5094733161060631,0.5605672643594412,0.9695121951219512,2.6842424999922514
8,0.01,32,Tanh,300,0.5094733161060631,0.5605672643594412,0.9695121951219512,4.193924699909985
8,0.01,32,Tanh,500,0.5094733161060631,0.5605672643594412,0.9695121951219512,2.916531699942425
8,0.01,32,Tanh,1000,0.5094733161060631,0.5605672643594412,0.9695121951219512,4.332690499955788
8,0.01,32,Sigmoid,50,0.44631895280441697,0.4880625183703146,0.9671261930010604,4.93364749988541
8,0.01,32,Sigmoid,100,0.44631895280441697,0.4880625183703146,0.9671261930010604,3.8776883999817073
8,0.01,32,Sigmoid,300,0.44631895280441697,0.4880625183703146,0.9671261930010604,3.3357561000157148
8,0.01,32,Sigmoid,500,0.44631895280441697,0.4880625183703146,0.9671261930010604,3.789305000100285
