Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.42000000000000004,0.41414141414141414,0.42,0.15157749992795289
8,0.01,8,ReLU,100,0.42000000000000004,0.41414141414141414,0.42,0.13744439999572933
8,0.01,8,ReLU,300,0.42000000000000004,0.41414141414141414,0.42,0.13191900006495416
8,0.01,8,ReLU,500,0.42000000000000004,0.41414141414141414,0.42,0.10624799993820488
8,0.01,8,ReLU,1000,0.42000000000000004,0.41414141414141414,0.42,0.1277741000521928
8,0.01,8,Tanh,50,0.34,0.33761541549578483,0.34,0.10595800005830824
8,0.01,8,Tanh,100,0.34,0.33761541549578483,0.34,0.10810460010543466
8,0.01,8,Tanh,300,0.34,0.33761541549578483,0.34,0.09155069990083575
8,0.01,8,Tanh,500,0.34,0.33761541549578483,0.34,0.09911240008659661
8,0.01,8,Tanh,1000,0.34,0.33761541549578483,0.34,0.08031950006261468
8,0.01,8,Sigmoid,50,0.54,0.5353535353535354,0.54,0.096380400005728
8,0.01,8,Sigmoid,100,0.54,0.5353535353535354,0.54,0.08214249997399747
8,0.01,8,Sigmoid,300,0.54,0.5353535353535354,0.54,0.08396680001169443
8,0.01,8,Sigmoid,500,0.54,0.5353535353535354,0.54,0.07418230012990534
8,0.01,8,Sigmoid,1000,0.54,0.5353535353535354,0.54,0.09079559985548258
8,0.01,8,GELU,50,0.42000000000000004,0.41414141414141414,0.42,0.09744139993563294
8,0.01,8,GELU,100,0.42000000000000004,0.41414141414141414,0.42,0.0813643999863416
8,0.01,8,GELU,300,0.42000000000000004,0.41414141414141414,0.42,0.07991339988075197
8,0.01,8,GELU,500,0.42000000000000004,0.41414141414141414,0.42,0.0758468999993056
8,0.01,8,GELU,1000,0.42000000000000004,0.41414141414141414,0.42,0.13316789991222322
8,0.01,8,Softmax,50,0.54,0.5353535353535354,0.54,0.0986741001252085
8,0.01,8,Softmax,100,0.54,0.5353535353535354,0.54,0.10527179995551705
8,0.01,8,Softmax,300,0.54,0.5353535353535354,0.54,0.11094680009409785
8,0.01,8,Softmax,500,0.54,0.5353535353535354,0.54,0.11122479988262057
8,0.01,8,Softmax,1000,0.54,0.5353535353535354,0.54,0.1116949999704957
8,0.01,16,ReLU,50,0.44,0.4391025641025641,0.44,0.10877280007116497
8,0.01,16,ReLU,100,0.44,0.4391025641025641,0.44,0.11600399995222688
8,0.01,16,ReLU,300,0.44,0.4391025641025641,0.44,0.12608759989961982
8,0.01,16,ReLU,500,0.44,0.4391025641025641,0.44,0.1254356000572443
8,0.01,16,ReLU,1000,0.44,0.4391025641025641,0.44,0.08326500002294779
8,0.01,16,Tanh,50,0.38,0.37975190076030413,0.38,0.093758599832654
8,0.01,16,Tanh,100,0.38,0.37975190076030413,0.38,0.07306069997139275
8,0.01,16,Tanh,300,0.38,0.37975190076030413,0.38,0.07519509992562234
8,0.01,16,Tanh,500,0.38,0.37975190076030413,0.38,0.07175280014052987
8,0.01,16,Tanh,1000,0.38,0.37975190076030413,0.38,0.06469220016151667
8,0.01,16,Sigmoid,50,0.44,0.4391025641025641,0.44,0.07288879994302988
8,0.01,16,Sigmoid,100,0.44,0.4391025641025641,0.44,0.06767240003682673
8,0.01,16,Sigmoid,300,0.44,0.4391025641025641,0.44,0.06807620008476079
8,0.01,16,Sigmoid,500,0.44,0.4391025641025641,0.44,0.060018699849024415
8,0.01,16,Sigmoid,1000,0.44,0.4391025641025641,0.44,0.046398800099268556
8,0.01,16,GELU,50,0.44,0.4391025641025641,0.44,0.05783169995993376
8,0.01,16,GELU,100,0.44,0.4391025641025641,0.44,0.06090809986926615
8,0.01,16,GELU,300,0.44,0.4391025641025641,0.44,0.08873780001886189
8,0.01,16,GELU,500,0.44,0.4391025641025641,0.44,0.09344430011697114
8,0.01,16,GELU,1000,0.44,0.4391025641025641,0.44,0.10528660006821156
8,0.01,16,Softmax,50,0.44,0.4391025641025641,0.44,0.13610999984666705
8,0.01,16,Softmax,100,0.44,0.4391025641025641,0.44,0.12439809995703399
8,0.01,16,Softmax,300,0.44,0.4391025641025641,0.44,0.1254191999323666
8,0.01,16,Softmax,500,0.44,0.4391025641025641,0.44,0.09121560002677143
8,0.01,16,Softmax,1000,0.44,0.4391025641025641,0.44,0.11223320011049509
8,0.01,32,ReLU,50,0.42000000000000004,0.41976790716286516,0.42,0.09011739981360734
8,0.01,32,ReLU,100,0.42000000000000004,0.41976790716286516,0.42,0.10130200022831559
8,0.01,32,ReLU,300,0.42000000000000004,0.41976790716286516,0.42,0.08340599993243814
8,0.01,32,ReLU,500,0.42000000000000004,0.41976790716286516,0.42,0.09793839999474585
8,0.01,32,ReLU,1000,0.42000000000000004,0.41976790716286516,0.42,0.08082100003957748
8,0.01,32,Tanh,50,0.42,0.4179044560417503,0.42,0.07462369999848306
8,0.01,32,Tanh,100,0.42,0.4179044560417503,0.42,0.06198069988749921
8,0.01,32,Tanh,300,0.42,0.4179044560417503,0.42,0.05674579995684326
8,0.01,32,Tanh,500,0.42,0.4179044560417503,0.42,0.058648800011724234
8,0.01,32,Tanh,1000,0.42,0.4179044560417503,0.42,0.05961169977672398
8,0.01,32,Sigmoid,50,0.4,0.39123376623376627,0.4,0.06277029984630644
8,0.01,32,Sigmoid,100,0.4,0.39123376623376627,0.4,0.08365409984253347
8,0.01,32,Sigmoid,300,0.4,0.39123376623376627,0.4,0.11031849985010922
8,0.01,32,Sigmoid,500,0.4,0.39123376623376627,0.4,0.13428259990178049
8,0.01,32,Sigmoid,1000,0.4,0.39123376623376627,0.4,0.12206880003213882
8,0.01,32,GELU,50,0.42000000000000004,0.41976790716286516,0.42,0.09342580009251833
8,0.01,32,GELU,100,0.42000000000000004,0.41976790716286516,0.42,0.10182969993911684
8,0.01,32,GELU,300,0.42000000000000004,0.41976790716286516,0.42,0.10550139984115958
8,0.01,32,GELU,500,0.42000000000000004,0.41976790716286516,0.42,0.11163579998537898
8,0.01,32,GELU,1000,0.42000000000000004,0.41976790716286516,0.42,0.0861484999768436
8,0.01,32,Softmax,50,0.4,0.39123376623376627,0.4,0.09415550017729402
8,0.01,32,Softmax,100,0.4,0.39123376623376627,0.4,0.09049890004098415
8,0.01,32,Softmax,300,0.4,0.39123376623376627,0.4,0.08834780007600784
8,0.01,32,Softmax,500,0.4,0.39123376623376627,0.4,0.06885100016370416
8,0.01,32,Softmax,1000,0.4,0.39123376623376627,0.4,0.06886009988375008
8,0.01,64,ReLU,50,0.52,0.5073891625615763,0.52,0.06342989997938275
8,0.01,64,ReLU,100,0.52,0.5073891625615763,0.52,0.05764070013538003
8,0.01,64,ReLU,300,0.52,0.5073891625615763,0.52,0.04986150003969669
8,0.01,64,ReLU,500,0.52,0.5073891625615763,0.52,0.04768740013241768
8,0.01,64,ReLU,1000,0.52,0.5073891625615763,0.52,0.04772119992412627
8,0.01,64,Tanh,50,0.38,0.3484657419083649,0.38,0.036397399846464396
8,0.01,64,Tanh,100,0.38,0.3484657419083649,0.38,0.06790159991942346
8,0.01,64,Tanh,300,0.38,0.3484657419083649,0.38,0.07292880001477897
8,0.01,64,Tanh,500,0.38,0.3484657419083649,0.38,0.08128860010765493
8,0.01,64,Tanh,1000,0.38,0.3484657419083649,0.38,0.07191070006228983
8,0.01,64,Sigmoid,50,0.38,0.37975190076030413,0.38,0.08194339997135103
8,0.01,64,Sigmoid,100,0.38,0.37975190076030413,0.38,0.0759991998784244
8,0.01,64,Sigmoid,300,0.38,0.37975190076030413,0.38,0.08543179999105632
8,0.01,64,Sigmoid,500,0.38,0.37975190076030413,0.38,0.08220720011740923
8,0.01,64,Sigmoid,1000,0.38,0.37975190076030413,0.38,0.08306009997613728
8,0.01,64,GELU,50,0.52,0.5073891625615763,0.52,0.0665764999575913
8,0.01,64,GELU,100,0.52,0.5073891625615763,0.52,0.08599729998968542
8,0.01,64,GELU,300,0.52,0.5073891625615763,0.52,0.09243509988300502
8,0.01,64,GELU,500,0.52,0.5073891625615763,0.52,0.13408240000717342
8,0.01,64,GELU,1000,0.52,0.5073891625615763,0.52,0.10497580002993345
8,0.01,64,Softmax,50,0.38,0.37975190076030413,0.38,0.07821090007200837
8,0.01,64,Softmax,100,0.38,0.37975190076030413,0.38,0.07948990003205836
8,0.01,64,Softmax,300,0.38,0.37975190076030413,0.38,0.07603809982538223
8,0.01,64,Softmax,500,0.38,0.37975190076030413,0.38,0.06332800001837313
8,0.01,64,Softmax,1000,0.38,0.37975190076030413,0.38,0.05227550002746284
8,0.01,128,ReLU,50,0.52,0.5073891625615763,0.52,0.06411789986304939
8,0.01,128,ReLU,100,0.52,0.5073891625615763,0.52,0.0620411999989301
8,0.01,128,ReLU,300,0.52,0.5073891625615763,0.52,0.05976089998148382
8,0.01,128,ReLU,500,0.52,0.5073891625615763,0.52,0.0466448999941349
8,0.01,128,ReLU,1000,0.52,0.5073891625615763,0.52,0.06190430000424385
8,0.01,128,Tanh,50,0.38,0.3484657419083649,0.38,0.07847159984521568
8,0.01,128,Tanh,100,0.38,0.3484657419083649,0.38,0.08987400005571544
8,0.01,128,Tanh,300,0.38,0.3484657419083649,0.38,0.09371259994804859
8,0.01,128,Tanh,500,0.38,0.3484657419083649,0.38,0.06070129992440343
8,0.01,128,Tanh,1000,0.38,0.3484657419083649,0.38,0.06500329985283315
8,0.01,128,Sigmoid,50,0.38,0.37975190076030413,0.38,0.09047830011695623
8,0.01,128,Sigmoid,100,0.38,0.37975190076030413,0.38,0.08663390018045902
8,0.01,128,Sigmoid,300,0.38,0.37975190076030413,0.38,0.10015029995702207
8,0.01,128,Sigmoid,500,0.38,0.37975190076030413,0.38,0.08122669998556376
8,0.01,128,Sigmoid,1000,0.38,0.37975190076030413,0.38,0.07960429997183383
8,0.01,128,GELU,50,0.52,0.5073891625615763,0.52,0.08651430020108819
8,0.01,128,GELU,100,0.52,0.5073891625615763,0.52,0.11360859987325966
8,0.01,128,GELU,300,0.52,0.5073891625615763,0.52,0.09569520014338195
8,0.01,128,GELU,500,0.52,0.5073891625615763,0.52,0.0812662998214364
