Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10828090000723023
8,0.01,8,ReLU,100,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10825219999242108
8,0.01,8,ReLU,300,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.12062099999457132
8,0.01,8,ReLU,500,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.09994660000666045
8,0.01,8,ReLU,1000,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10996059999160934
8,0.01,8,Tanh,50,0.6167166936042484,0.6169027165080102,0.6212121212121212,0.10897790000308305
8,0.01,8,Tanh,100,0.6167166936042484,0.6169027165080102,0.6212121212121212,0.13026580000587273
8,0.01,8,Tanh,300,0.6167166936042484,0.6169027165080102,0.6212121212121212,0.12067139999999199
8,0.01,8,Tanh,500,0.6167166936042484,0.6169027165080102,0.6212121212121212,0.12960680000833236
8,0.01,8,Tanh,1000,0.6167166936042484,0.6169027165080102,0.6212121212121212,0.11944209999637678
8,0.01,8,Sigmoid,50,0.5876241052874625,0.5704630788485607,0.6060606060606061,0.1733132000081241
8,0.01,8,Sigmoid,100,0.5876241052874625,0.5704630788485607,0.6060606060606061,0.16265009999915492
8,0.01,8,Sigmoid,300,0.5876241052874625,0.5704630788485607,0.6060606060606061,0.14026269999158103
8,0.01,8,Sigmoid,500,0.5876241052874625,0.5704630788485607,0.6060606060606061,0.1503785999957472
8,0.01,8,Sigmoid,1000,0.5876241052874625,0.5704630788485607,0.6060606060606061,0.14059599999745842
8,0.01,8,GELU,50,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.12009260000195354
8,0.01,8,GELU,100,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.12922460000845604
8,0.01,8,GELU,300,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10892030000104569
8,0.01,8,GELU,500,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.11922639999829698
8,0.01,8,GELU,1000,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.11939459999848623
8,0.01,8,Softmax,50,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.11952510000264738
8,0.01,8,Softmax,100,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10954710000078194
8,0.01,8,Softmax,300,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.10931169999821577
8,0.01,8,Softmax,500,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.09775820000504609
8,0.01,8,Softmax,1000,0.6366889863772801,0.6364062591572408,0.6439393939393939,0.0992675000015879
8,0.01,16,ReLU,50,0.6179866081736319,0.6149770819691648,0.6287878787878788,0.07975050000823103
