Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.7603793000016594
8,0.01,8,ReLU,100,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.8629733999987366
8,0.01,8,ReLU,300,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.7244001000071876
8,0.01,8,ReLU,500,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6649860000034096
8,0.01,8,ReLU,1000,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.7160539000033168
8,0.01,8,Tanh,50,0.2145113607481537,0.2054082442928456,0.2145545796737766,0.5716745000099763
8,0.01,8,Tanh,100,0.2145113607481537,0.2054082442928456,0.2145545796737766,0.5603678999905242
8,0.01,8,Tanh,300,0.2145113607481537,0.2054082442928456,0.2145545796737766,0.5685077999951318
8,0.01,8,Tanh,500,0.2145113607481537,0.2054082442928456,0.2145545796737766,0.5931901000003563
8,0.01,8,Tanh,1000,0.2145113607481537,0.2054082442928456,0.2145545796737766,0.5495607999910135
8,0.01,8,Sigmoid,50,0.2126593006740207,0.1925832530971641,0.2095357590966123,0.5697392000001855
8,0.01,8,Sigmoid,100,0.2126593006740207,0.1925832530971641,0.2095357590966123,0.5711429999937536
8,0.01,8,Sigmoid,300,0.2126593006740207,0.1925832530971641,0.2095357590966123,0.5914549000008265
8,0.01,8,Sigmoid,500,0.2126593006740207,0.1925832530971641,0.2095357590966123,0.5804272000095807
8,0.01,8,Sigmoid,1000,0.2126593006740207,0.1925832530971641,0.2095357590966123,0.5791138000058709
8,0.01,8,GELU,50,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6726702000014484
8,0.01,8,GELU,100,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6549569999915548
8,0.01,8,GELU,300,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6646257999964291
8,0.01,8,GELU,500,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6627585999958683
8,0.01,8,GELU,1000,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6643065000098431
8,0.01,8,Softmax,50,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6869366000028094
8,0.01,8,Softmax,100,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6344245000072988
8,0.01,8,Softmax,300,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.6640694999950938
8,0.01,8,Softmax,500,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.7295210999873234
8,0.01,8,Softmax,1000,0.2255787226340477,0.2071428996457219,0.2271016311166875,0.708114499997464
8,0.01,16,ReLU,50,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4881500000046799
8,0.01,16,ReLU,100,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.5276441000023624
8,0.01,16,ReLU,300,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.5805108000058681
8,0.01,16,ReLU,500,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4988269000023138
8,0.01,16,ReLU,1000,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4648089000111213
8,0.01,16,Tanh,50,0.2145699432802138,0.2041817294182808,0.2183186951066499,0.4965685999923153
8,0.01,16,Tanh,100,0.2145699432802138,0.2041817294182808,0.2183186951066499,0.5698402999987593
8,0.01,16,Tanh,300,0.2145699432802138,0.2041817294182808,0.2183186951066499,0.558044700010214
8,0.01,16,Tanh,500,0.2145699432802138,0.2041817294182808,0.2183186951066499,0.572860700005549
8,0.01,16,Tanh,1000,0.2145699432802138,0.2041817294182808,0.2183186951066499,0.5407173999992665
8,0.01,16,Sigmoid,50,0.2095481361404587,0.1914161233645679,0.2145545796737766,0.4995496000046842
8,0.01,16,Sigmoid,100,0.2095481361404587,0.1914161233645679,0.2145545796737766,0.4759451999998418
8,0.01,16,Sigmoid,300,0.2095481361404587,0.1914161233645679,0.2145545796737766,0.4744229999923846
8,0.01,16,Sigmoid,500,0.2095481361404587,0.1914161233645679,0.2145545796737766,0.4973941000062041
8,0.01,16,Sigmoid,1000,0.2095481361404587,0.1914161233645679,0.2145545796737766,0.4739170000102604
8,0.01,16,GELU,50,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4764636999898357
8,0.01,16,GELU,100,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4245036000065738
8,0.01,16,GELU,300,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4850548999966122
8,0.01,16,GELU,500,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4967228000023169
8,0.01,16,GELU,1000,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.486834600000293
8,0.01,16,Softmax,50,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4649218999984441
8,0.01,16,Softmax,100,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4681526999920606
8,0.01,16,Softmax,300,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4462776000000303
8,0.01,16,Softmax,500,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4949835000006715
8,0.01,16,Softmax,1000,0.2140139024115273,0.1935371379742728,0.2170639899623588,0.4352058000076795
8,0.01,32,ReLU,50,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2446276999980909
8,0.01,32,ReLU,100,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2235682000027736
8,0.01,32,ReLU,300,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2671062000008533
8,0.01,32,ReLU,500,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2670052000030409
8,0.01,32,ReLU,1000,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2964360000041779
8,0.01,32,Tanh,50,0.1952773033696292,0.1808737432713361,0.1969887076537013,0.2666489000112051
8,0.01,32,Tanh,100,0.1952773033696292,0.1808737432713361,0.1969887076537013,0.2820120000105817
8,0.01,32,Tanh,300,0.1952773033696292,0.1808737432713361,0.1969887076537013,0.2694291000079829
8,0.01,32,Tanh,500,0.1952773033696292,0.1808737432713361,0.1969887076537013,0.276146999996854
8,0.01,32,Tanh,1000,0.1952773033696292,0.1808737432713361,0.1969887076537013,0.2596729999931995
8,0.01,32,Sigmoid,50,0.2094243188069727,0.1875213853644072,0.2170639899623588,0.3086366999923484
8,0.01,32,Sigmoid,100,0.2094243188069727,0.1875213853644072,0.2170639899623588,0.3197311999974772
8,0.01,32,Sigmoid,300,0.2094243188069727,0.1875213853644072,0.2170639899623588,0.2857803999941097
8,0.01,32,Sigmoid,500,0.2094243188069727,0.1875213853644072,0.2170639899623588,0.2977215999999316
8,0.01,32,Sigmoid,1000,0.2094243188069727,0.1875213853644072,0.2170639899623588,0.3102939999953378
8,0.01,32,GELU,50,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2677676000021165
8,0.01,32,GELU,100,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2660417000006418
8,0.01,32,GELU,300,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2779418999998597
8,0.01,32,GELU,500,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2666258000099333
8,0.01,32,GELU,1000,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2549457999994047
8,0.01,32,Softmax,50,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2664540999976452
8,0.01,32,Softmax,100,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2664450000011129
8,0.01,32,Softmax,300,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2655300000042189
8,0.01,32,Softmax,500,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2650291000027209
8,0.01,32,Softmax,1000,0.188562573024962,0.1727933664558901,0.1882057716436637,0.2463975999999093
8,0.01,64,ReLU,50,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1716649000009056
8,0.01,64,ReLU,100,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1711024999967776
8,0.01,64,ReLU,300,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1512125000008382
8,0.01,64,ReLU,500,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.162078699999256
8,0.01,64,ReLU,1000,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1810700000060023
8,0.01,64,Tanh,50,0.1896797103490153,0.1717933314668744,0.1894604767879548,0.1807562000030884
8,0.01,64,Tanh,100,0.1896797103490153,0.1717933314668744,0.1894604767879548,0.184419400000479
8,0.01,64,Tanh,300,0.1896797103490153,0.1717933314668744,0.1894604767879548,0.1925197000091429
8,0.01,64,Tanh,500,0.1896797103490153,0.1717933314668744,0.1894604767879548,0.1840565000020433
8,0.01,64,Tanh,1000,0.1896797103490153,0.1717933314668744,0.1894604767879548,0.1615707000019028
8,0.01,64,Sigmoid,50,0.1853153439423554,0.1704786342850248,0.191969887076537,0.1715622000047005
8,0.01,64,Sigmoid,100,0.1853153439423554,0.1704786342850248,0.191969887076537,0.1815790999971795
8,0.01,64,Sigmoid,300,0.1853153439423554,0.1704786342850248,0.191969887076537,0.171922599998652
8,0.01,64,Sigmoid,500,0.1853153439423554,0.1704786342850248,0.191969887076537,0.1820913999981712
8,0.01,64,Sigmoid,1000,0.1853153439423554,0.1704786342850248,0.191969887076537,0.1828297000029124
8,0.01,64,GELU,50,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1933442000008653
8,0.01,64,GELU,100,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1717128000018419
8,0.01,64,GELU,300,0.1848261633156456,0.1682365612243618,0.1844416562107904,0.1731292000040412
