Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.23777669994160533
8,0.01,8,ReLU,100,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.25216709985397756
8,0.01,8,ReLU,300,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.23607330000959337
8,0.01,8,ReLU,500,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.24748769984580576
8,0.01,8,ReLU,1000,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.2527546000201255
8,0.01,8,Tanh,50,0.5830553116769096,0.5846151154041332,0.7097902097902098,0.225782300112769
8,0.01,8,Tanh,100,0.5830553116769096,0.5846151154041332,0.7097902097902098,0.21360419993288815
8,0.01,8,Tanh,300,0.5830553116769096,0.5846151154041332,0.7097902097902098,0.20291089988313615
8,0.01,8,Tanh,500,0.5830553116769096,0.5846151154041332,0.7097902097902098,0.19375450001098216
8,0.01,8,Tanh,1000,0.5830553116769096,0.5846151154041332,0.7097902097902098,0.2036738998722285
8,0.01,8,Sigmoid,50,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.2564491000957787
8,0.01,8,Sigmoid,100,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.2557458998635411
8,0.01,8,Sigmoid,300,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.2578706999775022
8,0.01,8,Sigmoid,500,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.21478609996847808
8,0.01,8,Sigmoid,1000,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.2246358001139015
8,0.01,8,GELU,50,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.19391300017014146
8,0.01,8,GELU,100,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.20543129998259246
8,0.01,8,GELU,300,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.24006939982064068
8,0.01,8,GELU,500,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.24703039997257292
8,0.01,8,GELU,1000,0.6326016973953761,0.6430787911494873,0.7412587412587412,0.20404139999300241
8,0.01,8,Softmax,50,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.22253790008835495
8,0.01,8,Softmax,100,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.19367659999988973
8,0.01,8,Softmax,300,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.22478059981949627
8,0.01,8,Softmax,500,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.2853187001310289
8,0.01,8,Softmax,1000,0.5914252268071407,0.5946243897317445,0.7167832167832168,0.42336879996582866
8,0.01,16,ReLU,50,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.24886910011991858
8,0.01,16,ReLU,100,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.23124680016189814
8,0.01,16,ReLU,300,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.24035310000181198
8,0.01,16,ReLU,500,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.2512359998654574
8,0.01,16,ReLU,1000,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.32251550001092255
8,0.01,16,Tanh,50,0.5948200175592625,0.599002959962611,0.7167832167832168,0.2658101001288742
8,0.01,16,Tanh,100,0.5948200175592625,0.599002959962611,0.7167832167832168,0.26030550012364984
8,0.01,16,Tanh,300,0.5948200175592625,0.599002959962611,0.7167832167832168,0.2689453999046236
8,0.01,16,Tanh,500,0.5948200175592625,0.599002959962611,0.7167832167832168,0.29810389992780983
8,0.01,16,Tanh,1000,0.5948200175592625,0.599002959962611,0.7167832167832168,0.29170809988863766
8,0.01,16,Sigmoid,50,0.6056774948785484,0.611764705882353,0.7272727272727273,0.4037125001195818
8,0.01,16,Sigmoid,100,0.6056774948785484,0.611764705882353,0.7272727272727273,0.34167819982394576
8,0.01,16,Sigmoid,300,0.6056774948785484,0.611764705882353,0.7272727272727273,0.299234600039199
8,0.01,16,Sigmoid,500,0.6056774948785484,0.611764705882353,0.7272727272727273,0.3212783997878432
8,0.01,16,Sigmoid,1000,0.6056774948785484,0.611764705882353,0.7272727272727273,0.3644363998901099
8,0.01,16,GELU,50,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.2995836001355201
8,0.01,16,GELU,100,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.2585630000103265
8,0.01,16,GELU,300,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.24111449997872114
8,0.01,16,GELU,500,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.26475750003010035
8,0.01,16,GELU,1000,0.6115598478197248,0.6188052829274203,0.7307692307692307,0.2600326999090612
8,0.01,16,Softmax,50,0.6056774948785484,0.611764705882353,0.7272727272727273,0.34772510011680424
8,0.01,16,Softmax,100,0.6056774948785484,0.611764705882353,0.7272727272727273,0.39880499988794327
8,0.01,16,Softmax,300,0.6056774948785484,0.611764705882353,0.7272727272727273,0.41538370004855096
8,0.01,16,Softmax,500,0.6056774948785484,0.611764705882353,0.7272727272727273,0.28537319996394217
8,0.01,16,Softmax,1000,0.6056774948785484,0.611764705882353,0.7272727272727273,0.34769329987466335
8,0.01,32,ReLU,50,0.6156277436347674,0.623389565093601,0.7412587412587412,0.27250620000995696
8,0.01,32,ReLU,100,0.6156277436347674,0.623389565093601,0.7412587412587412,0.301313100149855
8,0.01,32,ReLU,300,0.6156277436347674,0.623389565093601,0.7412587412587412,0.18563500000163913
8,0.01,32,ReLU,500,0.6156277436347674,0.623389565093601,0.7412587412587412,0.1841731001622975
8,0.01,32,ReLU,1000,0.6156277436347674,0.623389565093601,0.7412587412587412,0.20395300001837313
8,0.01,32,Tanh,50,0.5749195200468247,0.5770847525213085,0.6888111888111889,0.1606330000795424
8,0.01,32,Tanh,100,0.5749195200468247,0.5770847525213085,0.6888111888111889,0.1519687999971211
8,0.01,32,Tanh,300,0.5749195200468247,0.5770847525213085,0.6888111888111889,0.16624709987081587
8,0.01,32,Tanh,500,0.5749195200468247,0.5770847525213085,0.6888111888111889,0.1595759999472648
8,0.01,32,Tanh,1000,0.5749195200468247,0.5770847525213085,0.6888111888111889,0.18914719996973872
8,0.01,32,Sigmoid,50,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.2792257000692189
8,0.01,32,Sigmoid,100,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.23926970013417304
8,0.01,32,Sigmoid,300,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.2141744999680668
8,0.01,32,Sigmoid,500,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.21524649998173118
8,0.01,32,Sigmoid,1000,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.17291990015655756
8,0.01,32,GELU,50,0.6156277436347674,0.623389565093601,0.7412587412587412,0.11836680001579225
8,0.01,32,GELU,100,0.6156277436347674,0.623389565093601,0.7412587412587412,0.15086519997566938
8,0.01,32,GELU,300,0.6156277436347674,0.623389565093601,0.7412587412587412,0.13515980006195605
8,0.01,32,GELU,500,0.6156277436347674,0.623389565093601,0.7412587412587412,0.1255490998737514
8,0.01,32,GELU,1000,0.6156277436347674,0.623389565093601,0.7412587412587412,0.15678509999997914
8,0.01,32,Softmax,50,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.15841550007462502
8,0.01,32,Softmax,100,0.5973075797483173,0.6018099547511312,0.7202797202797203,0.13088780012913048
