Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.577696342119419,0.5763809459732221,0.5768115942028985,0.36710519999905955
8,0.01,8,ReLU,100,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3517484999902081
8,0.01,8,ReLU,300,0.577696342119419,0.5763809459732221,0.5768115942028985,0.32956900000863243
8,0.01,8,ReLU,500,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3819145000015851
8,0.01,8,ReLU,1000,0.577696342119419,0.5763809459732221,0.5768115942028985,0.362567999996827
8,0.01,8,Tanh,50,0.6188811188811189,0.6159684274438373,0.6173913043478261,0.2668968999932986
8,0.01,8,Tanh,100,0.6188811188811189,0.6159684274438373,0.6173913043478261,0.23457590000180062
8,0.01,8,Tanh,300,0.6188811188811189,0.6159684274438373,0.6173913043478261,0.2544649000046775
8,0.01,8,Tanh,500,0.6188811188811189,0.6159684274438373,0.6173913043478261,0.24498360000143293
8,0.01,8,Tanh,1000,0.6188811188811189,0.6159684274438373,0.6173913043478261,0.23618370000622235
8,0.01,8,Sigmoid,50,0.619234131253362,0.6150334753499695,0.6173913043478261,0.2670435999898473
8,0.01,8,Sigmoid,100,0.619234131253362,0.6150334753499695,0.6173913043478261,0.26586959999985993
8,0.01,8,Sigmoid,300,0.619234131253362,0.6150334753499695,0.6173913043478261,0.2553570000018226
8,0.01,8,Sigmoid,500,0.619234131253362,0.6150334753499695,0.6173913043478261,0.29741729999659583
8,0.01,8,Sigmoid,1000,0.619234131253362,0.6150334753499695,0.6173913043478261,0.2760520000010729
8,0.01,8,GELU,50,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3278112999978475
8,0.01,8,GELU,100,0.577696342119419,0.5763809459732221,0.5768115942028985,0.29797210000106134
8,0.01,8,GELU,300,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3604873000003863
8,0.01,8,GELU,500,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3270997000072384
8,0.01,8,GELU,1000,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3590425000002142
8,0.01,8,Softmax,50,0.577696342119419,0.5763809459732221,0.5768115942028985,0.33772740000858903
8,0.01,8,Softmax,100,0.577696342119419,0.5763809459732221,0.5768115942028985,0.2882419000088703
8,0.01,8,Softmax,300,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3375668000080623
8,0.01,8,Softmax,500,0.577696342119419,0.5763809459732221,0.5768115942028985,0.30756319999636617
8,0.01,8,Softmax,1000,0.577696342119419,0.5763809459732221,0.5768115942028985,0.3286727999948198
8,0.01,16,ReLU,50,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.16072080000594724
8,0.01,16,ReLU,100,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.1513109999941662
8,0.01,16,ReLU,300,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.16208910000568721
8,0.01,16,ReLU,500,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.17285180000180844
8,0.01,16,ReLU,1000,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.1844827000022633
8,0.01,16,Tanh,50,0.630362426035503,0.6278568057709162,0.6289855072463768,0.19338539999444038
8,0.01,16,Tanh,100,0.630362426035503,0.6278568057709162,0.6289855072463768,0.19422050000866875
8,0.01,16,Tanh,300,0.630362426035503,0.6278568057709162,0.6289855072463768,0.20480120000138413
8,0.01,16,Tanh,500,0.630362426035503,0.6278568057709162,0.6289855072463768,0.20500000000174623
8,0.01,16,Tanh,1000,0.630362426035503,0.6278568057709162,0.6289855072463768,0.1727301999926567
8,0.01,16,Sigmoid,50,0.5980533889187736,0.5966134201428319,0.5971014492753624,0.1621921000041766
8,0.01,16,Sigmoid,100,0.5980533889187736,0.5966134201428319,0.5971014492753624,0.13171769998734817
8,0.01,16,Sigmoid,300,0.5980533889187736,0.5966134201428319,0.5971014492753624,0.18026259999896865
8,0.01,16,Sigmoid,500,0.5980533889187736,0.5966134201428319,0.5971014492753624,0.15146079999976791
8,0.01,16,Sigmoid,1000,0.5980533889187736,0.5966134201428319,0.5971014492753624,0.162627199999406
8,0.01,16,GELU,50,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.17177800000354182
8,0.01,16,GELU,100,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.1824427000101423
8,0.01,16,GELU,300,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.1814245999994455
8,0.01,16,GELU,500,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.18259709999256302
8,0.01,16,GELU,1000,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.16269810000085272
8,0.01,16,Softmax,50,0.5892953200645508,0.5879869474534078,0.5884057971014492,0.17258900000888389
