Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5,0.48462587889600167,0.9403380166972104,10.32642830000259
8,0.01,8,ReLU,100,0.5,0.48462587889600167,0.9403380166972104,12.037294900044799
8,0.01,8,ReLU,300,0.5,0.48462587889600167,0.9403380166972104,11.630736800143495
8,0.01,8,ReLU,500,0.5,0.48462587889600167,0.9403380166972104,10.08396720001474
8,0.01,8,ReLU,1000,0.5,0.48462587889600167,0.9403380166972104,12.8944571998436
8,0.01,8,Tanh,50,0.5020725030560044,0.4894754013957407,0.9397271431480351,15.724354200065136
8,0.01,8,Tanh,100,0.5020725030560044,0.4894754013957407,0.9397271431480351,14.720412400085479
8,0.01,8,Tanh,300,0.5020725030560044,0.4894754013957407,0.9397271431480351,12.21897459984757
8,0.01,8,Tanh,500,0.5020725030560044,0.4894754013957407,0.9397271431480351,11.824438899988309
8,0.01,8,Tanh,1000,0.5020725030560044,0.4894754013957407,0.9397271431480351,12.490679499926046
8,0.01,8,Sigmoid,50,0.5014899406832146,0.48794692761205466,0.9401343921808186,11.16742069995962
8,0.01,8,Sigmoid,100,0.5014899406832146,0.48794692761205466,0.9401343921808186,10.859191900119185
8,0.01,8,Sigmoid,300,0.5014899406832146,0.48794692761205466,0.9401343921808186,11.38283590017818
8,0.01,8,Sigmoid,500,0.5014899406832146,0.48794692761205466,0.9401343921808186,11.974049000069499
8,0.01,8,Sigmoid,1000,0.5014899406832146,0.48794692761205466,0.9401343921808186,10.69280010019429
8,0.01,8,GELU,50,0.5,0.48462587889600167,0.9403380166972104,9.759010499808937
8,0.01,8,GELU,100,0.5,0.48462587889600167,0.9403380166972104,9.720903899986297
8,0.01,8,GELU,300,0.5,0.48462587889600167,0.9403380166972104,9.43437510007061
8,0.01,8,GELU,500,0.5,0.48462587889600167,0.9403380166972104,10.457707000197843
8,0.01,8,GELU,1000,0.5,0.48462587889600167,0.9403380166972104,10.835465100128204
8,0.01,8,Softmax,50,0.5014899406832146,0.48794692761205466,0.9401343921808186,12.241295899963006
8,0.01,8,Softmax,100,0.5014899406832146,0.48794692761205466,0.9401343921808186,11.950703700073063
8,0.01,8,Softmax,300,0.5014899406832146,0.48794692761205466,0.9401343921808186,11.309344400186092
8,0.01,8,Softmax,500,0.5014899406832146,0.48794692761205466,0.9401343921808186,10.64674390014261
8,0.01,8,Softmax,1000,0.5014899406832146,0.48794692761205466,0.9401343921808186,10.619117100024596
8,0.01,16,ReLU,50,0.5038872596768543,0.4929248919268506,0.9401343921808186,6.32834959984757
8,0.01,16,ReLU,100,0.5038872596768543,0.4929248919268506,0.9401343921808186,6.596239699982107
8,0.01,16,ReLU,300,0.5038872596768543,0.4929248919268506,0.9401343921808186,5.9450060001108795
8,0.01,16,ReLU,500,0.5038872596768543,0.4929248919268506,0.9401343921808186,6.423185300081968
8,0.01,16,ReLU,1000,0.5038872596768543,0.4929248919268506,0.9401343921808186,5.63032709993422
8,0.01,16,Tanh,50,0.502234911024822,0.48958188766608535,0.9400325799226227,6.886319500161335
8,0.01,16,Tanh,100,0.502234911024822,0.48958188766608535,0.9400325799226227,6.440947399940342
