Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.4477454873148314,0.4368350365896583,0.7104963216247021,70.77484579999873
8,0.01,8,ReLU,100,0.4477454873148314,0.4368350365896583,0.7104963216247021,68.49013160000322
8,0.01,8,ReLU,300,0.4477454873148314,0.4368350365896583,0.7104963216247021,68.22558879999269
8,0.01,8,ReLU,500,0.4477454873148314,0.4368350365896583,0.7104963216247021,68.61720839999907
8,0.01,8,ReLU,1000,0.4477454873148314,0.4368350365896583,0.7104963216247021,69.00492010000744
8,0.01,8,Tanh,50,0.4542038011992984,0.4423928457255579,0.7131607383394762,66.57292869999947
8,0.01,8,Tanh,100,0.4542038011992984,0.4423928457255579,0.7131607383394762,66.75169950000418
8,0.01,8,Tanh,300,0.4542038011992984,0.4423928457255579,0.7131607383394762,66.67142109999259
8,0.01,8,Tanh,500,0.4542038011992984,0.4423928457255579,0.7131607383394762,68.08298120000109
8,0.01,8,Tanh,1000,0.4542038011992984,0.4423928457255579,0.7131607383394762,66.37348880000354
8,0.01,8,Sigmoid,50,0.4626052702527265,0.4511477115474134,0.7227674408277455,60.02192080000532
8,0.01,8,Sigmoid,100,0.4626052702527265,0.4511477115474134,0.7227674408277455,60.343707499996526
8,0.01,8,Sigmoid,300,0.4626052702527265,0.4511477115474134,0.7227674408277455,60.5794043999922
8,0.01,8,Sigmoid,500,0.4626052702527265,0.4511477115474134,0.7227674408277455,59.88494110001193
8,0.01,8,Sigmoid,1000,0.4626052702527265,0.4511477115474134,0.7227674408277455,59.85061979999591
8,0.01,8,GELU,50,0.4477454873148314,0.4368350365896583,0.7104963216247021,68.847288200006
8,0.01,8,GELU,100,0.4477454873148314,0.4368350365896583,0.7104963216247021,71.61908730000141
8,0.01,8,GELU,300,0.4477454873148314,0.4368350365896583,0.7104963216247021,69.09511230001226
8,0.01,8,GELU,500,0.4477454873148314,0.4368350365896583,0.7104963216247021,69.26408029999584
8,0.01,8,GELU,1000,0.4477454873148314,0.4368350365896583,0.7104963216247021,73.60949149999942
8,0.01,8,Softmax,50,0.4477454873148314,0.4368350365896583,0.7104963216247021,85.65055039999424
8,0.01,8,Softmax,100,0.4477454873148314,0.4368350365896583,0.7104963216247021,86.07849879999412
8,0.01,8,Softmax,300,0.4477454873148314,0.4368350365896583,0.7104963216247021,84.80948270000226
8,0.01,8,Softmax,500,0.4477454873148314,0.4368350365896583,0.7104963216247021,88.08848930000386
8,0.01,8,Softmax,1000,0.4477454873148314,0.4368350365896583,0.7104963216247021,84.0196103000053
8,0.01,16,ReLU,50,0.4487614133527864,0.4381358750181248,0.7137824355729236,49.77612419999787
8,0.01,16,ReLU,100,0.4487614133527864,0.4381358750181248,0.7137824355729236,50.22994020000624
8,0.01,16,ReLU,300,0.4487614133527864,0.4381358750181248,0.7137824355729236,51.67370389999997
8,0.01,16,ReLU,500,0.4487614133527864,0.4381358750181248,0.7137824355729236,51.29126410000026
8,0.01,16,ReLU,1000,0.4487614133527864,0.4381358750181248,0.7137824355729236,49.98497939998924
8,0.01,16,Tanh,50,0.4621867618675379,0.4504634316566713,0.7213464185798659,59.8734848999884
8,0.01,16,Tanh,100,0.4621867618675379,0.4504634316566713,0.7213464185798659,63.18599249998806
8,0.01,16,Tanh,300,0.4621867618675379,0.4504634316566713,0.7213464185798659,61.73427509999601
8,0.01,16,Tanh,500,0.4621867618675379,0.4504634316566713,0.7213464185798659,60.92576080000436
8,0.01,16,Tanh,1000,0.4621867618675379,0.4504634316566713,0.7213464185798659,61.66502190000028
8,0.01,16,Sigmoid,50,0.4640538042924693,0.4518375286924693,0.7217756857172462,51.61444039999333
8,0.01,16,Sigmoid,100,0.4640538042924693,0.4518375286924693,0.7217756857172462,51.2629151000001
8,0.01,16,Sigmoid,300,0.4640538042924693,0.4518375286924693,0.7217756857172462,51.71874930000922
8,0.01,16,Sigmoid,500,0.4640538042924693,0.4518375286924693,0.7217756857172462,51.65738129999954
8,0.01,16,Sigmoid,1000,0.4640538042924693,0.4518375286924693,0.7217756857172462,50.653650899999775
8,0.01,16,GELU,50,0.4487614133527864,0.4381358750181248,0.7137824355729236,48.648002700007055
