Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.4508693930605853,0.4406350079310996,0.7170537472060631,117.81761909998022
8,0.01,8,ReLU,100,0.4508693930605853,0.4406350079310996,0.7170537472060631,114.33649339992552
8,0.01,8,ReLU,300,0.4508693930605853,0.4406350079310996,0.7170537472060631,111.73550300020725
8,0.01,8,ReLU,500,0.4508693930605853,0.4406350079310996,0.7170537472060631,115.93824920011684
8,0.01,8,ReLU,1000,0.4508693930605853,0.4406350079310996,0.7170537472060631,122.8981250000652
8,0.01,8,Tanh,50,0.4449128551725272,0.4346864331908495,0.7118285299820892,103.21568190003744
8,0.01,8,Tanh,100,0.4449128551725272,0.4346864331908495,0.7118285299820892,106.47218939987944
8,0.01,8,Tanh,300,0.4449128551725272,0.4346864331908495,0.7118285299820892,98.83510560006836
8,0.01,8,Tanh,500,0.4449128551725272,0.4346864331908495,0.7118285299820892,102.27810570015572
8,0.01,8,Tanh,1000,0.4449128551725272,0.4346864331908495,0.7118285299820892,100.2120623998344
8,0.01,8,Sigmoid,50,0.4650043257937162,0.4526365122632628,0.7223529760054472,127.26034739986062
8,0.01,8,Sigmoid,100,0.4650043257937162,0.4526365122632628,0.7223529760054472,129.40407370007597
8,0.01,8,Sigmoid,300,0.4650043257937162,0.4526365122632628,0.7223529760054472,137.2388224999886
8,0.01,8,Sigmoid,500,0.4650043257937162,0.4526365122632628,0.7223529760054472,134.68833800009452
8,0.01,8,Sigmoid,1000,0.4650043257937162,0.4526365122632628,0.7223529760054472,130.89982439996675
8,0.01,8,GELU,50,0.4508693930605853,0.4406350079310996,0.7170537472060631,130.990121900104
8,0.01,8,GELU,100,0.4508693930605853,0.4406350079310996,0.7170537472060631,123.32634379994124
8,0.01,8,GELU,300,0.4508693930605853,0.4406350079310996,0.7170537472060631,120.75743439979853
8,0.01,8,GELU,500,0.4508693930605853,0.4406350079310996,0.7170537472060631,123.8281747000292
8,0.01,8,GELU,1000,0.4508693930605853,0.4406350079310996,0.7170537472060631,118.81911449995825
8,0.01,8,Softmax,50,0.4650043257937162,0.4526365122632628,0.7223529760054472,134.14563759998418
8,0.01,8,Softmax,100,0.4650043257937162,0.4526365122632628,0.7223529760054472,134.34905839990824
8,0.01,8,Softmax,300,0.4650043257937162,0.4526365122632628,0.7223529760054472,130.42015409981832
8,0.01,8,Softmax,500,0.4650043257937162,0.4526365122632628,0.7223529760054472,132.70555429998785
8,0.01,8,Softmax,1000,0.4650043257937162,0.4526365122632628,0.7223529760054472,132.66217849985696
8,0.01,16,ReLU,50,0.4529135411519838,0.441255411366561,0.713856447148334,85.57349469978362
8,0.01,16,ReLU,100,0.4529135411519838,0.441255411366561,0.713856447148334,93.37987209996209
8,0.01,16,ReLU,300,0.4529135411519838,0.441255411366561,0.713856447148334,95.74769919994289
