dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type
agaricus_lepiota.tsv.gz,target,8145,22,2,0.000728968,0,0,22,0,numeric
analcatdata_authorship.tsv.gz,target,841,70,4,0.06254763,0,0,70,0,numeric
analcatdata_bankruptcy.tsv.gz,target,50,6,2,0.0,0,0,6,0,numeric
analcatdata_creditscore.tsv.gz,target,100,6,2,0.1058,0,0,6,0,numeric
analcatdata_lawsuit.tsv.gz,target,264,4,2,0.366419881,0,0,4,0,numeric
ann_thyroid.tsv.gz,target,7200,21,3,0.526977932,0,0,21,0,numeric
cars.tsv.gz,target,392,8,3,0.127997883,0,0,8,0,numeric
chess.tsv.gz,target,3196,36,2,0.000987036,0,0,36,0,numeric
clean1.tsv.gz,target,476,168,2,0.008482805,0,0,168,0,numeric
clean2.tsv.gz,target,6598,168,2,0.239241575,0,0,168,0,numeric
collins.tsv.gz,target,485,23,13,0.020290229,0,0,23,0,numeric
confidence.tsv.gz,target,72,3,6,0.0,0,0,3,0,numeric
corral.tsv.gz,target,160,6,2,0.0078125,0,0,6,0,numeric
dermatology.tsv.gz,target,366,34,6,0.034548658,0,0,34,0,numeric
dna.tsv.gz,target,3186,180,3,0.051789865,0,0,180,0,numeric
ecoli.tsv.gz,target,327,7,5,0.087171862,0,0,7,0,numeric
iris.tsv.gz,target,150,4,3,0.0,0,0,4,0,numeric
irish.tsv.gz,target,500,5,2,0.006272,0,0,5,0,numeric
kr_vs_kp.tsv.gz,target,3196,36,2,0.000987036,0,0,36,0,numeric
labor.tsv.gz,target,57,16,2,0.044475223,0,0,16,0,numeric
mfeat_factors.tsv.gz,target,2000,216,10,0.0,0,0,216,0,numeric
mfeat_fourier.tsv.gz,target,2000,76,10,0.0,0,0,76,0,numeric
mfeat_karhunen.tsv.gz,target,2000,64,10,0.0,0,0,64,0,numeric
mfeat_pixel.tsv.gz,target,2000,240,10,0.0,0,0,240,0,numeric
mfeat_zernike.tsv.gz,target,2000,47,10,0.0,0,0,47,0,numeric
mofn_3_7_10.tsv.gz,target,1324,10,2,0.156191528,0,0,10,0,numeric
molecular_biology_promoters.tsv.gz,target,106,57,2,0.0,0,0,57,0,numeric
monk3.tsv.gz,target,554,6,2,0.000788489,0,0,6,0,numeric
mushroom.tsv.gz,target,8124,22,2,0.000645946,0,0,22,0,numeric
mux6.tsv.gz,target,128,6,2,0.0,0,0,6,0,numeric
optdigits.tsv.gz,target,5620,64,10,1.32e-05,0,0,64,0,numeric
pendigits.tsv.gz,target,10992,16,10,0.000160263,0,0,16,0,numeric
penguins.tsv.gz,target,333,7,3,0.028298569,0,0,7,0,numeric
prnn_crabs.tsv.gz,target,200,7,2,0.0,0,0,7,0,numeric
prnn_synth.tsv.gz,target,250,2,2,0.0,0,0,2,0,numeric
segmentation.tsv.gz,target,2310,19,7,0.0,0,0,19,0,numeric
soybean.tsv.gz,target,675,35,18,0.034252949,0,0,35,0,numeric
spambase.tsv.gz,target,4601,57,2,0.02245302,0,0,57,0,numeric
splice.tsv.gz,target,3188,60,3,0.051784203,0,0,60,0,numeric
texture.tsv.gz,target,5500,40,11,0.0,0,0,40,0,numeric
threeOf9.tsv.gz,target,512,9,2,0.002471924,0,0,9,0,numeric
tokyo1.tsv.gz,target,959,44,2,0.03875746,0,0,44,0,numeric
twonorm.tsv.gz,target,7400,20,2,3.29e-07,0,0,20,0,numeric
vowel.tsv.gz,target,990,13,11,0.0,0,0,13,0,numeric
waveform_21.tsv.gz,target,5000,21,3,5.36e-05,0,0,21,0,numeric
waveform_40.tsv.gz,target,5000,40,3,3.86e-05,0,0,40,0,numeric
wine_recognition.tsv.gz,target,178,13,3,0.008353322,0,0,13,0,numeric
xd6.tsv.gz,target,973,9,2,0.057165778,0,0,9,0,numeric
