rank,dataset,accuracy,macro_f1,balanced_accuracy
1,poker.tsv.gz,0.9953658988692793,0.6801584515876755,0.634752518725427
2,dis.tsv.gz,0.9840933191940615,0.49599144842330306,0.49973074851911686
3,allhyper.tsv.gz,0.9726862901087244,0.24653851324102702,0.24986376021798365
4,allrep.tsv.gz,0.9671261930010604,0.24582210242587602,0.25
5,allbp.tsv.gz,0.9636797454931071,0.4544072611500187,0.41723617875519997
6,coil2000.tsv.gz,0.9398289554062309,0.48617534384274114,0.5005284263831837
7,allhypo.tsv.gz,0.9323607427055703,0.46310553092691736,0.41726613049503314
8,backache.tsv.gz,0.8111111111111111,0.44785276073619634,0.47096774193548385
9,connect_4.tsv.gz,0.8059712539041106,0.5976799647483498,0.5939930678334324
10,spect.tsv.gz,0.7790262172284644,0.45402557792950476,0.4972984562607204
11,spectf.tsv.gz,0.7707736389684814,0.6811911939344113,0.6679030252797348
12,sonar.tsv.gz,0.7644230769230769,0.7628388598022107,0.7623757778396953
13,haberman.tsv.gz,0.7254901960784313,0.4425746009715475,0.5012345679012346
14,breast_cancer.tsv.gz,0.7062937062937062,0.6027777777777779,0.5975417032484636
15,postoperative_patient_data.tsv.gz,0.7045454545454546,0.41333333333333333,0.484375
16,saheart.tsv.gz,0.696969696969697,0.6427387817326174,0.6374379139072848
17,tic_tac_toe.tsv.gz,0.6638830897703549,0.47767279623421044,0.5306208861003118
18,profb.tsv.gz,0.6547619047619048,0.43345543345543347,0.5022321428571429
19,monk2.tsv.gz,0.6405990016638935,0.42314255243512267,0.49663266560157304
20,bupa.tsv.gz,0.6202898550724638,0.6192534182525842,0.6194862829478214
21,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz,0.604375,0.6040035986876755,0.604375
22,mux6.tsv.gz,0.6015625,0.6003673094582185,0.6015625
23,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz,0.593125,0.5931121258133558,0.593125
24,analcatdata_boxing1.tsv.gz,0.5916666666666667,0.5176769748174883,0.521062271062271
25,wine_quality_red.tsv.gz,0.5728580362726704,0.2600236946587792,0.25761920663125387
26,analcatdata_boxing2.tsv.gz,0.5681818181818182,0.5608987452582433,0.5812745324405448
27,parity5.tsv.gz,0.5625,0.5625,0.5625
28,wine_quality_white.tsv.gz,0.5606369946917109,0.24632648170336452,0.24164522558357948
29,schizo.tsv.gz,0.5588235294117647,0.26696297230277816,0.32669285911221396
30,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz,0.544375,0.5431455976649664,0.5443749999999999
31,krkopt.tsv.gz,0.5290846877673225,0.46653604891736133,0.4549846141148231
32,monk1.tsv.gz,0.5287769784172662,0.5277442780263244,0.5287769784172662
33,Hill_Valley_with_noise.tsv.gz,0.523102310231023,0.5022622634002161,0.523102310231023
34,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz,0.5225,0.522069862876589,0.5225
35,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz,0.49625,0.49544270833333337,0.49624999999999997
36,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz,0.483125,0.48303594486393947,0.483125
37,Hill_Valley_without_noise.tsv.gz,0.48267326732673266,0.48254610056088076,0.4825653594771242
38,parity5+5.tsv.gz,0.4822064056939502,0.48117975122058,0.48184878047235913
39,analcatdata_fraud.tsv.gz,0.4523809523809524,0.4445083381253594,0.5822281167108754
40,analcatdata_aids.tsv.gz,0.44,0.35661764705882354,0.44
41,analcatdata_germangss.tsv.gz,0.335,0.32409442724458204,0.33499999999999996
42,analcatdata_happiness.tsv.gz,0.3333333333333333,0.22916666666666666,0.3333333333333333
43,cloud.tsv.gz,0.3055555555555556,0.26445485733411433,0.3288690476190476
44,analcatdata_dmft.tsv.gz,0.19071518193224593,0.16350235506634736,0.18916313300142507
