rank,dataset,accuracy,macro_f1,balanced_accuracy
1,agaricus_lepiota.tsv.gz,0.998526703,0.998524468,0.998496384
2,shuttle.tsv.gz,0.998465517,0.829199643,0.836690678
3,mushroom.tsv.gz,0.997784343,0.997781593,0.997808057
4,clean2.tsv.gz,0.996817217,0.993879829,0.992489883
5,pendigits.tsv.gz,0.990356623,0.990372463,0.990384189
6,texture.tsv.gz,0.989272727,0.989271361,0.989272727
7,mofn_3_7_10.tsv.gz,0.988670695,0.983211477,0.974315068
8,analcatdata_authorship.tsv.gz,0.985731272,0.984568261,0.985130874
9,dis.tsv.gz,0.984093319,0.495991448,0.499730749
10,ann_thyroid.tsv.gz,0.9825,0.902971788,0.877983392
11,kr_vs_kp.tsv.gz,0.982478098,0.982446312,0.982527016
12,chess.tsv.gz,0.980600751,0.980571505,0.980813109
13,twonorm.tsv.gz,0.97527027,0.975270248,0.975270144
14,optdigits.tsv.gz,0.974021352,0.974015783,0.974024708
15,allhyper.tsv.gz,0.97268629,0.246538513,0.24986376
16,allrep.tsv.gz,0.967126193,0.245822102,0.25
17,page_blocks.tsv.gz,0.965101407,0.776825341,0.702942861
18,allbp.tsv.gz,0.963679745,0.454407261,0.417236179
19,mfeat_pixel.tsv.gz,0.9635,0.963515725,0.9635
20,mfeat_factors.tsv.gz,0.9635,0.963490559,0.9635
21,hypothyroid.tsv.gz,0.951628201,0.494054919,0.50281325
22,dna.tsv.gz,0.945699937,0.939568821,0.94083295
23,mfeat_karhunen.tsv.gz,0.9455,0.945439218,0.9455
24,coil2000.tsv.gz,0.939828955,0.486175344,0.500528426
25,spambase.tsv.gz,0.93675288,0.933564139,0.932187806
26,allhypo.tsv.gz,0.932360743,0.463105531,0.41726613
27,dermatology.tsv.gz,0.923497268,0.915841021,0.905327225
28,new_thyroid.tsv.gz,0.91627907,0.874836459,0.883174603
29,churn.tsv.gz,0.9106,0.779227664,0.735861082
30,tokyo1.tsv.gz,0.910323253,0.903384597,0.905934992
31,segmentation.tsv.gz,0.907359307,0.90620898,0.907359307
32,analcatdata_lawsuit.tsv.gz,0.882575758,0.525702695,0.52406015
33,wine_recognition.tsv.gz,0.876404494,0.875246675,0.88041597
34,penguins.tsv.gz,0.858858859,0.781746304,0.772226699
35,soybean.tsv.gz,0.844444444,0.87179944,0.858325008
36,backache.tsv.gz,0.811111111,0.447852761,0.470967742
37,irish.tsv.gz,0.804,0.801510143,0.801510143
38,appendicitis.tsv.gz,0.801886792,0.68249893,0.679271709
39,monk3.tsv.gz,0.799638989,0.799088459,0.798819967
40,clean1.tsv.gz,0.794117647,0.790564445,0.790564445
41,threeOf9.tsv.gz,0.779296875,0.776118999,0.774750046
42,spectf.tsv.gz,0.770773639,0.681191194,0.667903025
43,prnn_synth.tsv.gz,0.764,0.760314597,0.764
44,xd6.tsv.gz,0.763617677,0.672611036,0.660906298
45,corral.tsv.gz,0.725,0.724828018,0.733333333
46,analcatdata_cyyoung9302.tsv.gz,0.717391304,0.452380952,0.471521269
47,breast_cancer.tsv.gz,0.706293706,0.602777778,0.597541703
48,analcatdata_creditscore.tsv.gz,0.65,0.393939394,0.445205479
49,analcatdata_bankruptcy.tsv.gz,0.62,0.600672551,0.62
50,mux6.tsv.gz,0.6015625,0.600367309,0.6015625
51,prnn_crabs.tsv.gz,0.595,0.577233226,0.595
52,labor.tsv.gz,0.561403509,0.560862866,0.627702703
53,collins.tsv.gz,0.484536082,0.388831907,0.398269424
54,confidence.tsv.gz,0.263888889,0.230340688,0.263888889
