Dataset,Dataset_Type,Rows,Features,Classes,Imbalance,Missing_Values_Count,Missing_Values_Ratio,Numeric_Features,Categorical_Features,Feature_Type
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,1600,1000,2,0,0,0,1000,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,bottom,1600,20,2,0,0,0,20,0,numeric
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,bottom,1600,20,2,0,0,0,20,0,numeric
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,bottom,1600,20,2,0,0,0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,bottom,1600,20,2,0,0,0,20,0,numeric
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,bottom,1600,20,2,0,0,0,20,0,numeric
Hill_Valley_with_noise,bottom,1212,100,2,0,0,0,100,0,numeric
Hill_Valley_without_noise,bottom,1212,100,2,4.90E-05,0,0,100,0,numeric
allbp,bottom,3772,29,3,0.583681895,0,0,29,0,numeric
allhyper,bottom,3771,29,4,0.697606688,0,0,29,0,numeric
allhypo,bottom,3770,29,3,0.522510442,0,0,29,0,numeric
allrep,bottom,3772,29,4,0.68570586,0,0,29,0,numeric
analcatdata_aids,bottom,50,4,2,0,0,0,4,0,numeric
analcatdata_boxing1,bottom,120,3,2,0.045,0,0,3,0,numeric
analcatdata_boxing2,bottom,132,3,2,0.002869605,0,0,3,0,numeric
analcatdata_dmft,bottom,797,4,6,0.001119054,0,0,4,0,numeric
analcatdata_fraud,bottom,42,11,2,0.072562358,0,0,11,0,numeric
analcatdata_germangss,bottom,400,5,4,0,0,0,5,0,numeric
analcatdata_happiness,bottom,60,3,3,0,0,0,3,0,numeric
backache,bottom,180,32,2,0.260802469,0,0,32,0,numeric
breast_cancer,bottom,286,9,2,0.082253411,0,0,9,0,numeric
bupa,bottom,345,5,2,0.000205839,0,0,5,0,numeric
cloud,bottom,108,7,4,0.003772291,0,0,7,0,numeric
coil2000,bottom,9822,85,2,0.387795138,0,0,85,0,numeric
connect_4,bottom,67557,42,3,0.169775035,0,0,42,0,numeric
dis,bottom,3772,29,2,0.469719955,0,0,29,0,numeric
haberman,bottom,306,3,2,0.110726644,0,0,3,0,numeric
krkopt,bottom,28056,6,18,0.04879828,0,0,6,0,numeric
agaricus_lepiota,top,8145,22,2,0.000728968,0,0,22,0,numeric
analcatdata_authorship,top,841,70,4,0.06254763,0,0,70,0,numeric
analcatdata_bankruptcy,top,50,6,2,0,0,0,6,0,numeric
analcatdata_creditscore,top,100,6,2,0.1058,0,0,6,0,numeric
analcatdata_lawsuit,top,264,4,2,0.366419881,0,0,4,0,numeric
ann_thyroid,top,7200,21,3,0.526977932,0,0,21,0,numeric
cars,top,392,8,3,0.127997883,0,0,8,0,numeric
chess,top,3196,36,2,0.000987036,0,0,36,0,numeric
clean1,top,476,168,2,0.008482805,0,0,168,0,numeric
clean2,top,6598,168,2,0.239241575,0,0,168,0,numeric
collins,top,485,23,13,0.020290229,0,0,23,0,numeric
confidence,top,72,3,6,0,0,0,3,0,numeric
corral,top,160,6,2,0.0078125,0,0,6,0,numeric
iris,top,150,4,3,0,0,0,4,0,numeric
irish,top,500,5,2,0.006272,0,0,5,0,numeric
kr_vs_kp,top,3196,36,2,0.000987036,0,0,36,0,numeric
labor,top,57,16,2,0.044475223,0,0,16,0,numeric
mfeat_karhunen,top,2000,64,10,0,0,0,64,0,numeric
mfeat_pixel,top,2000,240,10,0,0,0,240,0,numeric
mfeat_zernike,top,2000,47,10,0,0,0,47,0,numeric
mofn_3_7_10,top,1324,10,2,0.156191528,0,0,10,0,numeric
molecular_biology_promoters,top,106,57,2,0,0,0,57,0,numeric
monk3,top,554,6,2,0.000788489,0,0,6,0,numeric
mushroom,top,8124,22,2,0.000645946,0,0,22,0,numeric
mux6,top,128,6,2,0,0,0,6,0,numeric
optdigits,top,5620,64,10,1.32E-05,0,0,64,0,numeric
pendigits,top,10992,16,10,0.000160263,0,0,16,0,numeric
penguins,top,333,7,3,0.028298569,0,0,7,0,numeric
prnn_crabs,top,200,7,2,0,0,0,7,0,numeric
prnn_synth,top,250,2,2,0,0,0,2,0,numeric
segmentation,top,2310,19,7,0,0,0,19,0,numeric
spambase,top,4601,57,2,0.02245302,0,0,57,0,numeric
splice,top,3188,60,3,0.051784203,0,0,60,0,numeric
texture,top,5500,40,11,0,0,0,40,0,numeric
threeOf9,top,512,9,2,0.002471924,0,0,9,0,numeric
tokyo1,top,959,44,2,0.03875746,0,0,44,0,numeric
twonorm,top,7400,20,2,3.29E-07,0,0,20,0,numeric
vowel,top,990,13,11,0,0,0,13,0,numeric
waveform_21,top,5000,21,3,5.36E-05,0,0,21,0,numeric
waveform_40,top,5000,40,3,3.86E-05,0,0,40,0,numeric
xd6,top,973,9,2,0.057165778,0,0,9,0,numeric
