Datasets,Dataset_Type,MLP_BA,RF_BA,XGB_BA,LR_BA,Rows,Features,Classes,Imbalance
allbp,bottom,0.6505497,0.65258943,0.494366633,0.637020441,3772,29,3,0.583681895
allhyper,bottom,0.608497597,0.561766182,0.560258613,0.609994087,3771,29,4,0.697606688
allhypo,bottom,0.656393319,0.753506339,0.518247157,0.619413293,3770,29,3,0.522510442
allrep,bottom,0.58358637,0.657716273,0.534134897,0.519922073,3772,29,4,0.68570586
analcatdata_aids,bottom,0.633333333,0.62,0.52,0.52,50,4,2,0
analcatdata_boxing1,bottom,0.634615385,0.695970696,0.483516484,0.566849817,120,3,2,0.045
analcatdata_boxing2,bottom,0.709458939,0.680096975,0.548603094,0.57203879,132,3,2,0.002869605
analcatdata_dmft,bottom,0.233675705,0.517480272,0.505924641,0.534097442,797,4,6,0.001119054
analcatdata_fraud,bottom,0.625110522,0.606100796,0.550397878,0.554376658,42,11,2,0.072562358
analcatdata_germangss,bottom,0.421666667,0.526666667,0.531666667,0.586666667,400,5,4,0
analcatdata_happiness,bottom,0.616666667,0.475,0.5125,0.675,60,3,3,0
backache,bottom,0.591397849,0.516774194,0.495483871,0.549677419,180,32,2,0.260802469
breast_cancer,bottom,0.651604721,0.608838162,0.54413228,0.624465906,286,9,2,0.082253411
bupa,bottom,0.64985095,0.571779182,0.521954008,0.608946342,345,5,2,0.000205839
cloud,bottom,0.368055556,0.652365288,0.570028587,0.596620457,108,7,4,0.003772291
coil2000,bottom,0.512468399,0.5,0.497202666,0.50615044,9822,85,2,0.387795138
connect_4,bottom,0.624164291,0.5,0.561263144,0.506949324,67557,42,3,0.169775035
dis,bottom,0.622001869,0.5,0.463256457,0.489373851,3772,29,2,0.469719955
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,0.520625,0.50625,0.503125,0.4875,1600,1000,2,0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,bottom,0.645416667,0.504375,0.509375,0.500625,1600,20,2,0
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,bottom,0.760208333,0.479375,0.4925,0.49875,1600,20,2,0
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,bottom,0.567083333,0.49875,0.50625,0.525,1600,20,2,0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,bottom,0.6875,0.5125,0.515,0.478125,1600,20,2,0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,bottom,0.719375,0.52125,0.498125,0.48875,1600,20,2,0
haberman,bottom,0.641563786,0.548641975,0.55831,0.534320988,306,3,2,0.110726644
Hill_Valley_with_noise,bottom,0.631188119,0.566831683,0.499174917,0.809405941,1212,100,2,0
Hill_Valley_without_noise,bottom,0.614106754,0.55995098,0.517647059,0.844330065,1212,100,2,4.90E-05
krkopt,bottom,0.548614649,0.636582689,0.519802876,0.548627497,28056,6,18,0.04879828
agaricus_lepiota,top,0.99996058,1,0.900968633,0.951071688,8145,22,2,0.000728968
analcatdata_authorship,top,0.998110647,0.97729925,0.767264338,0.998017459,841,70,4,0.06254763
analcatdata_bankruptcy,top,0.906666667,0.9,0.78,0.88,50,6,2,0
analcatdata_creditscore,top,0.873160832,0.993150685,0.98630137,0.834855403,100,6,2,0.1058
analcatdata_lawsuit,top,0.941783029,0.943286788,0.876369495,0.626638024,264,4,2,0.366419881
ann_thyroid,top,0.945045554,0.997220903,0.86422,0.679621948,7200,21,3,0.526977932
cars,top,0.7201538,0.93476079,0.651873835,0.774423664,392,8,3,0.127997883
chess,top,0.994238387,0.970697213,0.540572472,0.964810169,3196,36,2,0.000987036
clean1,top,0.948646804,1,1,0.997584541,476,168,2,0.008482805
clean2,top,0.999597213,1,1,1,6598,168,2,0.239241575
collins,top,0.736615357,1,1,0.795524773,485,23,13,0.020290229
confidence,top,0.837962963,0.925,0.833333333,0.85,72,3,6,0
corral,top,0.954232804,1,0.565079365,0.857936508,160,6,2,0.0078125
iris,top,0.948888889,0.965,0.58,0.9,150,4,3,0
irish,top,0.992503295,1,1,0.754261456,500,5,2,0.006272
kr_vs_kp,top,0.993966665,0.970697213,0.568970043,0.96448273,3196,36,2,0.000987036
labor,top,0.866441441,0.895945946,0.641891892,0.922972973,57,16,2,0.044475223
mfeat_karhunen,top,0.965,0.964166667,0.853888889,0.961944444,2000,64,10,0
mfeat_pixel,top,0.969833333,0.975277778,0.839722222,0.973611111,2000,240,10,0
mfeat_zernike,top,0.8405,0.871666667,0.763333333,0.888333333,2000,47,10,0
mofn_3_7_10,top,1,0.897260274,0.563050865,0.962912817,1324,10,2,0.156191528
molecular_biology_promoters,top,0.798742138,0.886792453,0.679245283,0.764150943,106,57,2,0
monk3,top,0.982499652,0.988865393,0.980184837,0.782477026,554,6,2,0.000788489
mushroom,top,0.999872319,1,1,0.94574127,8124,22,2,0.000645946
mux6,top,0.921875,1,0.5078125,0.609375,128,6,2,0
optdigits,top,0.983804958,0.97845488,0.785193216,0.974390265,5620,64,10,1.32E-05
pendigits,top,0.993088723,0.982629311,0.639188485,0.934792161,10992,16,10,0.000160263
penguins,top,0.993575969,0.993315508,0.863923974,0.989973262,333,7,3,0.028298569
prnn_crabs,top,0.991666667,0.955,0.805,0.995,200,7,2,0
prnn_synth,top,0.872,0.816,0.704,0.844,250,2,2,0
segmentation,top,0.96998557,0.982070707,0.613888889,0.941414141,2310,19,7,0
spambase,top,0.944952866,0.912716998,0.659766741,0.925921291,4601,57,2,0.02245302
splice,top,0.921214473,0.954275843,0.687073197,0.85938894,3188,60,3,0.051784203
texture,top,0.996909091,0.9754,0.99514,0.9973,5500,40,11,0
threeOf9,top,0.986582224,0.987226277,0.542645525,0.781435932,512,9,2,0.002471924
tokyo1,top,0.925123449,0.926140275,0.726385916,0.909242426,959,44,2,0.03875746
twonorm,top,0.979007753,0.940405038,0.575859071,0.977430993,7400,20,2,3.29E-07
vowel,top,0.966329966,0.971111111,0.796666667,0.732777778,990,13,11,0
waveform_21,top,0.870960957,0.865425381,0.705575749,0.894529071,5000,21,3,5.36E-05
waveform_40,top,0.867985974,0.87202528,0.651372503,0.89496012,5000,40,3,3.86E-05
xd6,top,0.999482402,1,0.585303546,0.759834369,973,9,2,0.057165778
