Dataset,MLP_BA_Average,Accuracy_Average,Macro_F1_Score_Average,Times_Average,Hyperparameters
allbp,0.6505497,0.970572641,0.682857314,3.2493504,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
allhyper,0.608497597,0.982232829,0.62563249,4.407787233,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
allhypo,0.656393319,0.948629531,0.713304881,6.447230567,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
allrep,0.58358637,0.972870272,0.606176816,2.873690067,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=8, Activation_Function=ReLU, Epochs=50"
analcatdata_aids,0.633333333,0.633333333,0.608977513,0.0888701,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_boxing1,0.634615385,0.675,0.630612463,0.1603078,"Hidden_Neurons=32, Learning_Rate=0.0001, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_boxing2,0.709458939,0.722222222,0.707774831,0.138911767,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
analcatdata_dmft,0.233675705,0.235466332,0.221567816,0.309832367,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=ReLU, Epochs=50"
analcatdata_fraud,0.625110522,0.746031746,0.63276217,0.066999167,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
analcatdata_germangss,0.421666667,0.421666667,0.422101215,0.1848974,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=64, Activation_Function=Tanh, Epochs=50"
analcatdata_happiness,0.616666667,0.616666667,0.589021842,0.0912246,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=32, Activation_Function=Tanh, Epochs=50"
backache,0.591397849,0.681481481,0.529382002,0.123829033,"Hidden_Neurons=16, Learning_Rate=0.0001, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
breast_cancer,0.651604721,0.755244755,0.66461828,0.2538293,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
bupa,0.64985095,0.648309179,0.646872492,0.269971633,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
cloud,0.368055556,0.37654321,0.333561087,0.114335533,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
coil2000,0.512468399,0.932226973,0.511393814,2.267073767,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
connect_4,0.624164291,0.820492325,0.633359398,438.386619,"Hidden_Neurons=128, Learning_Rate=0.00025, Batch_Size=8, Activation_Function=Tanh, Epochs=300"
dis,0.622001869,0.951926476,0.61569637,8.7522815,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=ReLU, Epochs=50"
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0.520625,0.520625,0.520478931,3.496884133,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,0.645416667,0.645416667,0.645032903,1.876631433,"Hidden_Neurons=32, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Tanh, Epochs=50"
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,0.760208333,0.760208333,0.754310534,2.5905729,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=8, Activation_Function=Sigmoid, Epochs=50"
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,0.567083333,0.567083333,0.566845007,2.367617233,"Hidden_Neurons=64, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Tanh, Epochs=50"
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,0.6875,0.6875,0.687339415,1.368538433,"Hidden_Neurons=16, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,0.719375,0.719375,0.717993054,1.284445833,"Hidden_Neurons=128, Learning_Rate=0.01, Batch_Size=16, Activation_Function=Sigmoid, Epochs=50"
haberman,0.641563786,0.726579521,0.643381091,3.5023213,"Hidden_Neurons=32, Learning_Rate=0.001, Batch_Size=128, Activation_Function=Tanh, Epochs=50"
Hill_Valley_with_noise,0.631188119,0.631188119,0.618015676,2.838448067,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=64, Activation_Function=Tanh, Epochs=100"
Hill_Valley_without_noise,0.614106754,0.616061606,0.595032127,1.530283567,"Hidden_Neurons=128, Learning_Rate=0.001, Batch_Size=128, Activation_Function=Tanh, Epochs=100"
krkopt,0.548614649,0.600121186,0.5523948,68.61274475,"Hidden_Neurons=8, Learning_Rate=0.01, Batch_Size=32, Activation_Function=ReLU, Epochs=50"
