rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
1,agaricus_lepiota,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,agaricus_lepiota.tsv.gz
2,clean1,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,clean1.tsv.gz
3,clean2,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,clean2.tsv.gz
4,collins,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,collins.tsv.gz
5,corral,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,corral.tsv.gz
6,irish,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,irish.tsv.gz
7,mushroom,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,mushroom.tsv.gz
8,mux6,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,mux6.tsv.gz
9,xd6,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",1.0,1.0,1.0,xd6.tsv.gz
10,shuttle,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9948793103448276,0.42623894816832497,0.7125030692676423,shuttle.tsv.gz
11,ann_thyroid,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9941666666666666,0.9722175556081081,0.9972209029940319,ann_thyroid.tsv.gz
12,penguins,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.993993993993994,0.9927573019257454,0.9933155080213903,penguins.tsv.gz
13,analcatdata_creditscore,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.99,0.9874608150470219,0.9931506849315068,analcatdata_creditscore.tsv.gz
14,monk3,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9891696750902527,0.9891457680250784,0.9888653926482873,monk3.tsv.gz
15,threeOf9,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.986328125,0.9862841222641914,0.9872262773722628,threeOf9.tsv.gz
16,analcatdata_lawsuit,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9848484848484849,0.9432867883995704,0.9432867883995704,analcatdata_lawsuit.tsv.gz
17,dis,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9846235418875928,0.4961261020571734,0.5,dis.tsv.gz
18,allhyper,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9779899230973217,0.351963523103105,0.56176618162021,allhyper.tsv.gz
19,hypothyroid,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9775529560543788,0.8591638242057885,0.8152247522053069,hypothyroid.tsv.gz
20,allrep,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.975609756097561,0.5000987070845169,0.6577162730889096,allrep.tsv.gz
21,analcatdata_authorship,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9738406658739596,0.9705387663397,0.9772992500959582,analcatdata_authorship.tsv.gz
22,dermatology,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9726775956284153,0.9633697049215891,0.9768192791778887,dermatology.tsv.gz
23,allbp,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9713679745493107,0.53007708843274,0.6525894296362446,allbp.tsv.gz
24,chess,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9705882352941176,0.9705394921665237,0.9706972125075974,chess.tsv.gz
25,kr_vs_kp,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9705882352941176,0.9705394921665237,0.9706972125075974,kr_vs_kp.tsv.gz
26,page_blocks,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9693038552896035,0.7921870206540381,0.8503595994073994,page_blocks.tsv.gz
27,segmentation,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9692640692640693,0.9692229633663568,0.9820707070707071,segmentation.tsv.gz
28,pendigits,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9683406113537117,0.9686260942440852,0.9826293111627968,pendigits.tsv.gz
29,wine_recognition,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9662921348314607,0.9664591260232908,0.9759512687914619,wine_recognition.tsv.gz
30,new_thyroid,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9627906976744186,0.9486952248667104,0.945118635118635,new_thyroid.tsv.gz
31,optdigits,RandomForestClassifier,"n_estimators=250,min_impurity_decrease=0.006868893982853764,max_features=0.5,criterion=entropy,max_depth=17,random_state=324089",0.9612099644128114,0.961256295752842,0.9784548804038827,optdigits.tsv.gz
