dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz,target,1600,1000,2,0,0,0,1000,0,numeric,0.503125,0.503081326,0.503125,0.50625,0.506098743,0.50625,0.4875,0.487492793,0.4875,3,0.498958333,0.498890954,0.498958333,0.008202092,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.tsv.gz,target,1600,20,2,0,0,0,20,0,numeric,0.509375,0.50243218,0.509375,0.504375,0.493063788,0.504375,0.500625,0.500357809,0.500625,3,0.504791667,0.498617925,0.504791667,0.003584302,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz,target,1600,20,2,0,0,0,20,0,numeric,0.4925,0.468202679,0.4925,0.479375,0.441823455,0.479375,0.49875,0.497788736,0.49875,3,0.490208333,0.469271623,0.490208333,0.008074093,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz,target,1600,20,2,0,0,0,20,0,numeric,0.50625,0.496910617,0.50625,0.49875,0.495314988,0.49875,0.525,0.524874537,0.525,3,0.51,0.505700047,0.51,0.011039701,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.tsv.gz,target,1600,20,2,0,0,0,20,0,numeric,0.515,0.503061042,0.515,0.5125,0.504918288,0.5125,0.478125,0.477414406,0.478125,3,0.501875,0.495131245,0.501875,0.016824771,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz,target,1600,20,2,0,0,0,20,0,numeric,0.498125,0.457267183,0.498125,0.52125,0.508059065,0.52125,0.48875,0.488653324,0.48875,3,0.502708333,0.484659857,0.502708333,0.013658153,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
Hill_Valley_with_noise.tsv.gz,target,1212,100,2,0,0,0,100,0,numeric,0.499174917,0.484719503,0.499174917,0.566831683,0.564690614,0.566831683,0.809405941,0.80742254,0.809405941,3,0.625137514,0.618944219,0.625137514,0.133192841,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
Hill_Valley_without_noise.tsv.gz,target,1212,100,2,4.90E-05,0,0,100,0,numeric,0.51650165,0.51051835,0.517647059,0.561056106,0.554946921,0.55995098,0.843234323,0.841576039,0.844330065,3,0.640264026,0.635680437,0.640642702,0.144669695,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
adult.tsv.gz,target,48842,14,2,0.135947995,0,0,14,0,numeric,0.674542402,0.552481362,0.552420213,0.84279923,0.751800887,0.723890595,0.776974735,0.718018821,0.739658003,3,0.764772122,0.674100357,0.671989604,0.069230378,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
agaricus_lepiota.tsv.gz,target,8145,22,2,0.000728968,0,0,22,0,numeric,0.90092081,0.900811816,0.900968633,1,1,1,0.95150399,0.951393691,0.951071688,3,0.950808267,0.950735169,0.950680107,0.040451901,TRUE,4,0.953173781,"selected: all-3-model coverage; avg_acc=0.951, avg_macro_f1=0.951, avg_bal_acc=0.951; stability_std_acc=0.040; medium dataset (8145 rows, 22 features), well-balanced (class_imbalance=0.001)"
allbp.tsv.gz,target,3772,29,3,0.583681895,0,0,29,0,numeric,0.934517497,0.325414068,0.494366633,0.971367975,0.530077088,0.65258943,0.908801697,0.441116219,0.637020441,3,0.938229056,0.432202458,0.594658834,0.025677052,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
allhyper.tsv.gz,target,3771,29,4,0.697606688,0,0,29,0,numeric,0.952267303,0.315940886,0.560258613,0.977989923,0.351963523,0.561766182,0.92442323,0.33355217,0.609994087,3,0.951560152,0.33381886,0.577339627,0.021874227,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
allhypo.tsv.gz,target,3770,29,3,0.522510442,0,0,29,0,numeric,0.836870027,0.34956802,0.518247157,0.958355438,0.738554688,0.753506339,0.877984085,0.464045636,0.619413293,3,0.89106985,0.517389448,0.63038893,0.050451985,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
allrep.tsv.gz,target,3772,29,4,0.68570586,0,0,29,0,numeric,0.936638388,0.299593302,0.534134897,0.975609756,0.500098707,0.657716273,0.904294804,0.27102046,0.519922073,3,0.938847649,0.356904156,0.570591081,0.029156088,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_aids.tsv.gz,target,50,4,2,0,0,0,4,0,numeric,0.52,0.516908213,0.52,0.62,0.618627057,0.62,0.52,0.5,0.52,3,0.553333333,0.545178423,0.553333333,0.047140452,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
analcatdata_asbestos.tsv.gz,target,83,3,2,0.005878937,0,0,3,0,numeric,0.518072289,0.518002323,0.525558167,0.807228916,0.80493537,0.80493537,0.78313253,0.773636364,0.769976498,3,0.702811245,0.698858019,0.700156678,0.131000052,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
