Dataset,Dataset_Type,Balanced_Accuracy_Seed1,Balanced_Accuracy_Seed374,Balanced_Accuracy_Seed714,Balanced_Accuracy_Average,Accuracy_Seed1,Accuracy_Seed374,Accuracy_Seed714,Accuracy_Average,Macro_F1_Score_Seed1,Macro_F1_Score_Seed374,Macro_F1_Score_Seed714,Macro_F1_Score_Average,Times_Seed1,Times_Seed374,Times_Seed714,Times_Average
allbp,bottom,0.6283640176927093,0.682357305840544,0.6409277753735402,0.6505496996355978,0.971102863202545,0.971102863202545,0.9695121951219512,0.9705726405090137,0.6600355522094653,0.7020653459518451,0.6864710443601321,0.6828573141738142,1.2768424000096277,6.377862799912691,2.093345999950543,3.2493503999576205
allhyper,bottom,0.6012638108049069,0.6273581841593948,0.5968707963991308,0.608497597121144,0.9827631927870591,0.9824980111376292,0.98143728453991,0.9822328294881993,0.5910505709514391,0.6724781362970789,0.6133687631587262,0.6256324901357481,4.50299979999545,3.025472200009972,5.694889699807391,4.407787233270938
allhypo,bottom,0.6614692143989782,0.6522057341590649,0.6555050077029794,0.6563933187536741,0.9482758620689656,0.946949602122016,0.9506631299734748,0.9486295313881521,0.7172459525965782,0.7047954510515869,0.7178732392212752,0.7133048809564801,4.403849599999376,10.354547400027514,4.583294700132683,6.447230566719857
allrep,bottom,0.5959848451020084,0.5979678941414622,0.5568063700682703,0.5835863697705803,0.9724284199363732,0.9740190880169672,0.9721633085896076,0.9728702721809827,0.6106441423028022,0.6249652804248137,0.5829210239818912,0.6061768155698356,3.380168200004846,2.717859599972144,2.523042400134728,2.873690066703906
analcatdata_aids,bottom,0.64,0.64,0.6200000000000001,0.6333333333333334,0.64,0.64,0.62,0.6333333333333333,0.5989304812834224,0.609375,0.6186270574066639,0.6089775128966954,0.0568541999964509,0.0802347001153975,0.129521399969235,0.08887010002702782
analcatdata_boxing1,bottom,0.6465201465201464,0.6318681318681318,0.6254578754578755,0.6346153846153846,0.6333333333333333,0.7,0.6916666666666667,0.6749999999999999,0.6248934356351237,0.6369747899159663,0.6299691640970081,0.6306124632160327,0.1846573999937391,0.1677839001640677,0.1284820998553186,0.16030780000437514
analcatdata_boxing2,bottom,0.6989148002770722,0.7071115215885477,0.7223504964211498,0.7094589394289232,0.7121212121212122,0.7196969696969697,0.7348484848484849,0.7222222222222223,0.6964415395787944,0.7054815172164265,0.7214014352047278,0.7077748306666495,0.1191384999983711,0.1060577000025659,0.1915390999056399,0.13891176663552562
analcatdata_dmft,bottom,0.2337344744016184,0.2291466713000235,0.2381459707621095,0.23367570548791713,0.2371392722710163,0.2296110414052697,0.2396486825595985,0.2354663320786282,0.230485780132578,0.2087266561572526,0.2254910116253602,0.22156781597173028,0.1294822000054409,0.3191700000315904,0.4808448997791856,0.30983236660540564
analcatdata_fraud,bottom,0.636604774535809,0.6193633952254642,0.6193633952254642,0.6251105216622458,0.7619047619047619,0.7380952380952381,0.7380952380952381,0.746031746031746,0.6464646464646464,0.6259109311740891,0.6259109311740891,0.6327621696042749,0.0571988000010605,0.0618674999568611,0.0819312001112848,0.06699916668973546
analcatdata_germangss,bottom,0.42,0.4149999999999999,0.43,0.42166666666666663,0.42,0.415,0.43,0.42166666666666663,0.4126291191675439,0.4226110467468742,0.4310634780840272,0.42210121466614847,0.1087842999986605,0.2821571999229491,0.1637506999541074,0.18489739995857235
analcatdata_happiness,bottom,0.6333333333333333,0.5833333333333334,0.6333333333333333,0.6166666666666667,0.6333333333333333,0.5833333333333334,0.6333333333333333,0.6166666666666667,0.6031135531135531,0.5466418751408609,0.6173100991624146,0.5890218424722762,0.0587554999947315,0.0725578002166003,0.1423605000600218,0.09122460009045119
backache,bottom,0.6180645161290322,0.5890322580645162,0.5670967741935484,0.5913978494623656,0.5444444444444444,0.6388888888888888,0.8611111111111112,0.6814814814814815,0.4831208852780502,0.5220392989909719,0.5829858215179315,0.5293820019289845,0.1272055000008549,0.0940460998099297,0.1502354999538511,0.12382903325487855
breast_cancer,bottom,0.6493415276558384,0.655223880597015,0.6502487562189054,0.6516047214905863,0.7552447552447552,0.7587412587412588,0.7517482517482518,0.7552447552447553,0.6623718294657313,0.6688648376541656,0.6626181733596956,0.6646182801598641,0.1195120999909704,0.2404143000021577,0.4015615000389516,0.2538293000106932
bupa,bottom,0.6446846422807961,0.6509548144163528,0.6539133942980098,0.6498509503317196,0.6434782608695652,0.6492753623188405,0.6521739130434783,0.6483091787439613,0.6427097980112656,0.6475698401843831,0.6503378378378378,0.6468724920111621,0.1721231999981682,0.4861936999950558,0.1515980002004653,0.2699716333978964
cloud,bottom,0.3723958333333333,0.3608630952380952,0.3709077380952381,0.3680555555555555,0.3796296296296296,0.3703703703703703,0.3796296296296296,0.37654320987654316,0.327536231884058,0.3224313022700119,0.3507157264877285,0.33356108688059943,0.0882043000019621,0.1235914998687803,0.1312108000274747,0.11433553329940571
coil2000,bottom,0.5097387504305012,0.5128753120671893,0.5147911348529349,0.5124683991168751,0.9391162695988596,0.9194665037670536,0.9380981470169008,0.932226973460938,0.5051130389064143,0.5142075739754338,0.5148608284005209,0.5113938137607897,1.047051299989107,3.653373399982229,2.1007965998724103,2.267073766614582
connect_4,bottom,0.6218010549071163,0.6265275277550043,,0.6241642913310603,0.8207291620409431,0.8202554879583167,,0.8204923249996299,0.6309264463168346,0.6357923495631782,,0.6333593979400064,594.932145299972,281.84109269990586,,438.38661899993895
dis,bottom,0.6274255844614042,0.611261211074592,0.6273188123224333,0.6220018692861431,0.9848886532343584,0.9864793213149524,0.8844114528101803,0.951926475786497,0.6685918808062778,0.6654161427162633,0.5130810872265916,0.6156963702497109,3.136025100015104,20.43765589996474,2.6831634999252856,8.752281499968376
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,bottom,0.513125,0.528125,0.520625,0.520625,0.513125,0.528125,0.520625,0.520625,0.5130563333345054,0.5278725224543906,0.5205079365079366,0.5204789307656109,1.9592198000027563,4.556625799974427,3.974806800018996,3.4968841333320597
